"plh0035","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Employed","(0) in school","3","","",""
"Big worries","1999","Employed","(1a) inadequately completed","61","0.27680832641375","0.218732292396754","0.334884360430747"
"Big worries","1999","Employed","(1b) general elementary school","205","0.232306503141218","0.20384960730944","0.260763398972996"
"Big worries","1999","Employed","(1c) basic vocational qualification","412","0.169512088742817","0.154532269772966","0.184491907712668"
"Big worries","1999","Employed","(2a) intermediate vocational","214","0.096589900094393","0.084456712708595","0.108723087480191"
"Big worries","1999","Employed","(2b) intermediate general qualification","54","0.153496674191522","0.116209052293735","0.190784296089308"
"Big worries","1999","Employed","(2c_gen) general maturity certificate","31","0.0879380933111279","0.0551160393177339","0.120760147304522"
"Big worries","1999","Employed","(2c_voc) vocational maturity certificate","51","0.095871192713208","0.0708060965657634","0.120936288860653"
"Big worries","1999","Employed","(3a) lower tertiary education","60","0.0737841261060744","0.0548073730691094","0.0927608791430394"
"Big worries","1999","Employed","(3b) higher tertiary education","50","0.0530751455502835","0.0376650201410482","0.0684852709595188"
"Big worries","1999","Not Employed","(0) in school","35","0.119421978038035","0.0810248395037133","0.157819116572356"
"Big worries","1999","Not Employed","(1a) inadequately completed","113","0.489274554270186","0.42616288999975","0.552386218540621"
"Big worries","1999","Not Employed","(1b) general elementary school","430","0.41357510412455","0.384485499057577","0.442664709191522"
"Big worries","1999","Not Employed","(1c) basic vocational qualification","611","0.354463994516825","0.331698270537745","0.377229718495905"
"Big worries","1999","Not Employed","(2a) intermediate vocational","121","0.221336058427886","0.187433071118167","0.255239045737605"
"Big worries","1999","Not Employed","(2b) intermediate general qualification","34","0.207975272326669","0.14801453310834","0.267936011544999"
"Big worries","1999","Not Employed","(2c_gen) general maturity certificate","19","","",""
"Big worries","1999","Not Employed","(2c_voc) vocational maturity certificate","21","","",""
"Big worries","1999","Not Employed","(3a) lower tertiary education","63","0.268606637243982","0.210562553607588","0.326650720880376"
"Big worries","1999","Not Employed","(3b) higher tertiary education","39","0.23892418477099","0.17997279072198","0.297875578819999"
"No worries","1999","Employed","(0) in school","30","0.713347757716038","0.579734339494416","0.84696117593766"
"No worries","1999","Employed","(1a) inadequately completed","56","0.251483256097474","0.195166716073837","0.307799796121112"
"No worries","1999","Employed","(1b) general elementary school","287","0.306174318684299","0.275116390960393","0.337232246408205"
"No worries","1999","Employed","(1c) basic vocational qualification","769","0.311088478426941","0.292605870233618","0.329571086620264"
"No worries","1999","Employed","(2a) intermediate vocational","871","0.403886766389942","0.383732788905393","0.42404074387449"
"No worries","1999","Employed","(2b) intermediate general qualification","151","0.424764511501499","0.373631918736951","0.475897104266046"
"No worries","1999","Employed","(2c_gen) general maturity certificate","134","0.530613121282739","0.472774285896327","0.58845195666915"
"No worries","1999","Employed","(2c_voc) vocational maturity certificate","209","0.405799495811839","0.363994092675755","0.447604898947923"
"No worries","1999","Employed","(3a) lower tertiary education","249","0.368518708957059","0.333500466811828","0.40353695110229"
"No worries","1999","Employed","(3b) higher tertiary education","343","0.430330292989382","0.396296109123847","0.464364476854917"
"No worries","1999","Not Employed","(0) in school","171","0.658233941946457","0.602073901649218","0.714393982243696"
"No worries","1999","Not Employed","(1a) inadequately completed","30","0.135684516554709","0.0924489790933962","0.178920054016022"
"No worries","1999","Not Employed","(1b) general elementary school","180","0.139899556869791","0.119409781998262","0.160389331741321"
"No worries","1999","Not Employed","(1c) basic vocational qualification","241","0.148781585010687","0.131844827766085","0.165718342255289"
"No worries","1999","Not Employed","(2a) intermediate vocational","159","0.261248383966682","0.225371651869991","0.297125116063373"
"No worries","1999","Not Employed","(2b) intermediate general qualification","65","0.333877954678011","0.264205272032267","0.403550637323755"
"No worries","1999","Not Employed","(2c_gen) general maturity certificate","107","0.607204286173402","0.538304127693586","0.676104444653218"
"No worries","1999","Not Employed","(2c_voc) vocational maturity certificate","57","0.305512664104537","0.229750792849309","0.381274535359765"
"No worries","1999","Not Employed","(3a) lower tertiary education","31","0.141549760850738","0.0959002409059108","0.187199280795566"
"No worries","1999","Not Employed","(3b) higher tertiary education","46","0.202391246439262","0.14684676959642","0.257935723282105"
"Some worries","1999","Employed","(0) in school","11","","",""
"Some worries","1999","Employed","(1a) inadequately completed","111","0.471708417488775","0.406911502996088","0.536505331981462"
