"plh0035","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Schleswig-Holstein","lower secondary degree","26","","",""
"Big worries","1999","Schleswig-Holstein","secondary school degree","4","","",""
"Big worries","1999","Schleswig-Holstein","college entrance qualification","4","","",""
"Big worries","1999","Schleswig-Holstein","Other degree","2","","",""
"Big worries","1999","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Big worries","1999","Hamburg","lower secondary degree","18","","",""
"Big worries","1999","Hamburg","secondary school degree","","","",""
"Big worries","1999","Hamburg","college entrance qualification","1","","",""
"Big worries","1999","Hamburg","Other degree","3","","",""
"Big worries","1999","Hamburg","no degree/no degree yet","","","",""
"Big worries","1999","Lower Saxony","lower secondary degree","113","0.25237150311256","0.213226115188257","0.291516891036863"
"Big worries","1999","Lower Saxony","secondary school degree","34","0.111054813091486","0.077308047220702","0.14480157896227"
"Big worries","1999","Lower Saxony","college entrance qualification","11","","",""
"Big worries","1999","Lower Saxony","Other degree","22","","",""
"Big worries","1999","Lower Saxony","no degree/no degree yet","13","","",""
"Big worries","1999","Bremen","lower secondary degree","17","","",""
"Big worries","1999","Bremen","secondary school degree","6","","",""
"Big worries","1999","Bremen","college entrance qualification","2","","",""
"Big worries","1999","Bremen","Other degree","3","","",""
"Big worries","1999","Bremen","no degree/no degree yet","3","","",""
"Big worries","1999","North Rhine-Westphalia","lower secondary degree","279","0.262371440545472","0.236314814931212","0.288428066159732"
"Big worries","1999","North Rhine-Westphalia","secondary school degree","64","0.141180223471423","0.112105858195009","0.170254588747838"
"Big worries","1999","North Rhine-Westphalia","college entrance qualification","42","0.0741765684556458","0.051365713423023","0.0969874234882686"
"Big worries","1999","North Rhine-Westphalia","Other degree","73","0.301383552886974","0.243808763908249","0.358958341865699"
"Big worries","1999","North Rhine-Westphalia","no degree/no degree yet","60","0.24133371278499","0.18332284822045","0.299344577349529"
"Big worries","1999","Hesse","lower secondary degree","89","0.270656561445898","0.224438765094873","0.316874357796924"
"Big worries","1999","Hesse","secondary school degree","16","","",""
"Big worries","1999","Hesse","college entrance qualification","10","","",""
"Big worries","1999","Hesse","Other degree","27","","",""
"Big worries","1999","Hesse","no degree/no degree yet","28","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","lower secondary degree","82","0.196313349820335","0.158460707463155","0.234165992177515"
"Big worries","1999","Rhineland-Palatinate,Saarland","secondary school degree","14","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","college entrance qualification","7","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","Other degree","14","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","no degree/no degree yet","11","","",""
"Big worries","1999","Baden-Württemberg","lower secondary degree","180","0.288947390346861","0.256636609857132","0.32125817083659"
"Big worries","1999","Baden-Württemberg","secondary school degree","27","","",""
"Big worries","1999","Baden-Württemberg","college entrance qualification","14","","",""
"Big worries","1999","Baden-Württemberg","Other degree","77","0.3364660010073","0.272407446935581","0.40052455507902"
"Big worries","1999","Baden-Württemberg","no degree/no degree yet","62","0.326674583838643","0.255113601065439","0.398235566611847"
"Big worries","1999","Bavaria","lower secondary degree","185","0.267660184066915","0.237521864387462","0.297798503746368"
"Big worries","1999","Bavaria","secondary school degree","44","0.138447437900441","0.105057890606802","0.171836985194079"
"Big worries","1999","Bavaria","college entrance qualification","22","","",""
"Big worries","1999","Bavaria","Other degree","48","0.304095836295824","0.228164946521089","0.380026726070559"
"Big worries","1999","Bavaria","no degree/no degree yet","16","","",""
"Big worries","1999","Berlin","lower secondary degree","32","0.236641503026414","0.16122300045444","0.312060005598388"
"Big worries","1999","Berlin","secondary school degree","29","","",""
"Big worries","1999","Berlin","college entrance qualification","12","","",""
"Big worries","1999","Berlin","Other degree","10","","",""
"Big worries","1999","Berlin","no degree/no degree yet","1","","",""
"Big worries","1999","Brandenburg","lower secondary degree","79","0.388324281861781","0.319919150774528","0.456729412949034"
"Big worries","1999","Brandenburg","secondary school degree","46","0.138480092334165","0.0977308178393126","0.179229366829017"
"Big worries","1999","Brandenburg","college entrance qualification","7","","",""
"Big worries","1999","Brandenburg","Other degree","3","","",""
"Big worries","1999","Brandenburg","no degree/no degree yet","3","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","lower secondary degree","35","0.377528290640856","0.288540540812863","0.466516040468849"
"Big worries","1999","Mecklenburg-Western Pomerania","secondary school degree","31","0.126166343183014","0.079917418694208","0.172415267671819"
"Big worries","1999","Mecklenburg-Western Pomerania","college entrance qualification","7","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","Other degree","","","",""
"Big worries","1999","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Big worries","1999","Saxony","lower secondary degree","125","0.360411470298796","0.31276119403739","0.408061746560201"
"Big worries","1999","Saxony","secondary school degree","82","0.180140552361908","0.147360731369216","0.2129203733546"
"Big worries","1999","Saxony","college entrance qualification","14","","",""
"Big worries","1999","Saxony","Other degree","5","","",""
"Big worries","1999","Saxony","no degree/no degree yet","5","","",""
