"plh0035","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","West Germany","1889","0.200467492396523","0.192592371153467","0.20834261363958","1"
"Big worries","1999","East Germany","804","0.233428950180415","0.219977564979922","0.246880335380907","1"
"No worries","1999","West Germany","3417","0.323691947325887","0.31448839610397","0.332895498547805","3"
"No worries","1999","East Germany","940","0.232630714723673","0.219195358746017","0.24606607070133","3"
"Some worries","1999","West Germany","4622","0.47584056027759","0.466016757349852","0.485664363205327","2"
"Some worries","1999","East Germany","2055","0.533940335095912","0.518077508806472","0.549803161385352","2"
"Big worries","2000","West Germany","3137","0.18180930530341","0.176212409948492","0.187406200658328","1"
"Big worries","2000","East Germany","1152","0.214367363891183","0.203847556766112","0.224887171016254","1"
"No worries","2000","West Germany","6540","0.34489055020791","0.337992768521232","0.351788331894588","3"
"No worries","2000","East Germany","1640","0.272352306743111","0.26094075265773","0.283763860828491","3"
"Some worries","2000","West Germany","8565","0.47330014448868","0.466054754219923","0.480545534757437","2"
"Some worries","2000","East Germany","3054","0.513280329365706","0.500467783141316","0.526092875590096","2"
"Big worries","2001","West Germany","2797","0.17761926355666","0.171781470167142","0.183457056946178","1"
"Big worries","2001","East Germany","1073","0.220307025150889","0.209287465056283","0.231326585245494","1"
"No worries","2001","West Germany","5840","0.337678686606596","0.330455091188061","0.344902282025132","3"
"No worries","2001","East Germany","1424","0.248626562477202","0.237134712291959","0.260118412662444","3"
"Some worries","2001","West Germany","7828","0.484702049836744","0.477068371444567","0.49233572822892","2"
"Some worries","2001","East Germany","2937","0.53106641237191","0.517798018296251","0.544334806447568","2"
"Big worries","2002","West Germany","2734","0.179044383784856","0.173381074671793","0.184707692897919","1"
"Big worries","2002","East Germany","1022","0.21528110947624","0.204346879935106","0.226215339017374","1"
"No worries","2002","West Germany","6540","0.337957298850734","0.330970085692306","0.344944512009163","3"
"No worries","2002","East Germany","1550","0.271244033124168","0.259416359554069","0.283071706694267","3"
"Some worries","2002","West Germany","8331","0.48299831736441","0.475616745308988","0.490379889419831","2"
"Some worries","2002","East Germany","2856","0.513474857399592","0.500178263425157","0.526771451374026","2"
"Big worries","2003","West Germany","2533","0.17191700336589","0.166217319351304","0.177616687380477","1"
"Big worries","2003","East Germany","961","0.211912086072473","0.20096459332104","0.222859578823906","1"
"No worries","2003","West Germany","6263","0.340990968480865","0.333830003481278","0.348151933480451","3"
"No worries","2003","East Germany","1464","0.258599065131572","0.246869294786084","0.27032883547706","3"
"Some worries","2003","West Germany","8038","0.487092028153245","0.479541459423942","0.494642596882548","2"
"Some worries","2003","East Germany","2928","0.529488848795955","0.516117881123914","0.542859816467997","2"
"Big worries","2004","West Germany","2831","0.203209541779486","0.197047161285503","0.209371922273469","1"
