"plh0035","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","college entrance qualification","52","0.0424280007924442","0.0297889979243492","0.0550670036605392"
"Big worries","1999","16-34 y.","lower secondary degree","179","0.163433450840974","0.142081253514074","0.184785648167873"
"Big worries","1999","16-34 y.","no degree/no degree yet","52","0.119408331265988","0.0871844468534583","0.151632215678518"
"Big worries","1999","16-34 y.","Other degree","36","0.147683044800881","0.0973680664425113","0.197998023159251"
"Big worries","1999","16-34 y.","secondary school degree","156","0.0867235449923516","0.0729164825397426","0.100530607444961"
"Big worries","1999","35-65 y.","college entrance qualification","85","0.0781282514295097","0.062326052814461","0.0939304500445584"
"Big worries","1999","35-65 y.","lower secondary degree","742","0.236434873772313","0.221363130124407","0.251506617420218"
"Big worries","1999","35-65 y.","no degree/no degree yet","127","0.393217667287932","0.339782330660559","0.446653003915306"
"Big worries","1999","35-65 y.","Other degree","223","0.324018592753774","0.288764779642673","0.359272405864875"
"Big worries","1999","35-65 y.","secondary school degree","260","0.133676124483491","0.118883457973506","0.148468790993476"
"Big worries","1999","66 and older","college entrance qualification","32","0.23050680952137","0.161478960174853","0.299534658867888"
"Big worries","1999","66 and older","lower secondary degree","540","0.40824649312926","0.381589684502895","0.434903301755626"
"Big worries","1999","66 and older","no degree/no degree yet","31","0.520550211938424","0.397188412517702","0.643912011359145"
"Big worries","1999","66 and older","Other degree","32","0.50070592211434","0.380982185962613","0.620429658266067"
"Big worries","1999","66 and older","secondary school degree","78","0.327744633135403","0.267213746620501","0.388275519650306"
"No worries","1999","16-34 y.","college entrance qualification","525","0.58044428094508","0.549500320295621","0.611388241594539"
"No worries","1999","16-34 y.","lower secondary degree","516","0.412204860529966","0.383780454319953","0.440629266739979"
"No worries","1999","16-34 y.","no degree/no degree yet","229","0.637481670473366","0.589709813165837","0.685253527780895"
"No worries","1999","16-34 y.","Other degree","70","0.369410958812283","0.300963157165865","0.437858760458701"
"No worries","1999","16-34 y.","secondary school degree","708","0.459344274585648","0.434895268732896","0.4837932804384"
"No worries","1999","35-65 y.","college entrance qualification","414","0.372718031173612","0.344247221737867","0.401188840609357"
"No worries","1999","35-65 y.","lower secondary degree","695","0.237445764428455","0.222351836525654","0.252539692331256"
"No worries","1999","35-65 y.","no degree/no degree yet","48","0.165067794833837","0.1244559838599","0.205679605807775"
"No worries","1999","35-65 y.","Other degree","148","0.220695934245339","0.189456411247564","0.251935457243113"
"No worries","1999","35-65 y.","secondary school degree","618","0.335542246169568","0.315017079504436","0.356067412834701"
"No worries","1999","66 and older","college entrance qualification","23","","",""
