"plh0035","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","(0) in school","in school","38","0.109713379763859","0.0753090437863503","0.144117715741367"
"Big worries","1999","(0) in school","inadequately","","","",""
"Big worries","1999","(0) in school","general elemantary","","","",""
"Big worries","1999","(0) in school","middle vocational","","","",""
"Big worries","1999","(0) in school","vocational + Abi","","","",""
"Big worries","1999","(0) in school","higher vocational","","","",""
"Big worries","1999","(0) in school","higher education","","","",""
"Big worries","1999","(1a) inadequately completed","in school","","","",""
"Big worries","1999","(1a) inadequately completed","inadequately","144","0.380308354575677","0.332003811118028","0.428612898033327"
"Big worries","1999","(1a) inadequately completed","general elemantary","","","",""
"Big worries","1999","(1a) inadequately completed","middle vocational","29","","",""
"Big worries","1999","(1a) inadequately completed","vocational + Abi","","","",""
"Big worries","1999","(1a) inadequately completed","higher vocational","1","","",""
"Big worries","1999","(1a) inadequately completed","higher education","","","",""
"Big worries","1999","(1b) general elementary school","in school","","","",""
"Big worries","1999","(1b) general elementary school","inadequately","5","","",""
"Big worries","1999","(1b) general elementary school","general elemantary","630","0.354825613281203","0.333385027535832","0.376266199026574"
"Big worries","1999","(1b) general elementary school","middle vocational","","","",""
"Big worries","1999","(1b) general elementary school","vocational + Abi","","","",""
"Big worries","1999","(1b) general elementary school","higher vocational","","","",""
"Big worries","1999","(1b) general elementary school","higher education","","","",""
"Big worries","1999","(1c) basic vocational qualification","in school","","","",""
"Big worries","1999","(1c) basic vocational qualification","inadequately","","","",""
"Big worries","1999","(1c) basic vocational qualification","general elemantary","","","",""
"Big worries","1999","(1c) basic vocational qualification","middle vocational","976","0.261687881230005","0.247759924394944","0.275615838065066"
"Big worries","1999","(1c) basic vocational qualification","vocational + Abi","","","",""
"Big worries","1999","(1c) basic vocational qualification","higher vocational","47","0.170503937683464","0.12645418784972","0.214553687517207"
"Big worries","1999","(1c) basic vocational qualification","higher education","","","",""
"Big worries","1999","(2b) intermediate general qualification","in school","","","",""
"Big worries","1999","(2b) intermediate general qualification","inadequately","","","",""
"Big worries","1999","(2b) intermediate general qualification","general elemantary","88","0.174604393120419","0.142435963535985","0.206772822704852"
"Big worries","1999","(2b) intermediate general qualification","middle vocational","","","",""
"Big worries","1999","(2b) intermediate general qualification","vocational + Abi","","","",""
"Big worries","1999","(2b) intermediate general qualification","higher vocational","","","",""
"Big worries","1999","(2b) intermediate general qualification","higher education","","","",""
"Big worries","1999","(2a) intermediate vocational","in school","","","",""
"Big worries","1999","(2a) intermediate vocational","inadequately","","","",""
"Big worries","1999","(2a) intermediate vocational","general elemantary","","","",""
"Big worries","1999","(2a) intermediate vocational","middle vocational","278","0.123145385000389","0.110233318043325","0.136057451957453"
"Big worries","1999","(2a) intermediate vocational","vocational + Abi","","","",""
"Big worries","1999","(2a) intermediate vocational","higher vocational","57","0.174484043023309","0.135548857093556","0.213419228953062"
"Big worries","1999","(2a) intermediate vocational","higher education","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","in school","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","inadequately","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","general elemantary","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","middle vocational","50","0.0825860102714712","0.0579360481379322","0.10723597240501"
"Big worries","1999","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Big worries","1999","(2c_gen) general maturity certificate","higher vocational","","","",""
