"plh0035","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","direct migration background","648","0.278398617171043","0.259728738397053","0.297068495945033"
"Big worries","1999","indirect migration background","102","0.170423265637685","0.140560352706788","0.200286178568582"
"Big worries","1999","no migration background","1943","0.19654457869533","0.189085819316843","0.204003338073817"
"No worries","1999","direct migration background","582","0.255190939800002","0.237031000862453","0.27335087873755"
"No worries","1999","indirect migration background","307","0.481286162932132","0.441603112472279","0.520969213391985"
"No worries","1999","no migration background","3468","0.308756947641167","0.300085753124042","0.317428142158291"
"Some worries","1999","direct migration background","984","0.466410443028955","0.445630369674567","0.487190516383344"
"Some worries","1999","indirect migration background","200","0.348290571430183","0.310451775721268","0.386129367139097"
"Some worries","1999","no migration background","5493","0.494698473663503","0.485314197932208","0.504082749394799"
"Big worries","2000","direct migration background","750","0.226851864278903","0.212584734000112","0.241118994557695"
"Big worries","2000","indirect migration background","101","0.128715529953819","0.105822269807223","0.151608790100415"
"Big worries","2000","no migration background","3438","0.183912978863437","0.178537888518939","0.189288069207934"
"No worries","2000","direct migration background","1018","0.313663763888051","0.29785729964301","0.329470228133092"
"No worries","2000","indirect migration background","429","0.504449313309469","0.470269869526335","0.538628757092603"
"No worries","2000","no migration background","6733","0.328292976199254","0.321777711214696","0.334808241183811"
"Some worries","2000","direct migration background","1542","0.459484371833046","0.442506877501778","0.476461866164315"
"Some worries","2000","indirect migration background","292","0.366835156736712","0.333888901854653","0.399781411618772"
"Some worries","2000","no migration background","9785","0.48779404493731","0.480858958120941","0.494729131753679"
"Big worries","2001","direct migration background","707","0.245331178299193","0.22972714426544","0.260935212332947"
"Big worries","2001","indirect migration background","88","0.118583611989951","0.0957037549339022","0.141463469046"
"Big worries","2001","no migration background","3075","0.178921737476835","0.173354945090413","0.184488529863258"
"No worries","2001","direct migration background","859","0.298505350035768","0.281910606164058","0.315100093907478"
"No worries","2001","indirect migration background","385","0.457433288239841","0.422176652848719","0.492689923630963"
"No worries","2001","no migration background","6020","0.319851622572311","0.313077433622299","0.326625811522324"
"Some worries","2001","direct migration background","1355","0.456163471665039","0.438101017727759","0.474225925602318"
"Some worries","2001","indirect migration background","294","0.423983099770208","0.3890093422428","0.458956857297616"
"Some worries","2001","no migration background","9116","0.501226639950854","0.493964746186449","0.508488533715258"
"Big worries","2002","direct migration background","678","0.240520795498661","0.224698452267964","0.256343138729358"
