"plh0035","year","e11103","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Full Time","756","0.127962738669918","0.119395301034234","0.136530176305603"
"Big worries","1999","Not Working","1517","0.31482288594493","0.301880578630007","0.327765193259852"
"Big worries","1999","Part Time","420","0.138674557596193","0.126181853357857","0.151167261834528"
"No worries","1999","Full Time","2169","0.376207383357297","0.36378298293158","0.388631783783014"
"No worries","1999","Not Working","1137","0.212208095093135","0.200814419070574","0.223601771115696"
"No worries","1999","Part Time","1051","0.3639599321259","0.346568175431792","0.381351688820008"
"Some worries","1999","Full Time","2915","0.495829877972785","0.48300667352345","0.50865308242212"
"Some worries","1999","Not Working","2293","0.472969018961935","0.459056314634975","0.486881723288895"
"Some worries","1999","Part Time","1469","0.497365510277908","0.479292170990721","0.515438849565094"
"Big worries","2000","Full Time","1171","0.118958627685821","0.11261914673153","0.125298108640112"
"Big worries","2000","Not Working","2391","0.275843432756678","0.266611300293702","0.285075565219653"
"Big worries","2000","Part Time","727","0.149789910728891","0.139961964440359","0.159617857017422"
"No worries","2000","Full Time","3959","0.406150880489641","0.396533886705943","0.415767874273339"
"No worries","2000","Not Working","2287","0.237109469636208","0.228324100226572","0.245894839045843"
"No worries","2000","Part Time","1934","0.369868999452059","0.356573711265431","0.383164287638688"
"Some worries","2000","Full Time","4888","0.474890491824538","0.465111833864167","0.484669149784909"
"Some worries","2000","Not Working","4325","0.487047097607114","0.476722367887801","0.497371827326428"
"Some worries","2000","Part Time","2404","0.48034108981905","0.466581913855259","0.494100265782841"
"Big worries","2001","Full Time","971","0.109259480858952","0.102823635548584","0.115695326169321"
"Big worries","2001","Not Working","2240","0.287177147044414","0.277302725789123","0.297051568299706"
"Big worries","2001","Part Time","659","0.140172429478664","0.130359405835868","0.14998545312146"
"No worries","2001","Full Time","3513","0.391529938525459","0.381460563367957","0.401599313682962"
"No worries","2001","Not Working","1967","0.224979737940218","0.215866470049413","0.234093005831023"
