"plh0035","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Full Time","college entrance qualification","71","0.0580654931946332","0.0447835498484917","0.0713474365407747"
"Big worries","1999","Full Time","lower secondary degree","317","0.170547684642814","0.153505321188384","0.187590048097244"
"Big worries","1999","Full Time","no degree/no degree yet","38","0.299339610712609","0.220310132661621","0.378369088763597"
"Big worries","1999","Full Time","Other degree","114","0.289924565894509","0.245952062734293","0.333897069054726"
"Big worries","1999","Full Time","secondary school degree","196","0.0883688288919435","0.076135857592566","0.100601800191321"
"Big worries","1999","Not Working","college entrance qualification","65","0.151239108883351","0.119928693200006","0.182549524566695"
"Big worries","1999","Not Working","lower secondary degree","968","0.374836719581695","0.356318414610058","0.393355024553332"
"Big worries","1999","Not Working","no degree/no degree yet","148","0.263727391221146","0.225595675219882","0.30185910722241"
"Big worries","1999","Not Working","Other degree","119","0.332029453913578","0.281897433954346","0.38216147387281"
"Big worries","1999","Not Working","secondary school degree","186","0.234070773335289","0.205437146293174","0.262704400377403"
"Big worries","1999","Part Time","college entrance qualification","33","0.0546880985774413","0.0354034629609452","0.0739727341939375"
"Big worries","1999","Part Time","lower secondary degree","176","0.166883734979209","0.143944713816032","0.189822756142385"
"Big worries","1999","Part Time","no degree/no degree yet","24","","",""
"Big worries","1999","Part Time","Other degree","58","0.284728695237717","0.220047459589122","0.349409930886312"
"Big worries","1999","Part Time","secondary school degree","112","0.130525149835404","0.109125570844517","0.151924728826291"
"No worries","1999","Full Time","college entrance qualification","510","0.440148403137924","0.411956250622657","0.46834055565319"
"No worries","1999","Full Time","lower secondary degree","644","0.323017486763029","0.301828365833329","0.344206607692728"
"No worries","1999","Full Time","no degree/no degree yet","29","","",""
"No worries","1999","Full Time","Other degree","112","0.236276653932182","0.195108169782239","0.277445138082125"
"No worries","1999","Full Time","secondary school degree","796","0.415680043513026","0.394438905985388","0.436921181040664"
"No worries","1999","Not Working","college entrance qualification","202","0.365766251704173","0.323675121414811","0.407857381993535"
"No worries","1999","Not Working","lower secondary degree","384","0.141040379363501","0.127725367889721","0.15435539083728"
"No worries","1999","Not Working","no degree/no degree yet","200","0.454370801364813","0.411284083045524","0.497457519684102"
"No worries","1999","Not Working","Other degree","65","0.198577251491113","0.156111010257357","0.24104349272487"
"No worries","1999","Not Working","secondary school degree","234","0.26180486431518","0.232075686865377","0.291534041764984"
"No worries","1999","Part Time","college entrance qualification","250","0.469163218502231","0.426835979091551","0.511490457912912"
"No worries","1999","Part Time","lower secondary degree","311","0.298027888195704","0.269889225602297","0.326166550789111"
"No worries","1999","Part Time","no degree/no degree yet","52","0.482097602112008","0.396531078125121","0.567664126098896"
"No worries","1999","Part Time","Other degree","45","0.294382813331737","0.22905951749338","0.359706109170095"
"No worries","1999","Part Time","secondary school degree","332","0.359273207547932","0.32879576825786","0.389750646838004"
"Some worries","1999","Full Time","college entrance qualification","610","0.501786103667443","0.47338995484268","0.530182252492206"
"Some worries","1999","Full Time","lower secondary degree","910","0.506434828594157","0.483780811027139","0.529088846161176"
"Some worries","1999","Full Time","no degree/no degree yet","62","0.476602594156014","0.390414511456098","0.56279067685593"
"Some worries","1999","Full Time","Other degree","183","0.473798780173309","0.425408366873283","0.522189193473334"
"Some worries","1999","Full Time","secondary school degree","1076","0.49595112759503","0.474402054783516","0.517500200406545"
"Some worries","1999","Not Working","college entrance qualification","236","0.482994639412476","0.439324681144705","0.526664597680248"
"Some worries","1999","Not Working","lower secondary degree","1273","0.484122901054804","0.465005256833421","0.503240545276187"
"Some worries","1999","Not Working","no degree/no degree yet","165","0.281901807414041","0.242967697063451","0.320835917764631"
"Some worries","1999","Not Working","Other degree","155","0.469393294595308","0.416267792267034","0.522518796923582"
"Some worries","1999","Not Working","secondary school degree","420","0.504124362349531","0.470312921616054","0.537935803083008"
