"plh0035","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","16-34 y.","in school","37","0.106021003901502","0.0721304962990364","0.139911511503967"
"Big worries","1999","16-34 y.","inadequately","12","","",""
"Big worries","1999","16-34 y.","general elemantary","142","0.154424276904933","0.130576503335193","0.178272050474673"
"Big worries","1999","16-34 y.","middle vocational","248","0.105076209525968","0.0923373444833289","0.117815074568607"
"Big worries","1999","16-34 y.","vocational + Abi","18","","",""
"Big worries","1999","16-34 y.","higher vocational","12","","",""
"Big worries","1999","16-34 y.","higher education","19","","",""
"Big worries","1999","35-65 y.","in school","1","","",""
"Big worries","1999","35-65 y.","inadequately","109","0.389030832450276","0.332329850597719","0.445731814302832"
"Big worries","1999","35-65 y.","general elemantary","329","0.318305160768844","0.289520179992086","0.347090141545602"
"Big worries","1999","35-65 y.","middle vocational","762","0.197616533990746","0.185039913493779","0.210193154487713"
"Big worries","1999","35-65 y.","vocational + Abi","27","","",""
"Big worries","1999","35-65 y.","higher vocational","82","0.16328064182348","0.131295618900035","0.195265664746926"
"Big worries","1999","35-65 y.","higher education","132","0.0872509127967663","0.0721972598297184","0.102304565763814"
"Big worries","1999","66 and older","in school","","","",""
"Big worries","1999","66 and older","inadequately","28","","",""
"Big worries","1999","66 and older","general elemantary","247","0.44057427821446","0.399456005545921","0.481692550882999"
"Big worries","1999","66 and older","middle vocational","340","0.367941183983323","0.336115206890198","0.399767161076447"
"Big worries","1999","66 and older","vocational + Abi","8","","",""
"Big worries","1999","66 and older","higher vocational","31","0.361483263365632","0.258743470022043","0.464223056709222"
"Big worries","1999","66 and older","higher education","61","0.302974399902251","0.23928598727305","0.366662812531451"
"Some worries","1999","16-34 y.","in school","80","0.226660338380991","0.180571966305716","0.272748710456266"
"Some worries","1999","16-34 y.","inadequately","34","0.397826993234254","0.291237757764724","0.504416228703783"
"Some worries","1999","16-34 y.","general elemantary","335","0.382566420377995","0.350491739454373","0.414641101301617"
"Some worries","1999","16-34 y.","middle vocational","950","0.424040630071011","0.403510808702266","0.444570451439756"
"Some worries","1999","16-34 y.","vocational + Abi","103","0.363179204696443","0.305167552756659","0.421190856636227"
"Some worries","1999","16-34 y.","higher vocational","113","0.526918958224256","0.461242263478336","0.592595652970176"
"Some worries","1999","16-34 y.","higher education","208","0.488125168247875","0.440148779800454","0.536101556695297"
"Some worries","1999","35-65 y.","in school","1","","",""
"Some worries","1999","35-65 y.","inadequately","135","0.474448197510563","0.416372947715329","0.532523447305798"
"Some worries","1999","35-65 y.","general elemantary","475","0.490486524320771","0.459594918963184","0.521378129678358"
"Some worries","1999","35-65 y.","middle vocational","2055","0.518598258239489","0.50281739750379","0.534379118975189"
"Some worries","1999","35-65 y.","vocational + Abi","127","0.601787822902678","0.536200459859723","0.667375185945632"
"Some worries","1999","35-65 y.","higher vocational","294","0.550487577569074","0.507441456875537","0.593533698262612"
"Some worries","1999","35-65 y.","higher education","758","0.545837223040276","0.519277805317196","0.572396640763356"
"Some worries","1999","66 and older","in school","","","",""
"Some worries","1999","66 and older","inadequately","26","","",""
"Some worries","1999","66 and older","general elemantary","252","0.448803939818106","0.407609797960593","0.489998081675618"
"Some worries","1999","66 and older","middle vocational","447","0.515118776287724","0.482136154695169","0.548101397880279"
"Some worries","1999","66 and older","vocational + Abi","18","","",""
"Some worries","1999","66 and older","higher vocational","41","0.463048550842988","0.356416141512878","0.569680960173099"
"Some worries","1999","66 and older","higher education","120","0.608837289846799","0.541203700155995","0.676470879537603"
"No worries","1999","16-34 y.","in school","200","0.667318657717507","0.615450679924574","0.71918663551044"
"No worries","1999","16-34 y.","inadequately","35","0.493634512662134","0.384756449058774","0.602512576265494"
"No worries","1999","16-34 y.","general elemantary","405","0.463009302717072","0.430102018819167","0.495916586614977"
"No worries","1999","16-34 y.","middle vocational","1028","0.470883160403021","0.450147499476003","0.491618821330039"
"No worries","1999","16-34 y.","vocational + Abi","143","0.571226758528978","0.511528146169194","0.630925370888762"
"No worries","1999","16-34 y.","higher vocational","97","0.443520051030995","0.378168937302351","0.508871164759638"
"No worries","1999","16-34 y.","higher education","190","0.473809550630036","0.425885507603599","0.521733593656473"
"No worries","1999","35-65 y.","in school","","","",""
"No worries","1999","35-65 y.","inadequately","40","0.136520970039161","0.0965895733189963","0.176452366759326"
"No worries","1999","35-65 y.","general elemantary","202","0.191208314910386","0.166907500614393","0.215509129206379"
"No worries","1999","35-65 y.","middle vocational","1034","0.283785207769765","0.26954626147397","0.29802415406556"
"No worries","1999","35-65 y.","vocational + Abi","60","0.276935112004185","0.216981016974805","0.336889207033565"
"No worries","1999","35-65 y.","higher vocational","137","0.286231780607445","0.247118257337418","0.325345303877473"
"No worries","1999","35-65 y.","higher education","460","0.366911864162958","0.341202332127746","0.39262139619817"
"No worries","1999","66 and older","in school","","","",""
"No worries","1999","66 and older","inadequately","3","","",""
"No worries","1999","66 and older","general elemantary","61","0.110621781967435","0.0846430680760938","0.136600495858775"
"No worries","1999","66 and older","middle vocational","95","0.116940039728953","0.0957324890405057","0.138147590417401"
"No worries","1999","66 and older","vocational + Abi","6","","",""
"No worries","1999","66 and older","higher vocational","12","","",""
"No worries","1999","66 and older","higher education","19","","",""
"Big worries","2000","16-34 y.","in school","32","0.0587800542006364","0.0378467505222532","0.0797133578790195"
