"plh0035","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","direct migration background","Rural Area","107","0.262061163348803","0.216380267953957","0.307742058743648"
"Big worries","1999","direct migration background","Urban Area","541","0.281658282618769","0.261205516885705","0.302111048351833"
"Big worries","1999","indirect migration background","Rural Area","8","","",""
"Big worries","1999","indirect migration background","Urban Area","94","0.181839333101372","0.148782559757268","0.214896106445475"
"Big worries","1999","no migration background","Rural Area","831","0.213315315847247","0.20104268776446","0.225587943930033"
"Big worries","1999","no migration background","Urban Area","1112","0.188327133242957","0.178911817448997","0.197742449036916"
"No worries","1999","direct migration background","Rural Area","84","0.197757159323421","0.156381767019748","0.239132551627095"
"No worries","1999","direct migration background","Urban Area","498","0.26665018625228","0.246542978050544","0.286757394454017"
"No worries","1999","indirect migration background","Rural Area","49","0.660534823293384","0.560455504748338","0.760614141838429"
"No worries","1999","indirect migration background","Urban Area","258","0.458788740544287","0.416082923646097","0.501494557442477"
"No worries","1999","no migration background","Rural Area","1220","0.281146306751681","0.267678010765499","0.294614602737864"
"No worries","1999","no migration background","Urban Area","2248","0.322285806471829","0.31103116124582","0.333540451697837"
"Some worries","1999","direct migration background","Rural Area","165","0.540181677327776","0.48841072510755","0.591952629548002"
"Some worries","1999","direct migration background","Urban Area","819","0.451691531128951","0.429062878947533","0.474320183310369"
"Some worries","1999","indirect migration background","Rural Area","29","","",""
"Some worries","1999","indirect migration background","Urban Area","171","0.359371926354341","0.318250108639884","0.400493744068798"
"Some worries","1999","no migration background","Rural Area","2229","0.505538377401072","0.490559834541577","0.520516920260567"
"Some worries","1999","no migration background","Urban Area","3264","0.489387060285215","0.477348901197625","0.501425219372804"
"Big worries","2000","direct migration background","Rural Area","124","0.232103538604194","0.197384624199377","0.266822453009012"
"Big worries","2000","direct migration background","Urban Area","626","0.225780170927556","0.210131069347734","0.241429272507377"
"Big worries","2000","indirect migration background","Rural Area","15","","",""
"Big worries","2000","indirect migration background","Urban Area","86","0.130471162692414","0.105730726327171","0.155211599057657"
"Big worries","2000","no migration background","Rural Area","1371","0.193483008800923","0.184591903785745","0.2023741138161"
"Big worries","2000","no migration background","Urban Area","2067","0.179005320961516","0.17225050180923","0.185760140113802"
"No worries","2000","direct migration background","Rural Area","169","0.281120563326187","0.244150664604157","0.318090462048218"
"No worries","2000","direct migration background","Urban Area","849","0.320304756743558","0.302840376631135","0.337769136855982"
"No worries","2000","indirect migration background","Rural Area","56","0.491647524856929","0.398222946124277","0.585072103589582"
"No worries","2000","indirect migration background","Urban Area","373","0.506115785747525","0.469392155299035","0.542839416196015"
"No worries","2000","no migration background","Rural Area","2341","0.302079393039003","0.291744853674795","0.312413932403211"
"No worries","2000","no migration background","Urban Area","4392","0.341735703063686","0.333378597040173","0.3500928090872"
"Some worries","2000","direct migration background","Rural Area","275","0.486775898069618","0.445671151186525","0.527880644952712"
"Some worries","2000","direct migration background","Urban Area","1267","0.453915072328886","0.435279970826421","0.472550173831351"
"Some worries","2000","indirect migration background","Rural Area","39","0.393123660244714","0.301845591483758","0.484401729005669"
"Some worries","2000","indirect migration background","Urban Area","253","0.363413051560061","0.328083573651737","0.398742529468385"
"Some worries","2000","no migration background","Rural Area","3871","0.504437598160075","0.49318428351013","0.51569091281002"
"Some worries","2000","no migration background","Urban Area","5914","0.479258975974798","0.470456464321623","0.488061487627974"
"Big worries","2001","direct migration background","Rural Area","131","0.258348493908243","0.220095361208403","0.296601626608082"
"Big worries","2001","direct migration background","Urban Area","576","0.242608267548101","0.225522557925498","0.259693977170705"
"Big worries","2001","indirect migration background","Rural Area","11","","",""
"Big worries","2001","indirect migration background","Urban Area","77","0.122122763581685","0.09729285814937","0.146952669013999"
"Big worries","2001","no migration background","Rural Area","1253","0.194710053806253","0.185351961337333","0.204068146275174"
"Big worries","2001","no migration background","Urban Area","1822","0.17093476921703","0.164003939917214","0.177865598516846"
"No worries","2001","direct migration background","Rural Area","138","0.293424891193533","0.253633260099056","0.333216522288011"
"No worries","2001","direct migration background","Urban Area","721","0.299568060383851","0.281310166973893","0.317825953793809"
"No worries","2001","indirect migration background","Rural Area","43","0.377704721333233","0.282204373470587","0.473205069195879"
"No worries","2001","indirect migration background","Urban Area","342","0.466734543985527","0.428901911794261","0.504567176176793"
"No worries","2001","no migration background","Rural Area","2062","0.28866600357735","0.27795693726683","0.29937506988787"
"No worries","2001","no migration background","Urban Area","3958","0.335627753723866","0.326933940199215","0.344321567248516"
"Some worries","2001","direct migration background","Rural Area","234","0.448226614898224","0.40476625754648","0.491686972249968"
"Some worries","2001","direct migration background","Urban Area","1121","0.457823672068047","0.437965496735037","0.477681847401058"
"Some worries","2001","indirect migration background","Rural Area","45","0.534048590226632","0.435785324126238","0.632311856327026"
"Some worries","2001","indirect migration background","Urban Area","249","0.411142692432788","0.373829605321228","0.448455779544349"
"Some worries","2001","no migration background","Rural Area","3563","0.516623942616397","0.504814025830488","0.528433859402306"
"Some worries","2001","no migration background","Urban Area","5553","0.493437477059104","0.484232806690004","0.502642147428204"
"Big worries","2002","direct migration background","Rural Area","122","0.262311289064209","0.222958770554822","0.301663807573597"
"Big worries","2002","direct migration background","Urban Area","556","0.23610033013998","0.218830425302972","0.253370234976988"
"Big worries","2002","indirect migration background","Rural Area","9","","",""
"Big worries","2002","indirect migration background","Urban Area","70","0.104853970112837","0.0818102501815584","0.127897690044115"
"Big worries","2002","no migration background","Rural Area","1220","0.196945986530376","0.187664065158345","0.206227907902406"
"Big worries","2002","no migration background","Urban Area","1779","0.171301018349863","0.164669994308659","0.177932042391067"
"No worries","2002","direct migration background","Rural Area","111","0.237389343944996","0.199325774066324","0.275452913823667"
"No worries","2002","direct migration background","Urban Area","690","0.279486351009549","0.261237946722595","0.297734755296502"
"No worries","2002","indirect migration background","Rural Area","52","0.483838331787568","0.38438822939582","0.583288434179317"
"No worries","2002","indirect migration background","Urban Area","351","0.442854958736893","0.405493132644001","0.480216784829785"
"No worries","2002","no migration background","Rural Area","2257","0.299618008747786","0.28892639203447","0.310309625461102"
"No worries","2002","no migration background","Urban Area","4629","0.344818914408382","0.336453673679768","0.353184155136996"
"Some worries","2002","direct migration background","Rural Area","247","0.500299366990795","0.455569521415299","0.545029212566291"
"Some worries","2002","direct migration background","Urban Area","1077","0.484413318850471","0.464090573805626","0.504736063895317"
"Some worries","2002","indirect migration background","Rural Area","36","0.370557121302603","0.274447256119396","0.466666986485811"
"Some worries","2002","indirect migration background","Urban Area","258","0.45229107115027","0.414854408884144","0.489727733416396"
"Some worries","2002","no migration background","Rural Area","3575","0.503436004721838","0.491766519761379","0.515105489682297"
"Some worries","2002","no migration background","Urban Area","5994","0.483880067241755","0.47508485326672","0.492675281216791"
"Big worries","2003","direct migration background","Rural Area","107","0.214832037419637","0.177177197996143","0.252486876843131"
"Big worries","2003","direct migration background","Urban Area","542","0.252087429991525","0.233797158489877","0.270377701493173"
"Big worries","2003","indirect migration background","Rural Area","12","","",""
"Big worries","2003","indirect migration background","Urban Area","80","0.133366893946404","0.107889107312893","0.158844680579915"
"Big worries","2003","no migration background","Rural Area","1084","0.185079281730214","0.175817980787324","0.194340582673104"
"Big worries","2003","no migration background","Urban Area","1669","0.163754906253407","0.157140825390282","0.170368987116531"
"No worries","2003","direct migration background","Rural Area","107","0.244541492123833","0.205134655064288","0.283948329183378"
"No worries","2003","direct migration background","Urban Area","696","0.303399670459155","0.284034624553746","0.322764716364564"
"No worries","2003","indirect migration background","Rural Area","46","0.392211912924726","0.296992853720403","0.487430972129049"
"No worries","2003","indirect migration background","Urban Area","340","0.481434699736225","0.443989990631338","0.518879408841112"
"No worries","2003","no migration background","Rural Area","2080","0.296150913295657","0.285263324043694","0.30703850254762"
"No worries","2003","no migration background","Urban Area","4458","0.339912162574108","0.331445938355294","0.348378386792922"
"Some worries","2003","direct migration background","Rural Area","243","0.54062647045653","0.494936421106654","0.586316519806406"
"Some worries","2003","direct migration background","Urban Area","927","0.44451289954932","0.423581497773021","0.465444301325618"
"Some worries","2003","indirect migration background","Rural Area","43","0.469264976693472","0.371937525764099","0.566592427622844"
"Some worries","2003","indirect migration background","Urban Area","264","0.385198406317371","0.348728909328177","0.421667903306566"
"Some worries","2003","no migration background","Rural Area","3591","0.518769804974129","0.506854663751804","0.530684946196454"
"Some worries","2003","no migration background","Urban Area","5898","0.496332931172486","0.487396504991112","0.505269357353859"
"Big worries","2004","direct migration background","Rural Area","119","0.240623957712799","0.200682893590644","0.280565021834954"
"Big worries","2004","direct migration background","Urban Area","555","0.28401292315651","0.264652231140279","0.303373615172741"
"Big worries","2004","indirect migration background","Rural Area","17","","",""
"Big worries","2004","indirect migration background","Urban Area","96","0.130231892253199","0.105101521547607","0.155362262958792"
"Big worries","2004","no migration background","Rural Area","1279","0.21874531716082","0.208776479921078","0.228714154400561"
"Big worries","2004","no migration background","Urban Area","1912","0.200214305161257","0.192957860991715","0.2074707493308"
"No worries","2004","direct migration background","Rural Area","110","0.282325592453526","0.240266431308312","0.324384753598741"
"No worries","2004","direct migration background","Urban Area","583","0.258338881276553","0.239545848252046","0.277131914301059"
"No worries","2004","indirect migration background","Rural Area","46","0.435533758444581","0.343707058279808","0.527360458609354"
