"plh0035","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","Schleswig-Holstein","1-pers.-HH","5","","",""
"Big worries","1999","Schleswig-Holstein","(Married) couple without C. ","24","","",""
"Big worries","1999","Schleswig-Holstein","Single parent ","2","","",""
"Big worries","1999","Schleswig-Holstein","Couple + C. LE 16 ","5","","",""
"Big worries","1999","Schleswig-Holstein","Couple + C. GT 16 ","2","","",""
"Big worries","1999","Schleswig-Holstein","Couple + C. LE and GT 16","3","","",""
"Big worries","1999","Hamburg","1-pers.-HH","12","","",""
"Big worries","1999","Hamburg","(Married) couple without C. ","7","","",""
"Big worries","1999","Hamburg","Single parent ","","","",""
"Big worries","1999","Hamburg","Couple + C. LE 16 ","","","",""
"Big worries","1999","Hamburg","Couple + C. GT 16 ","3","","",""
"Big worries","1999","Hamburg","Couple + C. LE and GT 16","","","",""
"Big worries","1999","Lower Saxony","1-pers.-HH","32","0.271802415117902","0.196476058043223","0.347128772192581"
"Big worries","1999","Lower Saxony","(Married) couple without C. ","73","0.223890663707178","0.181473601899228","0.266307725515127"
"Big worries","1999","Lower Saxony","Single parent ","10","","",""
"Big worries","1999","Lower Saxony","Couple + C. LE 16 ","26","","",""
"Big worries","1999","Lower Saxony","Couple + C. GT 16 ","31","0.15819541092462","0.106844303844142","0.209546518005099"
"Big worries","1999","Lower Saxony","Couple + C. LE and GT 16","16","","",""
"Big worries","1999","Bremen","1-pers.-HH","12","","",""
"Big worries","1999","Bremen","(Married) couple without C. ","9","","",""
"Big worries","1999","Bremen","Single parent ","4","","",""
"Big worries","1999","Bremen","Couple + C. LE 16 ","3","","",""
"Big worries","1999","Bremen","Couple + C. GT 16 ","5","","",""
"Big worries","1999","Bremen","Couple + C. LE and GT 16","","","",""
"Big worries","1999","North Rhine-Westphalia","1-pers.-HH","84","0.273307036263354","0.226005876910621","0.320608195616086"
"Big worries","1999","North Rhine-Westphalia","(Married) couple without C. ","185","0.228962824635248","0.19999188663507","0.257933762635426"
"Big worries","1999","North Rhine-Westphalia","Single parent ","21","","",""
"Big worries","1999","North Rhine-Westphalia","Couple + C. LE 16 ","79","0.090225229319542","0.0683175513686468","0.112132907270437"
"Big worries","1999","North Rhine-Westphalia","Couple + C. GT 16 ","103","0.195124334420732","0.159372592416739","0.230876076424725"
"Big worries","1999","North Rhine-Westphalia","Couple + C. LE and GT 16","41","0.163155384496186","0.115607935947244","0.210702833045129"
"Big worries","1999","Hesse","1-pers.-HH","18","","",""
"Big worries","1999","Hesse","(Married) couple without C. ","78","0.254245730850627","0.206978082088031","0.301513379613222"
"Big worries","1999","Hesse","Single parent ","9","","",""
"Big worries","1999","Hesse","Couple + C. LE 16 ","25","","",""
"Big worries","1999","Hesse","Couple + C. GT 16 ","33","0.206272765896741","0.142979886758562","0.26956564503492"
"Big worries","1999","Hesse","Couple + C. LE and GT 16","7","","",""
"Big worries","1999","Rhineland-Palatinate,Saarland","1-pers.-HH","21","","",""
