"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","Female","14.05","9.5","44","2","4","25","30","53","10.6","17.5","1","53","7","13"
"1984","college entrance qualification","Male","22.92","10.91","56","3","6","30","63","141","15.34","30.5","1","141","9","14"
"1984","lower secondary degree","Female","24.04","14","411","5","8","30","50","120","21.73","26.35","1","180","14","14"
"1984","lower secondary degree","Male","26.99","15","308","4","9","35","60","120","23.73","30.25","1","210","14","18"
"1984","no degree/no degree yet","Female","18.31","13.1","92","3","7","28","35","90","14.18","22.44","2","120","10","18"
"1984","no degree/no degree yet","Male","23.98","9.84","61","2","4","32","60","120","17.12","30.84","1","120","10","17"
"1984","Other degree","Female","15.44","10","82","5","7","20","30","80","12.52","18.36","1","80","7","10"
"1984","Other degree","Male","18.78","14","94","2","8","28","42","56","10.78","26.78","1","365","13","20"
"1984","secondary school degree","Female","23.64","12","143","5","6","24","62","150","17.75","29.53","1","280","8","12"
"1984","secondary school degree","Male","16.25","14","56","3","10","20","30","60","12.61","19.89","1","64","10","14"
"1985","college entrance qualification","Female","14.06","10","70","3","6","16","30","71","10.44","17.68","2","90","7","10"
"1985","college entrance qualification","Male","22.51","15.7","55","5","8","30","45","90","17","28.02","1","90","10","21"
"1985","lower secondary degree","Female","21.28","14","380","5","8","28","49","100","19.3","23.26","1","150","12","14"
"1985","lower secondary degree","Male","26.26","17","246","5","10","28","50","220","22.11","30.41","1","300","14","20"
"1985","no degree/no degree yet","Female","24.97","7","78","3","5","15","28","300","15.05","34.89","1","300","10","14"
"1985","no degree/no degree yet","Male","21.54","14","53","10","11","28","50","80","14.48","28.6","1","150","14","28"
"1985","Other degree","Female","14.5","12.23","77","5","7","20","21","63","12.05","16.95","1","63","8","14"
"1985","Other degree","Male","21.52","15","76","5","10","30","42","93","17.12","25.92","0","93","14","21"
"1985","secondary school degree","Female","21.2","14","141","5","7","26","54","100","17.89","24.51","1","127","10","14"
"1985","secondary school degree","Male","15.86","14","62","3","7","21","35","50","12.71","19.01","2","52","10","14"
"1986","college entrance qualification","Female","15.17","10","50","2","6","17","28","82","11.09","19.25","1","82","8","14"
"1986","college entrance qualification","Male","22.38","14","67","4","8","22","60","120","16.81","27.95","0","120","8","16"
"1986","lower secondary degree","Female","22.27","15","360","5","8","28","42","180","19.39","25.15","1","280","13","16"
"1986","lower secondary degree","Male","25.93","16","267","5","10","35","60","120","22.98","28.88","0","180","14","20"
"1986","no degree/no degree yet","Female","17.38","9.23","70","2","7","18","35","210","10.71","24.05","1","210","9","16"
"1986","no degree/no degree yet","Male","16.08","13.77","65","6","8","21","32","65","11.53","20.63","0","90","14","21"
"1986","Other degree","Female","15.75","12","84","5","6","19","35","80","12.56","18.94","1","80","8","14"
"1986","Other degree","Male","24.32","20","80","6","10","30","45","120","19.66","28.98","1","120","14","21"
"1986","secondary school degree","Female","20.31","14","146","4","6","23","42","120","15.45","25.17","1","247","8","14"
"1986","secondary school degree","Male","20.6","13.31","73","3","7","24","54","160","14.75","26.45","1","160","10","18"
"1987","college entrance qualification","Female","19.71","9","62","3","5","21","48","210","12.13","27.29","1","210","6","11"
"1987","college entrance qualification","Male","20.5","11.96","59","4","8","28","47","94","15.54","25.46","1","94","10","17"
"1987","lower secondary degree","Female","23.81","15","410","5","8","28","42","180","21.36","26.26","1","215","13","15"
"1987","lower secondary degree","Male","25.74","16","240","4","10","30","65","110","22.53","28.95","0","222","14","16"
"1987","no degree/no degree yet","Female","13.01","10","72","3","6","16","28","50","10.39","15.63","2","50","10","16"
"1987","no degree/no degree yet","Male","20.92","20.17","41","5","14","28","40","60","15.69","26.15","0","60","14","24"
"1987","Other degree","Female","18.41","10","64","5","7","20","28","150","12.43","24.39","3","150","8","15"
"1987","Other degree","Male","18.95","12","67","1","5","21","30","310","9.63","28.27","0","310","12","20"
"1987","secondary school degree","Female","18.56","9.83","136","3","5","20","50","100","14.79","22.33","1","175","7","10"
