"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","general elemantary","Rural Area","21.89","15","81","6","10","22","56","100","17.79","25.99","3","100","14","20"
"1985","general elemantary","Urban Area","25.5","14","282","5","10","29","56","180","22.57","28.43","0","220","13","14"
"1985","higher education","Rural Area","","","","","","","","","","","","","",""
"1985","higher education","Urban Area","20.11","12","61","3","7","35","42","90","15.49","24.73","1","90","8","16"
"1985","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1985","higher vocational","Urban Area","18.35","12","57","4","8","25","34","84","14.15","22.55","2","84","10","21"
"1985","in school","Rural Area","","","","","","","","","","","","","",""
"1985","in school","Urban Area","","","","","","","","","","","","","",""
"1985","inadequately","Rural Area","","","","","","","","","","","","","",""
"1985","inadequately","Urban Area","33.54","14","88","5","10","28","60","300","25.3","41.78","1","300","14","20"
"1985","middle vocational","Rural Area","19.15","14","133","5","9","21","49","61","16.25","22.05","1","100","11","15"
"1985","middle vocational","Urban Area","21.48","14","448","4","7","28","48","127","19.13","23.83","1","300","10","14"
"1985","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"1985","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"1986","general elemantary","Rural Area","17.75","15","85","3","6","22","38","62","14.67","20.83","1","74","8","20"
"1986","general elemantary","Urban Area","24.93","16","277","5","10","30","60","150","22.01","27.85","0","212","14","18"
"1986","higher education","Rural Area","","","","","","","","","","","","","",""
"1986","higher education","Urban Area","21.51","11.39","62","5","8","22","56","120","15.88","27.14","1","120","8","13"
"1986","higher vocational","Rural Area","","","","","","","","","","","","","",""
"1986","higher vocational","Urban Area","22.09","12","57","4","6","31","49","117","16.1","28.08","1","117","8","21"
"1986","in school","Rural Area","","","","","","","","","","","","","",""
"1986","in school","Urban Area","","","","","","","","","","","","","",""
"1986","inadequately","Rural Area","","","","","","","","","","","","","",""
"1986","inadequately","Urban Area","19.85","11.77","92","5","7","21","50","90","14.17","25.53","0","210","11","17"
"1986","middle vocational","Rural Area","17.97","14","124","6","8","21","42","70","13.71","22.23","1","230","10","16"
