"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","27.39","20","295","6","12","34","56","150","24.36","30.42","1","180","15","21"
"1984","1-pers.-HH","28.89","20","170","5","11","41","62","118","24.92","32.86","1","140","14","21"
"1984","Couple + C. GT 16 ","23.3","14","184","4","8","29","48","140","19.8","26.8","1","141","14","18"
"1984","Couple + C. LE 16","15.12","8","389","3","6","16","30","112","13.14","17.1","1","210","7","9"
"1984","Couple + C. LE and GT 16","19.4","12","170","3","6","21","40","120","13.51","25.29","1","365","10","14"
"1984","Single parent","19.53","13","53","6","8","28","42","84","15.13","23.93","1","84","10","14"
"1985","(Married) couple without C.","23.69","18","262","5","10","29","45","120","20.6","26.78","1","300","14","20"
"1985","1-pers.-HH","27.25","15.91","137","8","12","34","60","150","22.68","31.82","1","180","14","21"
"1985","Couple + C. GT 16 ","22.33","14","189","4","8","25","45","150","18.01","26.65","1","300","12","15"
"1985","Couple + C. LE 16","16.44","10","376","5","6","17","29","130","13.98","18.9","0","220","10","10"
"1985","Couple + C. LE and GT 16","17.57","11.54","142","3","6","21","35","120","14.4","20.74","1","120","10","14"
"1985","Single parent","19.24","14","48","2","6","24","35","90","14.11","24.37","1","90","9","21"
"1986","(Married) couple without C.","25.32","20","311","6","10","35","56","108","22.78","27.86","1","150","15","21"
"1986","1-pers.-HH","28.5","20","139","6","11","31","60","212","22.09","34.91","0","280","14","21"
"1986","Couple + C. GT 16 ","20.18","12.8","210","4","7","21","43","120","16.63","23.73","0","230","11","15"
"1986","Couple + C. LE 16","16.18","10","323","4","6","20","30","90","13.65","18.71","0","247","8","10"
"1986","Couple + C. LE and GT 16","17.46","12","137","3","7","21","42","90","14.28","20.64","0","112","11","15"
"1986","Single parent","14.22","10","58","2","6","20","28","120","9.62","18.82","1","120","9","15"
"1987","(Married) couple without C.","25.34","16","281","4","9","30","60","175","21.63","29.05","1","310","14","18"
"1987","1-pers.-HH","28.46","21","158","6","10","35","58","165","23.72","33.2","2","215","15","21"
"1987","Couple + C. GT 16 ","20.39","14","194","3","6","24","42","100","17.28","23.5","1","150","11","16"
"1987","Couple + C. LE 16","14.43","8","326","4","6","14","28","180","12.39","16.47","0","210","8","10"
"1987","Couple + C. LE and GT 16","20.55","14","118","5","7","30","42","90","17.42","23.68","1","90","12","18"
"1987","Single parent","18.16","11","60","3","8","28","42","67","14.08","22.24","0","67","10","13"
"1988","(Married) couple without C.","25.47","16","312","5","8","30","56","125","22.07","28.87","1","300","14","17"
"1988","1-pers.-HH","34.6","21","143","6","13","42","84","210","28.61","40.59","1","210","16","26"
"1988","Couple + C. GT 16 ","18.81","13","219","4","8","21","39","90","16.11","21.51","1","140","12","14"
"1988","Couple + C. LE 16","13.1","8","282","4","6","14","21","90","10.76","15.44","1","271","7","10"
"1988","Couple + C. LE and GT 16","16.08","11.58","101","5","7","18","24","90","12.2","19.96","1","120","10","14"
"1988","Single parent","26.84","12","60","4","6","30","70","180","19.88","33.8","1","180","8","14"
"1989","(Married) couple without C.","23.51","16","278","7","11","28","50","98","21.11","25.91","1","150","14","18"
"1989","1-pers.-HH","30.27","20.04","134","5","12","33","63","200","24.69","35.85","1","210","15","21"
"1989","Couple + C. GT 16 ","21.18","14","202","3","7","25","49","93","17.36","25","1","211","10","14"
"1989","Couple + C. LE 16","15.42","8","308","4","6","14","28","140","12.93","17.91","1","180","8","10"
"1989","Couple + C. LE and GT 16","15.95","11.83","89","3","7","21","35","60","12.94","18.96","1","70","10","14"
"1989","Single parent","18.47","10.11","54","3","5","15","40","143","11.44","25.5","1","143","9","14"
"1990","(Married) couple without C.","","","","","","","","","","","","","",""
"1990","1-pers.-HH","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","","","","","","","","","","","","","",""
"1990","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1990","Single parent","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","25.61","14","299","4","8","30","49","220","21.53","29.69","1","365","13","15"
"1991","1-pers.-HH","27.27","20","151","6","10","35","56","180","23.13","31.41","1","200","14","21"
"1991","Couple + C. GT 16 ","18.41","12","181","4","7","23","35","90","15.6","21.22","1","120","10","14"
"1991","Couple + C. LE 16","12.06","7","300","4","5","14","24","56","10.29","13.83","1","200","7","8"
