"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","23.65","14","1357","4","7","30","56","128","22.21","25.09","1","365","13","14"
"1985","21.94","14","1249","5","8","28","48","130","20.55","23.33","0","300","13","14"
"1986","22.19","14","1280","5","8","28","47","120","20.82","23.56","0","280","14","14"
"1987","22.35","14","1236","4","7","28","48","132","20.99","23.71","0","310","12","14"
"1988","23.63","14","1193","5","7","28","52","150","22.09","25.17","1","300","12","14"
"1989","22.25","14","1142","5","8","25","49","128","20.85","23.65","1","211","13","14"
"1990","","","","","","","","","","","","","",""
"1991","21.31","14","1164","4","7","25","45","180","19.79","22.83","1","365","10","14"
"1992","21.74","14","1481","4","7","28","48","130","20.37","23.11","1","365","11","14"
"1993","","","","","","","","","","","","","",""
"1994","19.51","12","1493","3","6","21","42","120","18.36","20.66","1","240","10","11"
"1995","19.11","12","1559","3","6","24","42","108","17.98","20.24","0","250","10","12"
"1996","18.27","11","1589","3","6","21","40","128","17.21","19.33","1","215","10","10"
"1997","17.01","10","1548","3","5","21","39","120","15.98","18.04","1","320","9","10"
"1998","16.57","10","1736","3","5","20","40","102","15.65","17.49","1","210","9","10"
"1999","16.21","10","1674","3","5","20","35","110","15.22","17.2","1","330","10","10"
"2000","16.3","10","2854","3","5","20","35","100","15.57","17.03","1","305","9","10"
"2001","15.47","10","2634","3","5","20","30","110","14.71","16.23","1","250","8","10"
"2002","15.4","10","2716","2","5","19","34","95","14.67","16.13","0","360","8","9"
"2003","14.25","8","2632","2","4","17","30","93","13.5","15","1","242","7","8"
"2004","15.2","9","2590","2","4","16","30","120","14.42","15.98","1","350","7","8"
"2005","14.49","8","2297","2","4","15","30","120","13.71","15.27","1","250","7","8"
"2006","14.5","8","2564","2","4","15","30","110","13.76","15.24","1","280","7","8"
"2007","13.37","7","2442","2","4","14","31","90","12.67","14.07","1","231","7","8"
"2008","13.31","7","2256","2","4","15","30","90","12.58","14.04","1","240","7","7"
"2009","12.4","7","2304","2","3","14","28","100","11.59","13.21","1","300","7","7"
"2010","13.13","7","3279","2","3","14","28","120","12.51","13.75","1","250","5","6"
"2011","11.56","6","3901","2","3","13","26","84","11.03","12.09","1","250","5","6"
"2012","12.21","6","3736","2","3","14","29","91","11.6","12.82","1","300","5","6"
"2013","11.88","6","3462","2","3","13","25","100","11.29","12.47","1","270","5","6"
"2014","11.32","6","3016","2","3","13","25","80","10.74","11.9","1","210","5","6"
"2015","10.57","6","3337","1","3","11","21","90","10","11.14","1","300","5","5"
"2016","10.51","5","3203","2","3","11","21","90","9.91","11.11","1","300","5","5"
"2017","10.9","6","3582","1","3","12","25","90","10.36","11.44","1","240","5","5"
"2018","10.55","5","3434","1","3","11","22","92","9.96","11.14","1","280","5","5"
"2019","10.52","5","3464","1","3","10","21","90","9.91","11.13","1","300","5","5"
