"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","East Germany","","","","","","","","","","","","","",""
"1984","general elemantary","West Germany","26.77","17","397","6","10","30","60","140","24.27","29.27","1","160","14","17"
"1984","higher education","East Germany","","","","","","","","","","","","","",""
"1984","higher education","West Germany","16.58","10","61","2","4","16","34","141","11.09","22.07","1","141","7","12"
"1984","higher vocational","East Germany","","","","","","","","","","","","","",""
"1984","higher vocational","West Germany","25.18","14","87","4","9","29","72","120","18.88","31.48","1","120","10","18"
"1984","in school","East Germany","","","","","","","","","","","","","",""
"1984","in school","West Germany","","","","","","","","","","","","","",""
"1984","inadequately","East Germany","","","","","","","","","","","","","",""
"1984","inadequately","West Germany","21.11","14","137","3","6","29","45","120","17.22","25","1","120","10","15"
"1984","middle vocational","East Germany","","","","","","","","","","","","","",""
"1984","middle vocational","West Germany","22.63","14","627","4","7","30","50","128","20.34","24.92","1","365","12","14"
"1984","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1984","vocational + Abi","West Germany","18.1","9.95","34","3","5","23","38","90","11.32","24.88","1","90","8","14"
"1985","general elemantary","East Germany","","","","","","","","","","","","","",""
"1985","general elemantary","West Germany","24.54","14.21","363","5","10","28","56","150","22.09","26.99","0","220","14","15"
"1985","higher education","East Germany","","","","","","","","","","","","","",""
"1985","higher education","West Germany","19.58","14","72","3","7","28","40","90","15.57","23.59","1","90","8","15"
"1985","higher vocational","East Germany","","","","","","","","","","","","","",""
"1985","higher vocational","West Germany","18.68","12","78","5","8","28","34","84","15.11","22.25","2","84","10","20"
"1985","in school","East Germany","","","","","","","","","","","","","",""
"1985","in school","West Germany","","","","","","","","","","","","","",""
"1985","inadequately","East Germany","","","","","","","","","","","","","",""
"1985","inadequately","West Germany","30.2","14","106","4","8","21","50","300","22.37","38.03","1","300","14","20"
"1985","middle vocational","East Germany","","","","","","","","","","","","","",""
"1985","middle vocational","West Germany","20.89","14","581","5","8","28","49","120","18.96","22.82","1","300","12","14"
"1985","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1985","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1986","general elemantary","East Germany","","","","","","","","","","","","","",""
"1986","general elemantary","West Germany","22.96","16","362","4","9","28","47","120","20.61","25.31","0","212","14","16"
"1986","higher education","East Germany","","","","","","","","","","","","","",""
"1986","higher education","West Germany","19.44","11","73","4","8","21","35","120","14.6","24.28","1","120","8","13"
"1986","higher vocational","East Germany","","","","","","","","","","","","","",""
"1986","higher vocational","West Germany","21.66","14","73","4","7","30","49","117","16.8","26.52","1","117","10","20"
"1986","in school","East Germany","","","","","","","","","","","","","",""
"1986","in school","West Germany","","","","","","","","","","","","","",""
"1986","inadequately","East Germany","","","","","","","","","","","","","",""
"1986","inadequately","West Germany","18.43","13.54","110","5","7","20","35","90","13.6","23.26","0","210","13","18"
"1986","middle vocational","East Germany","","","","","","","","","","","","","",""
"1986","middle vocational","West Germany","22.44","14","605","5","8","28","47","120","20.25","24.63","0","280","13","14"
"1986","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1986","vocational + Abi","West Germany","27.74","21.45","30","5","9","40","60","82","20.43","35.05","1","82","9","30"
"1987","general elemantary","East Germany","","","","","","","","","","","","","",""
"1987","general elemantary","West Germany","26.28","15","356","5","8","30","60","189","23.36","29.2","0","215","12","14"
"1987","higher education","East Germany","","","","","","","","","","","","","",""
"1987","higher education","West Germany","22.56","11","78","3","6","29","56","210","15.81","29.31","1","210","7","14"
"1987","higher vocational","East Germany","","","","","","","","","","","","","",""
"1987","higher vocational","West Germany","18.08","10.08","71","3","5","21","42","100","13.68","22.48","1","100","8","13"
"1987","in school","East Germany","","","","","","","","","","","","","",""
"1987","in school","West Germany","","","","","","","","","","","","","",""
"1987","inadequately","East Germany","","","","","","","","","","","","","",""
"1987","inadequately","West Germany","14.34","10.7","95","2","5","21","28","60","11.53","17.15","0","60","12","21"
"1987","middle vocational","East Germany","","","","","","","","","","","","","",""
"1987","middle vocational","West Germany","21.63","14","584","5","8","28","42","110","19.69","23.57","0","310","12","14"
"1987","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1987","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1988","general elemantary","East Germany","","","","","","","","","","","","","",""
"1988","general elemantary","West Germany","24.62","14","362","5","8","30","50","150","21.37","27.87","1","300","12","14"
"1988","higher education","East Germany","","","","","","","","","","","","","",""
"1988","higher education","West Germany","33.33","14","66","4","7","40","74","210","23.97","42.69","2","210","9","20"
"1988","higher vocational","East Germany","","","","","","","","","","","","","",""
"1988","higher vocational","West Germany","20.1","14","81","4","7","30","42","90","16.29","23.91","1","90","10","15"
"1988","in school","East Germany","","","","","","","","","","","","","",""
"1988","in school","West Germany","","","","","","","","","","","","","",""
"1988","inadequately","East Germany","","","","","","","","","","","","","",""
"1988","inadequately","West Germany","16.78","10","92","5","6","21","40","90","12.82","20.74","1","110","10","18"
"1988","middle vocational","East Germany","","","","","","","","","","","","","",""
"1988","middle vocational","West Germany","23.23","14","535","5","7","28","55","180","21.08","25.38","1","185","12","14"
"1988","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1988","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1989","general elemantary","East Germany","","","","","","","","","","","","","",""
"1989","general elemantary","West Germany","24.41","14","333","5","10","28","45","200","21.4","27.42","1","211","14","14"
"1989","higher education","East Germany","","","","","","","","","","","","","",""
"1989","higher education","West Germany","30.26","18","51","5","6","38","90","100","22.24","38.28","1","100","7","21"
"1989","higher vocational","East Germany","","","","","","","","","","","","","",""
"1989","higher vocational","West Germany","19.44","11.62","58","5","7","21","50","95","14.65","24.23","1","95","8","12"
"1989","in school","East Germany","","","","","","","","","","","","","",""
"1989","in school","West Germany","","","","","","","","","","","","","",""
"1989","inadequately","East Germany","","","","","","","","","","","","","",""
"1989","inadequately","West Germany","19.64","13.61","92","3","5","22","45","100","14.59","24.69","1","156","14","20"
"1989","middle vocational","East Germany","","","","","","","","","","","","","",""
"1989","middle vocational","West Germany","21.4","14","550","5","8","25","48","128","19.56","23.24","1","180","12","14"
"1989","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1989","vocational + Abi","West Germany","11.77","6","31","2","3","16","20","90","4.12","19.42","1","90","5","14"
"1990","general elemantary","East Germany","","","","","","","","","","","","","",""
