"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","Female","","","","","","","","","","","","","",""
"1984","(0) in school","Male","","","","","","","","","","","","","",""
"1984","(1a) inadequately completed","Female","18.66","10.83","90","3","7","28","42","90","14.45","22.87","2","120","10","18"
"1984","(1a) inadequately completed","Male","24.84","14","54","3","5","40","60","120","17.67","32.01","1","120","11","21"
"1984","(1b) general elementary school","Female","27.49","20","246","6","10","30","60","140","24.41","30.57","1","160","14","18"
"1984","(1b) general elementary school","Male","26.25","17.47","108","4","10","31","60","120","21.56","30.94","1","120","14","21"
"1984","(1c) basic vocational qualification","Female","20.1","14","235","4","7","28","42","118","17.49","22.71","1","180","10","14"
"1984","(1c) basic vocational qualification","Male","26.94","14.57","267","4","8","35","60","128","22.69","31.19","1","365","14","18"
"1984","(2a) intermediate vocational","Female","22.73","11.05","101","4","6","22","60","150","15.37","30.09","1","280","8","13"
"1984","(2a) intermediate vocational","Male","17.88","14","45","3","10","21","41","60","13.52","22.24","1","64","12","20"
"1984","(2b) intermediate general qualification","Female","26.82","14","38","6","7","28","96","140","16.03","37.61","1","140","7","17"
"1984","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1984","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1984","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1984","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1984","(2c_voc) vocational maturity certificate","Male","23.04","13.29","34","3","6","30","70","90","15.73","30.35","1","90","9","20"
"1984","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1984","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
"1984","(3b) higher tertiary education","Female","","","","","","","","","","","","","",""
"1984","(3b) higher tertiary education","Male","","","","","","","","","","","","","",""
"1985","(0) in school","Female","","","","","","","","","","","","","",""
"1985","(0) in school","Male","","","","","","","","","","","","","",""
"1985","(1a) inadequately completed","Female","34.59","13.6","69","4","6","21","42","300","23.49","45.69","1","300","10","15"
"1985","(1a) inadequately completed","Male","24.17","15.52","49","7","10","30","55","80","16.69","31.65","1","150","16","30"
"1985","(1b) general elementary school","Female","22.77","15","244","6","10","28","49","100","20.3","25.24","1","150","13","15"
"1985","(1b) general elementary school","Male","34.19","16.19","85","5","12","41","60","220","26.93","41.45","0","220","14","20"
"1985","(1c) basic vocational qualification","Female","19.07","12","200","5","7","21","49","90","16.62","21.52","1","120","10","14"
"1985","(1c) basic vocational qualification","Male","24.17","17","224","5","10","28","42","150","20.25","28.09","1","300","14","21"
"1985","(2a) intermediate vocational","Female","20.61","14","113","4","7","28","54","91","16.92","24.3","1","127","9","14"
"1985","(2a) intermediate vocational","Male","15.21","12.06","46","3","7","20","35","52","11.52","18.9","2","52","10","18"
"1985","(2b) intermediate general qualification","Female","","","","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","Male","","","","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","Female","","","","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","Male","","","","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","","","","",""
"1985","(3a) lower tertiary education","Female","","","","","","","","","","","","","",""
"1985","(3a) lower tertiary education","Male","","","","","","","","","","","","","",""
