"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","East Germany","","","","","","","","","","","","","",""
"1985","Rural Area","West Germany","20.13","14","276","5","10","22","45","100","17.55","22.71","1","180","14","15"
"1985","Urban Area","East Germany","","","","","","","","","","","","","",""
"1985","Urban Area","West Germany","22.56","14","973","5","8","28","49","150","20.94","24.18","0","300","12","14"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","17.52","14","260","4","8","21","39","62","15.16","19.88","1","230","12","16"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","23.57","14","1020","5","8","30","55","150","21.95","25.19","0","280","14","14"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","19.48","14.18","267","4","7","28","40","91","17.44","21.52","0","141","11","14"
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","23.22","14","969","4","7","28","56","165","21.58","24.86","0","310","12","14"
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","21.82","14","228","4","7","25","44","150","18.23","25.41","1","261","11","14"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","24.11","14","965","5","7","28","56","150","22.4","25.82","1","300","12","14"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","22.82","14","241","4","7","25","50","180","19.47","26.17","1","210","11","15"
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","22.07","14","901","5","8","25","49","107","20.54","23.6","1","211","13","14"
"1990","Rural Area","East Germany","","","","","","","","","","","","","",""
"1990","Rural Area","West Germany","","","","","","","","","","","","","",""
"1990","Urban Area","East Germany","","","","","","","","","","","","","",""
"1990","Urban Area","West Germany","","","","","","","","","","","","","",""
"1991","Rural Area","East Germany","","","","","","","","","","","","","",""
"1991","Rural Area","West Germany","20.04","14","248","5","7","27","45","90","17.16","22.92","1","210","10","14"
"1991","Urban Area","East Germany","","","","","","","","","","","","","",""
"1991","Urban Area","West Germany","21.7","14","916","4","7","25","45","180","19.93","23.47","1","365","10","14"
"1992","Rural Area","East Germany","22.23","14","232","5","7","28","42","140","18.79","25.67","1","270","11","15"
"1992","Rural Area","West Germany","24.74","14","247","5","7","30","50","312","20.23","29.25","1","365","11","14"
"1992","Urban Area","East Germany","18.92","12.54","117","3","6","20","30","196","12.82","25.02","1","270","10","14"
"1992","Urban Area","West Germany","20.83","14","866","4","6","26","48","125","19.39","22.27","1","187","10","14"
"1993","Rural Area","East Germany","","","","","","","","","","","","","",""
"1993","Rural Area","West Germany","","","","","","","","","","","","","",""
"1993","Urban Area","East Germany","","","","","","","","","","","","","",""
"1993","Urban Area","West Germany","","","","","","","","","","","","","",""
"1994","Rural Area","East Germany","21.65","13","257","4","7","21","40","240","18.55","24.75","1","240","10","13"
"1994","Rural Area","West Germany","17.54","14","232","4","6","23","38","60","15.35","19.73","1","110","10","14"
"1994","Urban Area","East Germany","24.58","15.01","137","3","6","26","44","160","19.84","29.32","1","180","10","15"
"1994","Urban Area","West Germany","19.24","11","867","3","6","21","42","120","17.77","20.71","1","196","10","11"
"1995","Rural Area","East Germany","18.28","12.51","297","3","6","26","42","90","16.22","20.34","1","120","9","12"
"1995","Rural Area","West Germany","17.8","11","256","3","5","22","40","90","15.3","20.3","0","170","9","12"
"1995","Urban Area","East Germany","19.25","10","128","3","6","21","40","186","15.46","23.04","1","186","8","12"
"1995","Urban Area","West Germany","19.67","12","878","3","6","24","42","120","18.01","21.33","1","250","10","12"
"1996","Rural Area","East Germany","17.42","12","307","3","6","21","41","84","15.35","19.49","1","140","10","13"
"1996","Rural Area","West Germany","18.42","14","255","4","6","21","41","100","15.97","20.87","1","215","10","13"
"1996","Urban Area","East Germany","17.86","11","144","3","6","20","35","120","14.18","21.54","1","180","8","12"
"1996","Urban Area","West Germany","18.46","10","883","3","6","21","40","130","16.95","19.97","1","190","10","10"
"1997","Rural Area","East Germany","14.01","10","274","3","6","19","30","68","12.44","15.58","1","105","8","12"
"1997","Rural Area","West Germany","18.01","11.44","254","3","5","24","40","120","14.62","21.4","1","320","8","11"
"1997","Urban Area","East Germany","19.62","12.85","142","3","6","28","45","86","16.65","22.59","1","86","9","14"
"1997","Urban Area","West Germany","17.02","10","878","3","5","20","40","125","15.64","18.4","1","185","8","10"
"1998","Rural Area","East Germany","17.42","10","336","3","6","20","41","110","15.5","19.34","1","135","9","12"
"1998","Rural Area","West Germany","15.94","10","293","3","5","19","40","80","13.81","18.07","1","140","8","11"
"1998","Urban Area","East Germany","16.89","10","146","3","5","19","35","102","13.25","20.53","1","150","7","12"
"1998","Urban Area","West Germany","16.54","10","961","3","5","20","40","100","15.28","17.8","1","210","8","10"
"1999","Rural Area","East Germany","17.13","13","322","3","6","21","35","120","15.14","19.12","1","150","10","13"
"1999","Rural Area","West Germany","13.6","9.75","271","3","5","19","29","60","12.05","15.15","1","93","7","10"
"1999","Urban Area","East Germany","13.48","10","160","2","6","15","28","65","10.87","16.09","1","148","8","10"
"1999","Urban Area","West Germany","17.06","10","921","3","5","18","35","110","15.54","18.58","1","330","9","10"
"2000","Rural Area","East Germany","16.76","10","488","3","6","21","37","100","15.17","18.35","1","124","9","12"
"2000","Rural Area","West Germany","15.64","10","548","2","5","20","33","92","13.92","17.36","1","180","8","10"
"2000","Urban Area","East Germany","12.48","7","225","3","4","14","25","80","10.57","14.39","1","100","7","10"
"2000","Urban Area","West Germany","16.81","10","1593","3","5","20","38","100","15.79","17.83","1","305","9","10"
"2001","Rural Area","East Germany","16.65","10","440","3","5","20","35","120","14.88","18.42","1","175","8","10"
"2001","Rural Area","West Germany","14.65","8","518","2","5","17","34","92","12.99","16.31","1","210","7","9"
"2001","Urban Area","East Germany","15.06","8","207","3","5","18","35","100","12.39","17.73","1","180","7","10"
"2001","Urban Area","West Germany","15.56","10","1469","3","5","20","30","110","14.52","16.6","1","250","8","10"
"2002","Rural Area","East Germany","16.57","10","456","3","5","20","35","95","14.95","18.19","0","132","9","10"
"2002","Rural Area","West Germany","13.18","8","492","2","4","15","28","90","11.73","14.63","1","200","7","9"
"2002","Urban Area","East Germany","16.28","10","196","2","5","20","38","120","13.19","19.37","1","180","7","10"
"2002","Urban Area","West Germany","15.75","10","1572","2","5","20","35","93","14.75","16.75","1","360","8","9"
"2003","Rural Area","East Germany","14.06","10","444","3","6","18","30","97","12.75","15.37","1","100","8","10"
"2003","Rural Area","West Germany","13.23","8","450","2","4","14","28","84","11.36","15.1","1","240","7","8"
"2003","Urban Area","East Germany","13.2","10","211","2","4","15","28","75","10.28","16.12","1","215","6","11"
"2003","Urban Area","West Germany","14.71","8","1527","2","4","18","30","105","13.68","15.74","1","242","7","8"
"2004","Rural Area","East Germany","15.95","10","430","3","5","20","38","90","14.51","17.39","1","98","8","10"
"2004","Rural Area","West Germany","15.34","8","462","2","4","17","31","90","13.36","17.32","1","275","6","8"
"2004","Urban Area","East Germany","15.76","10","199","3","5","20","30","124","11.75","19.77","1","350","7","10"
"2004","Urban Area","West Germany","14.94","8","1499","2","4","15","30","120","13.94","15.94","1","240","7","8"
"2005","Rural Area","East Germany","13.86","9","438","2","5","14","30","84","12.38","15.34","1","170","8","10"
"2005","Rural Area","West Germany","11.7","7","388","3","5","14","27","60","10.35","13.05","1","120","6","8"
"2005","Urban Area","East Germany","18.94","8","175","3","4","17","45","122","15.96","21.92","1","122","6","9"
"2005","Urban Area","West Germany","15.05","8","1296","2","4","16","30","120","13.9","16.2","1","250","7","8"
"2006","Rural Area","East Germany","17.9","10","430","3","4","20","38","220","15.9","19.9","1","220","8","10"
"2006","Rural Area","West Germany","13.52","7","473","2","4","14","30","90","12.04","15","1","180","7","9"
"2006","Urban Area","East Germany","13.64","10","232","2","5","18","28","100","11.79","15.49","1","100","7","9"
"2006","Urban Area","West Germany","14.19","7","1429","2","4","15","30","120","13.16","15.22","1","280","7","8"
"2007","Rural Area","East Germany","12.85","8","444","2","4","14","30","86","11.36","14.34","1","150","7","9"
"2007","Rural Area","West Germany","12.65","7","431","2","4","14","31","90","11.29","14.01","1","112","6","8"
"2007","Urban Area","East Germany","15.73","8","188","2","4","17","40","100","13.49","17.97","1","100","6","10"
"2007","Urban Area","West Germany","13.48","7","1379","2","4","14","30","80","12.46","14.5","1","231","7","7"
"2008","Rural Area","East Germany","14.12","9","425","3","5","15","33","91","12.37","15.87","1","122","7","10"
"2008","Rural Area","West Germany","13.84","7","411","2","4","15","22","240","12.18","15.5","1","240","6","8"
"2008","Urban Area","East Germany","11.22","8","183","1","4","14","25","56","9.15","13.29","1","123","6","8"
"2008","Urban Area","West Germany","13.14","7","1237","2","4","14","30","90","12.14","14.14","1","200","6","7"
"2009","Rural Area","East Germany","11.75","7","420","2","4","12","22","90","9.7","13.8","1","290","7","9"
"2009","Rural Area","West Germany","11.6","7","437","2","3","14","28","99","9.63","13.57","1","220","6","8"
"2009","Urban Area","East Germany","12.25","8","194","2","4","15","24","49","10.03","14.47","1","150","5","8"
"2009","Urban Area","West Germany","12.88","7","1253","2","3","14","28","113","11.79","13.97","1","300","6","7"
"2010","Rural Area","East Germany","13","7","506","2","4","13","27","90","11.53","14.47","1","240","6","7"
"2010","Rural Area","West Germany","11.12","6","632","2","3","12","22","91","9.89","12.35","1","200","5","6"
"2010","Urban Area","East Germany","9.35","6","267","1","3","10","15","80","7.53","11.17","1","160","5","6"
"2010","Urban Area","West Germany","14.07","7","1874","2","3","14","30","120","13.2","14.94","1","250","5","6"
"2011","Rural Area","East Germany","12.22","7","597","2","4","14","25","73","10.7","13.74","1","210","6","7"
"2011","Rural Area","West Germany","11.44","6","832","2","3","12","25","90","10.26","12.62","1","250","5","6"
"2011","Urban Area","East Germany","10.04","6","335","2","3","11","20","90","8.3","11.78","1","150","5","6"
"2011","Urban Area","West Germany","11.63","6","2137","2","3","13","28","80","10.93","12.33","1","200","5","6"
"2012","Rural Area","East Germany","13.31","8","590","2","4","15","30","105","12","14.62","1","160","5","7"
"2012","Rural Area","West Germany","11.66","6","820","2","3","13","30","90","10.36","12.96","1","210","5","6"
"2012","Urban Area","East Germany","12.16","5","302","2","3","12","27","120","9.76","14.56","1","180","5","6"
"2012","Urban Area","West Germany","12.15","6","2024","2","3","14","28","90","11.31","12.99","1","300","5","6"
"2013","Rural Area","East Germany","10.71","7","531","1","4","12","24","54","9.54","11.88","1","125","6","7"
"2013","Rural Area","West Germany","11.62","5","763","2","3","12","21","133","10.28","12.96","1","250","5","6"
"2013","Urban Area","East Germany","12.53","7","277","2","4","14","30","81","10.3","14.76","1","215","5","7"
"2013","Urban Area","West Germany","12.14","6","1891","2","3","13","27","93","11.33","12.95","1","270","5","6"
"2014","Rural Area","East Germany","11.95","7","522","2","4","15","27","77","10.51","13.39","1","210","6","8"
"2014","Rural Area","West Germany","12.39","5","626","1","3","12","28","150","10.84","13.94","1","210","5","6"
"2014","Urban Area","East Germany","11.23","6","218","1","3","11","24","90","8.69","13.77","1","180","5","7"
"2014","Urban Area","West Germany","10.76","6","1650","2","3","13","24","70","10.09","11.43","1","185","5","6"
"2015","Rural Area","East Germany","9.57","6","508","2","3","12","20","60","8.59","10.55","1","90","5","6"
"2015","Rural Area","West Germany","10.68","6","750","1","3","10","22","100","9.23","12.13","1","300","5","6"
"2015","Urban Area","East Germany","14.38","7","243","1","3","14","31","100","12.23","16.53","1","122","5","7"
"2015","Urban Area","West Germany","10.4","5","1836","1","3","10","21","90","9.64","11.16","1","260","5","5"
"2016","Rural Area","East Germany","12.49","6","467","2","4","11","28","100","10.54","14.44","1","300","5","7"
"2016","Rural Area","West Germany","9.49","5","712","2","3","10","20","75","8.24","10.74","1","270","5","5"
"2016","Urban Area","East Germany","11.46","6","219","1","3","11","21","91","9.76","13.16","1","91","5","7"
"2016","Urban Area","West Germany","10.35","5","1805","1","3","12","21","90","9.57","11.13","1","209","5","5"
"2017","Rural Area","East Germany","10.52","6","529","2","4","12","21","67","9.02","12.02","1","200","6","7"
"2017","Rural Area","West Germany","10.12","6","780","1","3","11","28","56","9.21","11.03","1","120","5","6"
"2017","Urban Area","East Germany","11.21","7","265","2","3","14","28","90","9.46","12.96","1","105","5","7"
"2017","Urban Area","West Germany","11.21","5","2008","1","3","11","25","90","10.43","11.99","1","240","5","5"
"2018","Rural Area","East Germany","10.77","5","540","2","3","12","24","90","9.35","12.19","1","200","5","6"
"2018","Rural Area","West Germany","10.81","6","725","1","3","14","21","100","9.58","12.04","1","180","5","6"
"2018","Urban Area","East Germany","12.92","6","269","1","3","13","30","90","10.5","15.34","1","200","5","7"
"2018","Urban Area","West Germany","10.15","5","1900","1","3","10","21","92","9.35","10.95","1","280","4","5"
"2019","Rural Area","East Germany","11.19","7","479","2","3","14","22","75","9.15","13.23","1","270","5","6"
"2019","Rural Area","West Germany","10.41","5.28","742","1","3","10","21","100","9.34","11.48","1","180","5","5"
"2019","Urban Area","East Germany","11.45","6","217","1","3","12","24","75","9.58","13.32","1","92","5","7"
"2019","Urban Area","West Germany","9.98","5","1787","1","3","10","21","90","9.21","10.75","1","240","4","5"
