"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","20.19","14","401","3","7","27","40","100","17.62","22.76","1","365","10","14"
"1984","indirect migration background","","","","","","","","","","","","","",""
"1984","no migration background","24.04","14","950","4","8","30","56","140","22.3","25.78","1","280","13","14"
"1985","direct migration background","20.71","14","335","5","7","21","40","220","18.1","23.32","0","220","12","14"
"1985","indirect migration background","","","","","","","","","","","","","",""
"1985","no migration background","22.11","14","897","5","8","28","49","130","20.45","23.77","1","300","13","14"
"1986","direct migration background","24.72","15","378","5","8","30","60","150","22.22","27.22","0","230","14","15"
"1986","indirect migration background","","","","","","","","","","","","","",""
"1986","no migration background","22.03","14","883","5","8","28","45","120","20.35","23.71","0","280","13","14"
"1987","direct migration background","24.55","15","324","5","8","30","60","175","21.78","27.32","0","310","12","14"
"1987","indirect migration background","","","","","","","","","","","","","",""
"1987","no migration background","22.14","14","896","4","7","28","48","132","20.55","23.73","0","222","12","14"
"1988","direct migration background","21.63","13","298","5","7","21","43","150","18.63","24.63","1","300","12","14"
"1988","indirect migration background","","","","","","","","","","","","","",""
"1988","no migration background","23.82","14","875","5","7","28","55","150","21.99","25.65","1","271","12","14"
"1989","direct migration background","23.96","14","289","5","8","24","47","180","21.04","26.88","1","211","14","14"
"1989","indirect migration background","","","","","","","","","","","","","",""
"1989","no migration background","22.1","14","830","5","8","25","49","107","20.51","23.69","1","210","12","14"
"1990","direct migration background","","","","","","","","","","","","","",""
"1990","indirect migration background","","","","","","","","","","","","","",""
"1990","no migration background","","","","","","","","","","","","","",""
"1991","direct migration background","20.43","13.41","279","5","7","22","35","90","17.37","23.49","1","365","10","14"
"1991","indirect migration background","","","","","","","","","","","","","",""
"1991","no migration background","21.11","14","859","4","7","25","45","180","19.38","22.84","1","300","10","14"
"1992","direct migration background","16.63","10","279","5","6","22","39","64","14.9","18.36","1","90","10","14"
"1992","indirect migration background","14.18","7","39","2","5","20","42","47","9.68","18.68","1","56","6","16"
"1992","no migration background","22.46","14","1163","4","7","28","49","150","20.77","24.15","1","365","11","14"
"1993","direct migration background","","","","","","","","","","","","","",""
"1993","indirect migration background","","","","","","","","","","","","","",""
"1993","no migration background","","","","","","","","","","","","","",""
"1994","direct migration background","19.6","11.89","256","5","7","21","40","240","16.8","22.4","1","240","10","14"
"1994","indirect migration background","18.27","10","47","3","5","21","42","90","14.13","22.41","1","90","7","13"
"1994","no migration background","19.53","12","1190","3","6","21","42","120","18.23","20.83","1","196","10","11"
"1995","direct migration background","18.53","14","321","3","6","21","36","150","15.66","21.4","1","220","11","14"
"1995","indirect migration background","13.23","8","42","2","7","14","25","81","8.52","17.94","1","81","8","14"
"1995","no migration background","19.26","12","1196","3","5","24","42","108","18.01","20.51","0","250","10","11"
"1996","direct migration background","17.25","11","321","3","6","20","35","110","14.69","19.81","1","180","10","14"
"1996","indirect migration background","8.9","7","55","2","4","10","18","60","6.44","11.36","1","60","6","8"
"1996","no migration background","18.6","12","1213","3","6","21","40","130","17.39","19.81","1","215","10","10"
"1997","direct migration background","16.15","10","294","3","6","20","37","86","13.44","18.86","1","320","8","11"
"1997","indirect migration background","14.49","9","63","2","4","21","35","125","9.43","19.55","1","125","6","10"
"1997","no migration background","17.2","10","1191","3","5","21","40","120","16.07","18.33","1","200","8","10"
"1998","direct migration background","14.42","10","305","3","5","17","34","88","12.58","16.26","1","100","9","12"
"1998","indirect migration background","14.14","6.93","48","3","5","10","35","84","10.09","18.19","1","84","6","10"
"1998","no migration background","16.98","10","1383","3","5","20","40","110","15.91","18.05","1","210","9","10"
"1999","direct migration background","13.65","9","285","2","5","16","30","100","11.9","15.4","1","120","8","11"
"1999","indirect migration background","10.33","7","47","1","4","14","21","45","7.16","13.5","1","45","6","14"
"1999","no migration background","16.79","10","1342","3","5","20","35","110","15.62","17.96","1","330","10","10"
"2000","direct migration background","14.57","8.41","370","3","5","17","30","78","12.59","16.55","1","180","8","10"
"2000","indirect migration background","14.25","8","84","2","5","15","24","112","9.6","18.9","1","150","6","10"
"2000","no migration background","16.59","10","2400","3","5","21","35","100","15.79","17.39","1","305","9","10"
"2001","direct migration background","13.43","10","349","3","5","17","30","70","12.09","14.77","1","90","8","10"
"2001","indirect migration background","11.77","6","81","1","4","14","21","90","9.15","14.39","1","90","5","8"
"2001","no migration background","15.85","10","2204","3","5","20","32","120","14.97","16.73","1","250","8","10"
"2002","direct migration background","14.63","10","327","3","5","20","30","70","12.93","16.33","1","140","7","10"
"2002","indirect migration background","8.78","6","84","2","4","12","20","31","6.11","11.45","1","99","5","8"
"2002","no migration background","15.66","10","2305","2","5","20","35","102","14.84","16.48","0","360","8","9"
"2003","direct migration background","12.53","7","307","3","4","14","25","97","10.55","14.51","1","130","7","10"
"2003","indirect migration background","11.06","7.88","74","3","5","14","17","90","8.36","13.76","1","90","6","8"
"2003","no migration background","14.62","8.98","2251","2","4","18","30","93","13.79","15.45","1","242","7","8"
"2004","direct migration background","13.28","8","299","3","5","14","30","90","11.45","15.11","1","120","7","10"
"2004","indirect migration background","16.12","8","76","2","4","17","49","120","12.45","19.79","1","120","5","9"
"2004","no migration background","15.45","9","2215","2","4","17","31","120","14.58","16.32","1","350","7","8"
"2005","direct migration background","14.11","7.44","261","2","4","15","30","90","12.34","15.88","1","120","7","10"
"2005","indirect migration background","11.58","6.59","66","2","4","14","26","60","8.66","14.5","1","60","5","7"
"2005","no migration background","14.66","8","1970","2","4","15","30","122","13.79","15.53","1","250","7","8"
"2006","direct migration background","13.91","7","266","3","3","14","30","90","11.25","16.57","1","280","7","10"
"2006","indirect migration background","9.91","5","74","1","2","12","25","60","7.13","12.69","1","70","5","9"
"2006","no migration background","14.75","8","2224","2","4","16","30","120","13.97","15.53","1","220","7","8"
"2007","direct migration background","13.42","7","237","3","5","14","30","90","10.99","15.85","1","180","6","8"
"2007","indirect migration background","7.77","7","65","2","4","10","14","35","5.78","9.76","1","49","5","8"
"2007","no migration background","13.61","8","2140","2","4","14","34","90","12.86","14.36","1","231","7","8"
"2008","direct migration background","13.37","7","213","2","4","14","30","90","10.63","16.11","1","120","6","9"
"2008","indirect migration background","8.82","6","69","2","3","10","21","42","6.77","10.87","1","42","4","6"
"2008","no migration background","13.43","8","1974","2","4","15","30","90","12.66","14.2","1","240","7","8"
"2009","direct migration background","10.86","7","198","2","4","14","21","60","8.68","13.04","1","136","7","10"
"2009","indirect migration background","7.74","5","63","2","3","12","14","30","5.99","9.49","1","30","4","7"
"2009","no migration background","12.81","7","2043","2","3","14","28","102","11.92","13.7","1","300","7","7"
"2010","direct migration background","12.28","7","426","2","4","13","25","120","10.86","13.7","1","180","5","6"
"2010","indirect migration background","19.62","5","151","2","3","10","120","120","17.55","21.69","1","120","4","5"
"2010","no migration background","13.01","7","2702","2","3","14","28","91","12.31","13.71","1","250","5","6"
"2011","direct migration background","10.56","6","485","2","3","13","25","80","9.5","11.62","1","90","5","6"
"2011","indirect migration background","7.94","4","139","1","3","7","12","90","4.59","11.29","1","200","4","5"
"2011","no migration background","11.81","7","3277","2","3","13","28","90","11.21","12.41","1","250","5","6"
"2012","direct migration background","12.03","6","397","2","3","12","30","90","10.3","13.76","1","180","5","6"
"2012","indirect migration background","10.5","4","158","1","3","9","20","150","5.74","15.26","1","280","4","6"
"2012","no migration background","12.31","6","3181","2","3","14","29","98","11.67","12.95","1","300","5","6"
"2013","direct migration background","15.03","7","343","2","3","14","30","120","12.82","17.24","1","270","4","6"
"2013","indirect migration background","10.38","5","131","1","3","11","15","90","7.08","13.68","1","120","4","6"
"2013","no migration background","11.6","6","2988","2","3","13","25","90","10.98","12.22","1","250","5","6"
"2014","direct migration background","10.44","5","305","2","3","10","20","90","8.66","12.22","1","196","5","6"
"2014","indirect migration background","10.35","4","116","1","1","14","24","90","8.06","12.64","1","90","3","5"
"2014","no migration background","11.44","6","2595","2","3","13","28","80","10.81","12.07","1","210","5","6"
"2015","direct migration background","10.9","5","580","2","3","12","23","90","9.93","11.87","1","90","4","5"
"2015","indirect migration background","11.48","4","193","1","2","8","21","110","6.95","16.01","1","300","3","5"
"2015","no migration background","10.48","6","2564","1","3","11","21","82","9.86","11.1","1","260","5","6"
"2016","direct migration background","8.46","5","644","2","3","10","19","60","7.45","9.47","1","150","4","5"
"2016","indirect migration background","6.66","4","194","1","2","8","14","30","5.65","7.67","1","60","3","4"
"2016","no migration background","11.03","6","2365","2","3","12","23","90","10.27","11.79","1","300","5","6"
"2017","direct migration background","10.17","5","612","1","3","10","21","90","8.87","11.47","1","210","4","5"
"2017","indirect migration background","6.94","3","207","1","1","7","14","56","4.32","9.56","1","240","3","5"
"2017","no migration background","11.27","6","2763","2","3","12","27","90","10.66","11.88","1","205","5","6"
"2018","direct migration background","7.71","4","574","1","2","7","14","55","6.38","9.04","1","180","4","5"
"2018","indirect migration background","9.01","3","201","1","2","7","17","100","5.96","12.06","1","200","3","4"
"2018","no migration background","11.13","5","2659","2","3","12","25","92","10.46","11.8","1","280","5","5"
"2019","direct migration background","7.99","4","507","1","2","9","14","60","7.11","8.87","1","92","3","5"
"2019","indirect migration background","8.87","4","207","1","2","6","14","90","5.36","12.38","1","240","3","5"
"2019","no migration background","11.06","6","2750","2","3","12","21","95","10.36","11.76","1","300","5","5"
