"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","4.52","5","20617","3","4","6","6","7","4.5","4.54","1","7","5","5"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","4.48","4","17951","3","4","6","6","7","4.46","4.5","1","7","4","5"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","4.92","5","7118","3","4","6","7","7","4.89","4.95","1","7","5","5"
"2013","4.66","5","18815","3","4","6","6","7","4.64","4.68","1","7","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","4.72","5","29195","3","4","6","6","7","4.7","4.74","1","7","5","5"
"2018","","","","","","","","","","","","","",""
"2019","4.63","5","25717","3","4","6","6","7","4.61","4.65","1","7","5","5"
