"plb0195_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","1-pers.-HH","74","0.389873270138951","0.321242482598717","0.458504057679184"
"Acclaimed","1984","16-34 y.","(Married) couple without C. ","123","0.323439478367256","0.277481978443297","0.369396978291214"
"Acclaimed","1984","16-34 y.","Single parent ","25","","",""
"Acclaimed","1984","16-34 y.","Couple + C. LE 16 ","124","0.250160427617342","0.214224862820008","0.286095992414676"
"Acclaimed","1984","16-34 y.","Couple + C. GT 16 ","80","0.334533293609236","0.277181862903541","0.391884724314931"
"Acclaimed","1984","16-34 y.","Couple + C. LE and GT 16","65","0.386890162242209","0.317084560773248","0.456695763711171"
"Acclaimed","1984","35-65 y.","1-pers.-HH","54","0.314770236005306","0.251039644898456","0.378500827112156"
"Acclaimed","1984","35-65 y.","(Married) couple without C. ","107","0.251464532211193","0.212772718631378","0.290156345791009"
"Acclaimed","1984","35-65 y.","Single parent ","32","0.352577263607673","0.259858180116092","0.445296347099254"
"Acclaimed","1984","35-65 y.","Couple + C. LE 16 ","154","0.246166801094362","0.215720306918135","0.27661329527059"
"Acclaimed","1984","35-65 y.","Couple + C. GT 16 ","101","0.245223166707207","0.205605488596469","0.284840844817944"
"Acclaimed","1984","35-65 y.","Couple + C. LE and GT 16","85","0.22898513870577","0.18880064795168","0.26916962945986"
"Acclaimed","1984","66 and older","1-pers.-HH","1","","",""
"Acclaimed","1984","66 and older","(Married) couple without C. ","2","","",""
"Acclaimed","1984","66 and older","Single parent ","","","",""
"Acclaimed","1984","66 and older","Couple + C. LE 16 ","","","",""
"Acclaimed","1984","66 and older","Couple + C. GT 16 ","","","",""
"Acclaimed","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Partly, partly","1984","16-34 y.","1-pers.-HH","21","","",""
"Partly, partly","1984","16-34 y.","(Married) couple without C. ","58","0.149044389798802","0.114056493988454","0.184032285609151"
"Partly, partly","1984","16-34 y.","Single parent ","13","","",""
"Partly, partly","1984","16-34 y.","Couple + C. LE 16 ","63","0.117660743055357","0.0909267035157148","0.144394782594999"
"Partly, partly","1984","16-34 y.","Couple + C. GT 16 ","36","0.12087875444129","0.0812545283486485","0.160502980533931"
"Partly, partly","1984","16-34 y.","Couple + C. LE and GT 16","22","","",""
"Partly, partly","1984","35-65 y.","1-pers.-HH","12","","",""
"Partly, partly","1984","35-65 y.","(Married) couple without C. ","41","0.0841836912467931","0.0594212935395218","0.108946088954064"
"Partly, partly","1984","35-65 y.","Single parent ","13","","",""
"Partly, partly","1984","35-65 y.","Couple + C. LE 16 ","83","0.127047525118162","0.103509862900707","0.150585187335617"
"Partly, partly","1984","35-65 y.","Couple + C. GT 16 ","45","0.0932758180501498","0.0664951675074953","0.120056468592804"
"Partly, partly","1984","35-65 y.","Couple + C. LE and GT 16","36","0.0913830692781662","0.0638251306510083","0.118941007905324"
"Partly, partly","1984","66 and older","1-pers.-HH","","","",""
"Partly, partly","1984","66 and older","(Married) couple without C. ","","","",""
"Partly, partly","1984","66 and older","Single parent ","","","",""
"Partly, partly","1984","66 and older","Couple + C. LE 16 ","","","",""
"Partly, partly","1984","66 and older","Couple + C. GT 16 ","","","",""
"Partly, partly","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Paid","1984","16-34 y.","1-pers.-HH","65","0.325928781723184","0.259971693522811","0.391885869923557"
"Paid","1984","16-34 y.","(Married) couple without C. ","146","0.328289054348886","0.282154538314563","0.374423570383209"
"Paid","1984","16-34 y.","Single parent ","32","0.333974622584231","0.235435457667103","0.432513787501359"
"Paid","1984","16-34 y.","Couple + C. LE 16 ","274","0.434606794814591","0.393477189688932","0.475736399940251"
"Paid","1984","16-34 y.","Couple + C. GT 16 ","101","0.365074761173161","0.306553508014522","0.4235960143318"
"Paid","1984","16-34 y.","Couple + C. LE and GT 16","81","0.357264723697112","0.288583436784969","0.425946010609255"
"Paid","1984","35-65 y.","1-pers.-HH","87","0.342885702560189","0.277748642355113","0.408022762765265"
"Paid","1984","35-65 y.","(Married) couple without C. ","196","0.347599607706756","0.30513068239134","0.390068533022173"
"Paid","1984","35-65 y.","Single parent ","41","0.350534034916961","0.257938232483178","0.443129837350743"
"Paid","1984","35-65 y.","Couple + C. LE 16 ","343","0.344552757400439","0.310964949826246","0.378140564974631"
"Paid","1984","35-65 y.","Couple + C. GT 16 ","192","0.374272953962856","0.329708798974097","0.418837108951615"
"Paid","1984","35-65 y.","Couple + C. LE and GT 16","210","0.399442669860121","0.352601480934432","0.446283858785809"
"Paid","1984","66 and older","1-pers.-HH","3","","",""
"Paid","1984","66 and older","(Married) couple without C. ","1","","",""
"Paid","1984","66 and older","Single parent ","","","",""
"Paid","1984","66 and older","Couple + C. LE 16 ","","","",""
"Paid","1984","66 and older","Couple + C. GT 16 ","","","",""
"Paid","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Not paid","1984","16-34 y.","1-pers.-HH","34","0.17760509034474","0.123825791308916","0.231384389380564"
"Not paid","1984","16-34 y.","(Married) couple without C. ","71","0.199227077485056","0.159986496680733","0.238467658289379"
"Not paid","1984","16-34 y.","Single parent ","18","","",""
"Not paid","1984","16-34 y.","Couple + C. LE 16 ","97","0.19757203451271","0.164535327216026","0.230608741809394"
"Not paid","1984","16-34 y.","Couple + C. GT 16 ","43","0.179513190776313","0.132863861705455","0.226162519847172"
"Not paid","1984","16-34 y.","Couple + C. LE and GT 16","19","","",""
"Not paid","1984","35-65 y.","1-pers.-HH","51","0.279144903265685","0.217588697118763","0.340701109412607"
"Not paid","1984","35-65 y.","(Married) couple without C. ","139","0.316752168835257","0.275264077535153","0.358240260135361"
"Not paid","1984","35-65 y.","Single parent ","16","","",""
"Not paid","1984","35-65 y.","Couple + C. LE 16 ","189","0.282232916387036","0.250421681981496","0.314044150792577"
"Not paid","1984","35-65 y.","Couple + C. GT 16 ","115","0.287228061279788","0.245561494208029","0.328894628351546"
"Not paid","1984","35-65 y.","Couple + C. LE and GT 16","89","0.280189122155943","0.237239605194239","0.323138639117647"
"Not paid","1984","66 and older","1-pers.-HH","3","","",""
"Not paid","1984","66 and older","(Married) couple without C. ","7","","",""
"Not paid","1984","66 and older","Single parent ","","","",""
"Not paid","1984","66 and older","Couple + C. LE 16 ","","","",""
"Not paid","1984","66 and older","Couple + C. GT 16 ","1","","",""
"Not paid","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Acclaimed","1985","16-34 y.","1-pers.-HH","67","0.385850949137621","0.315513622384049","0.456188275891192"
"Acclaimed","1985","16-34 y.","(Married) couple without C. ","110","0.342522408962384","0.291629200600741","0.393415617324028"
"Acclaimed","1985","16-34 y.","Single parent ","23","","",""
"Acclaimed","1985","16-34 y.","Couple + C. LE 16 ","94","0.241429758445845","0.20107455711942","0.28178495977227"
"Acclaimed","1985","16-34 y.","Couple + C. GT 16 ","88","0.372147997995658","0.313505248726065","0.43079074726525"
"Acclaimed","1985","16-34 y.","Couple + C. LE and GT 16","35","0.279740226983648","0.206679139657252","0.352801314310044"
"Acclaimed","1985","35-65 y.","1-pers.-HH","50","0.359707754290257","0.285576871117415","0.433838637463098"
"Acclaimed","1985","35-65 y.","(Married) couple without C. ","102","0.268609553886366","0.225548341252707","0.311670766520025"
"Acclaimed","1985","35-65 y.","Single parent ","26","","",""
"Acclaimed","1985","35-65 y.","Couple + C. LE 16 ","102","0.185636521747498","0.155006759760501","0.216266283734495"
"Acclaimed","1985","35-65 y.","Couple + C. GT 16 ","109","0.245927363494139","0.206659513710159","0.285195213278118"
"Acclaimed","1985","35-65 y.","Couple + C. LE and GT 16","52","0.160453541856357","0.121498119038451","0.199408964674263"
"Acclaimed","1985","66 and older","1-pers.-HH","","","",""
"Acclaimed","1985","66 and older","(Married) couple without C. ","","","",""
"Acclaimed","1985","66 and older","Single parent ","","","",""
"Acclaimed","1985","66 and older","Couple + C. LE 16 ","","","",""
"Acclaimed","1985","66 and older","Couple + C. GT 16 ","","","",""
"Acclaimed","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Partly, partly","1985","16-34 y.","1-pers.-HH","28","","",""
"Partly, partly","1985","16-34 y.","(Married) couple without C. ","39","0.119079024417223","0.0843445311758551","0.15381351765859"
"Partly, partly","1985","16-34 y.","Single parent ","11","","",""
"Partly, partly","1985","16-34 y.","Couple + C. LE 16 ","45","0.104681347194438","0.075812483800256","0.133550210588619"
"Partly, partly","1985","16-34 y.","Couple + C. GT 16 ","29","","",""
"Partly, partly","1985","16-34 y.","Couple + C. LE and GT 16","26","","",""
"Partly, partly","1985","35-65 y.","1-pers.-HH","12","","",""
"Partly, partly","1985","35-65 y.","(Married) couple without C. ","44","0.107734638764389","0.0776132089636606","0.137856068565117"
"Partly, partly","1985","35-65 y.","Single parent ","9","","",""
"Partly, partly","1985","35-65 y.","Couple + C. LE 16 ","69","0.120608632138641","0.094952979809641","0.14626428446764"
"Partly, partly","1985","35-65 y.","Couple + C. GT 16 ","50","0.117002120092683","0.0876929312382807","0.146311308947085"
"Partly, partly","1985","35-65 y.","Couple + C. LE and GT 16","28","","",""
"Partly, partly","1985","66 and older","1-pers.-HH","","","",""
"Partly, partly","1985","66 and older","(Married) couple without C. ","","","",""
"Partly, partly","1985","66 and older","Single parent ","","","",""
"Partly, partly","1985","66 and older","Couple + C. LE 16 ","","","",""
"Partly, partly","1985","66 and older","Couple + C. GT 16 ","","","",""
"Partly, partly","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Paid","1985","16-34 y.","1-pers.-HH","49","0.240674557064455","0.178905887637864","0.302443226491046"
"Paid","1985","16-34 y.","(Married) couple without C. ","118","0.32450928723816","0.274298374735683","0.374720199740637"
"Paid","1985","16-34 y.","Single parent ","39","0.421653082701941","0.31905837933786","0.524247786066022"
"Paid","1985","16-34 y.","Couple + C. LE 16 ","205","0.428501905969909","0.38183704354677","0.475166768393049"
"Paid","1985","16-34 y.","Couple + C. GT 16 ","105","0.358788258357868","0.300598348888034","0.416978167827702"
"Paid","1985","16-34 y.","Couple + C. LE and GT 16","58","0.317502642197548","0.241734219058993","0.393271065336102"
"Paid","1985","35-65 y.","1-pers.-HH","54","0.251842291772551","0.184792711766865","0.318891871778237"
"Paid","1985","35-65 y.","(Married) couple without C. ","139","0.301720099563007","0.257126987879517","0.346313211246496"
"Paid","1985","35-65 y.","Single parent ","27","","",""
"Paid","1985","35-65 y.","Couple + C. LE 16 ","275","0.365597411054934","0.327658331023865","0.403536491086004"
"Paid","1985","35-65 y.","Couple + C. GT 16 ","160","0.313615484543255","0.271308741696075","0.355922227390436"
"Paid","1985","35-65 y.","Couple + C. LE and GT 16","181","0.432863722122058","0.38027529148979","0.485452152754326"
"Paid","1985","66 and older","1-pers.-HH","","","",""
"Paid","1985","66 and older","(Married) couple without C. ","","","",""
"Paid","1985","66 and older","Single parent ","","","",""
"Paid","1985","66 and older","Couple + C. LE 16 ","","","",""
"Paid","1985","66 and older","Couple + C. GT 16 ","1","","",""
"Paid","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Not paid","1985","16-34 y.","1-pers.-HH","40","0.209076345451061","0.150319440392951","0.267833250509171"
