"plb0195_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","16-34 y.","Male","242","0.24889795685074","0.223253298988498","0.274542614712981","1"
"Acclaimed","1984","16-34 y.","Female","276","0.427906876452244","0.391016162185713","0.464797590718774","1"
"Acclaimed","1984","35-65 y.","Male","327","0.20824655489194","0.18999327445554","0.22649983532834","1"
"Acclaimed","1984","35-65 y.","Female","234","0.38371960527972","0.34673165868565","0.42070755187379","1"
"Acclaimed","1984","66 and older","Male","1","","","","1"
"Acclaimed","1984","66 and older","Female","2","","","","1"
"Not paid","1984","16-34 y.","Male","160","0.16785003672342","0.145683477204611","0.190016596242229","4"
"Not paid","1984","16-34 y.","Female","135","0.206073599728372","0.175915055924717","0.236232143532028","4"
"Not paid","1984","35-65 y.","Male","487","0.301664863816205","0.281032388035998","0.322297339596412","4"
"Not paid","1984","66 and older","Male","8","","","","4"
"Not paid","1984","35-65 y.","Female","156","0.26284090171902","0.229360462970982","0.296321340467058","4"
"Not paid","1984","66 and older","Female","4","","","","4"
"Paid","1984","16-34 y.","Male","546","0.446512094806119","0.41702666566566","0.475997523946577","3"
"Paid","1984","16-34 y.","Female","203","0.248116170893225","0.215912010967979","0.28032033081847","3"
"Paid","1984","35-65 y.","Male","911","0.390839238546966","0.36890502475163","0.412773452342302","3"
"Paid","1984","35-65 y.","Female","209","0.256162660546457","0.222960912338121","0.289364408754794","3"
"Paid","1984","66 and older","Male","2","","","","3"
"Paid","1984","66 and older","Female","2","","","","3"
"Partly, partly","1984","16-34 y.","Female","77","0.117903352926159","0.0938580512135713","0.141948654638747","2"
"Partly, partly","1984","35-65 y.","Male","176","0.0992493427448897","0.08580860379586","0.112690081693919","2"
"Partly, partly","1984","35-65 y.","Female","65","0.0972768324548026","0.0747372401743675","0.119816424735238","2"
"Partly, partly","1984","16-34 y.","Male","144","0.136739911619722","0.116362207576146","0.157117615663298","2"
"Partly, partly","1984","66 and older","Male","","","","","2"
"Partly, partly","1984","66 and older","Female","","","","","2"
"Acclaimed","1985","16-34 y.","Male","186","0.229229958102991","0.20208329979414","0.256376616411842","1"
"Acclaimed","1985","16-34 y.","Female","252","0.438010447132641","0.398541085598563","0.477479808666719","1"
"Acclaimed","1985","35-65 y.","Male","271","0.194706484180174","0.175224780376336","0.214188187984013","1"
"Acclaimed","1985","35-65 y.","Female","195","0.354676523943794","0.316299978383763","0.393053069503825","1"
"Acclaimed","1985","66 and older","Male","","","","","1"
"Acclaimed","1985","66 and older","Female","","","","","1"
"Not paid","1985","16-34 y.","Male","162","0.198567271791176","0.17280372521247","0.224330818369881","4"
"Not paid","1985","16-34 y.","Female","129","0.215496467982797","0.182787166080806","0.248205769884789","4"
"Not paid","1985","35-65 y.","Male","465","0.337828540352102","0.314558720285242","0.361098360418962","4"
