"plb0195_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Full Time","(0) in school","","","",""
"Acclaimed","1984","Full Time","(1a) inadequately completed","20","","",""
"Acclaimed","1984","Full Time","(1b) general elementary school","95","0.220578347372113","0.186051185475546","0.25510550926868"
"Acclaimed","1984","Full Time","(1c) basic vocational qualification","388","0.270843843327949","0.248734696184125","0.292952990471773"
"Acclaimed","1984","Full Time","(2b) intermediate general qualification","33","0.461335194954544","0.342850779844396","0.579819610064692"
"Acclaimed","1984","Full Time","(2a) intermediate vocational","195","0.367357368546899","0.326583252659029","0.408131484434768"
"Acclaimed","1984","Full Time","(2c_gen) general maturity certificate","9","","",""
"Acclaimed","1984","Full Time","(2c_voc) vocational maturity certificate","49","0.334759863222728","0.262754966489779","0.406764759955676"
"Acclaimed","1984","Full Time","(3a) lower tertiary education","22","","",""
"Acclaimed","1984","Full Time","(3b) higher tertiary education","26","","",""
"Acclaimed","1984","Part Time","(0) in school","","","",""
"Acclaimed","1984","Part Time","(1a) inadequately completed","1","","",""
"Acclaimed","1984","Part Time","(1b) general elementary school","39","0.255479749807084","0.18747550126685","0.323483998347318"
"Acclaimed","1984","Part Time","(1c) basic vocational qualification","82","0.320969549230099","0.263556875303774","0.378382223156425"
"Acclaimed","1984","Part Time","(2b) intermediate general qualification","15","","",""
"Acclaimed","1984","Part Time","(2a) intermediate vocational","56","0.458067968431794","0.368171121411535","0.547964815452052"
"Acclaimed","1984","Part Time","(2c_gen) general maturity certificate","10","","",""
"Acclaimed","1984","Part Time","(2c_voc) vocational maturity certificate","13","","",""
"Acclaimed","1984","Part Time","(3a) lower tertiary education","5","","",""
"Acclaimed","1984","Part Time","(3b) higher tertiary education","8","","",""
"Acclaimed","1984","Not Working","(0) in school","","","",""
"Acclaimed","1984","Not Working","(1a) inadequately completed","","","",""
"Acclaimed","1984","Not Working","(1b) general elementary school","","","",""
"Acclaimed","1984","Not Working","(1c) basic vocational qualification","7","","",""
"Acclaimed","1984","Not Working","(2b) intermediate general qualification","","","",""
"Acclaimed","1984","Not Working","(2a) intermediate vocational","3","","",""
"Acclaimed","1984","Not Working","(2c_gen) general maturity certificate","","","",""
"Acclaimed","1984","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"Acclaimed","1984","Not Working","(3a) lower tertiary education","","","",""
"Acclaimed","1984","Not Working","(3b) higher tertiary education","","","",""
"Partly, partly","1984","Full Time","(0) in school","","","",""
"Partly, partly","1984","Full Time","(1a) inadequately completed","17","","",""
"Partly, partly","1984","Full Time","(1b) general elementary school","49","0.112156546263733","0.0858796709252416","0.138433421602225"
"Partly, partly","1984","Full Time","(1c) basic vocational qualification","171","0.111803215170117","0.0961254564141221","0.127480973926112"
"Partly, partly","1984","Full Time","(2b) intermediate general qualification","5","","",""
"Partly, partly","1984","Full Time","(2a) intermediate vocational","72","0.124991541837743","0.0970205809225414","0.152962502752944"
"Partly, partly","1984","Full Time","(2c_gen) general maturity certificate","2","","",""
"Partly, partly","1984","Full Time","(2c_voc) vocational maturity certificate","19","","",""
"Partly, partly","1984","Full Time","(3a) lower tertiary education","25","","",""
"Partly, partly","1984","Full Time","(3b) higher tertiary education","23","","",""
"Partly, partly","1984","Part Time","(0) in school","","","",""
"Partly, partly","1984","Part Time","(1a) inadequately completed","3","","",""
"Partly, partly","1984","Part Time","(1b) general elementary school","5","","",""
"Partly, partly","1984","Part Time","(1c) basic vocational qualification","29","","",""
"Partly, partly","1984","Part Time","(2b) intermediate general qualification","3","","",""
"Partly, partly","1984","Part Time","(2a) intermediate vocational","14","","",""
"Partly, partly","1984","Part Time","(2c_gen) general maturity certificate","3","","",""
"Partly, partly","1984","Part Time","(2c_voc) vocational maturity certificate","4","","",""
"Partly, partly","1984","Part Time","(3a) lower tertiary education","3","","",""
"Partly, partly","1984","Part Time","(3b) higher tertiary education","8","","",""
"Partly, partly","1984","Not Working","(0) in school","","","",""
"Partly, partly","1984","Not Working","(1a) inadequately completed","","","",""
"Partly, partly","1984","Not Working","(1b) general elementary school","","","",""
"Partly, partly","1984","Not Working","(1c) basic vocational qualification","3","","",""
"Partly, partly","1984","Not Working","(2b) intermediate general qualification","1","","",""
"Partly, partly","1984","Not Working","(2a) intermediate vocational","","","",""
"Partly, partly","1984","Not Working","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1984","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Partly, partly","1984","Not Working","(3a) lower tertiary education","","","",""
"Partly, partly","1984","Not Working","(3b) higher tertiary education","1","","",""
"Paid","1984","Full Time","(0) in school","","","",""
"Paid","1984","Full Time","(1a) inadequately completed","213","0.735222865426129","0.681899204484279","0.788546526367979"
"Paid","1984","Full Time","(1b) general elementary school","333","0.502796870537307","0.461162076713928","0.544431664360687"
"Paid","1984","Full Time","(1c) basic vocational qualification","715","0.431271317802985","0.406631920181704","0.455910715424266"
"Paid","1984","Full Time","(2b) intermediate general qualification","15","","",""
"Paid","1984","Full Time","(2a) intermediate vocational","108","0.197727775153407","0.164041292529063","0.231414257777752"
"Paid","1984","Full Time","(2c_gen) general maturity certificate","28","","",""
"Paid","1984","Full Time","(2c_voc) vocational maturity certificate","43","0.171866951662769","0.114302766143175","0.229431137182363"
"Paid","1984","Full Time","(3a) lower tertiary education","20","","",""
"Paid","1984","Full Time","(3b) higher tertiary education","26","","",""
"Paid","1984","Part Time","(0) in school","","","",""
"Paid","1984","Part Time","(1a) inadequately completed","30","0.902765018419077","0.804609957253026","1.00092007958513"
"Paid","1984","Part Time","(1b) general elementary school","92","0.53049006952793","0.452671979365793","0.608308159690066"
"Paid","1984","Part Time","(1c) basic vocational qualification","121","0.466708923490608","0.405355833078481","0.528062013902735"
"Paid","1984","Part Time","(2b) intermediate general qualification","8","","",""
"Paid","1984","Part Time","(2a) intermediate vocational","21","","",""
"Paid","1984","Part Time","(2c_gen) general maturity certificate","17","","",""
"Paid","1984","Part Time","(2c_voc) vocational maturity certificate","11","","",""
"Paid","1984","Part Time","(3a) lower tertiary education","6","","",""
"Paid","1984","Part Time","(3b) higher tertiary education","14","","",""
"Paid","1984","Not Working","(0) in school","","","",""
"Paid","1984","Not Working","(1a) inadequately completed","1","","",""
"Paid","1984","Not Working","(1b) general elementary school","8","","",""
"Paid","1984","Not Working","(1c) basic vocational qualification","13","","",""
"Paid","1984","Not Working","(2b) intermediate general qualification","","","",""
"Paid","1984","Not Working","(2a) intermediate vocational","4","","",""
"Paid","1984","Not Working","(2c_gen) general maturity certificate","2","","",""
"Paid","1984","Not Working","(2c_voc) vocational maturity certificate","4","","",""
