"plb0195_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1985","Not Employed","Urban Area","12","","","","1"
"Acclaimed","1985","Not Employed","Rural Area","","","","","1"
"Acclaimed","1985","Employed","Urban Area","696","0.274364529209156","0.258088519778187","0.290640538640125","1"
"Acclaimed","1985","Employed","Rural Area","196","0.262390900098226","0.231556732253438","0.293225067943013","1"
"Not paid","1985","Not Employed","Urban Area","8","","","","4"
"Not paid","1985","Not Employed","Rural Area","7","","","","4"
"Not paid","1985","Employed","Urban Area","691","0.269271305089049","0.253090586020418","0.28545202415768","4"
"Not paid","1985","Employed","Rural Area","215","0.296132397918376","0.264133636816568","0.328131159020184","4"
"Paid","1985","Not Employed","Rural Area","7","","","","3"
"Paid","1985","Not Employed","Urban Area","15","","","","3"
"Paid","1985","Employed","Urban Area","1176","0.335717925579649","0.318491775320031","0.352944075839266","3"
"Paid","1985","Employed","Rural Area","295","0.340076421306172","0.306873232249074","0.373279610363271","3"
"Partly, partly","1985","Not Employed","Urban Area","1","","","","2"
"Partly, partly","1985","Not Employed","Rural Area","2","","","","2"
"Partly, partly","1985","Employed","Urban Area","324","0.120646240122146","0.108764955289252","0.13252752495504","2"
"Partly, partly","1985","Employed","Rural Area","76","0.101400280677226","0.0802436048148986","0.122556956539553","2"
"Acclaimed","1986","Not Employed","Urban Area","8","","","","1"
"Acclaimed","1986","Not Employed","Rural Area","2","","","","1"
"Acclaimed","1986","Employed","Urban Area","726","0.297704272553215","0.280614578375651","0.31479396673078","1"
"Acclaimed","1986","Employed","Rural Area","233","0.344366648858386","0.309755192885059","0.378978104831712","1"
"Not paid","1986","Not Employed","Urban Area","8","","","","4"
"Not paid","1986","Not Employed","Rural Area","3","","","","4"
"Not paid","1986","Employed","Urban Area","514","0.214268135116823","0.198932642826011","0.229603627407636","4"
"Not paid","1986","Employed","Rural Area","136","0.184950015564949","0.15666879715674","0.213231233973159","4"
"Paid","1986","Not Employed","Rural Area","5","","","","3"
"Paid","1986","Employed","Urban Area","1190","0.363195677051792","0.34522124896113","0.381170105142455","3"
"Paid","1986","Employed","Rural Area","285","0.369043897542873","0.333894539741882","0.404193255343864","3"
"Paid","1986","Not Employed","Urban Area","18","","","","3"
"Partly, partly","1986","Not Employed","Urban Area","4","","","","2"
"Partly, partly","1986","Employed","Urban Area","320","0.124831915278169","0.112478407390937","0.137185423165401","2"
"Partly, partly","1986","Not Employed","Rural Area","1","","","","2"
"Partly, partly","1986","Employed","Rural Area","70","0.101639438033792","0.0796286660630018","0.123650210004582","2"
"Acclaimed","1987","Not Employed","Rural Area","","","","","1"
"Acclaimed","1987","Not Employed","Urban Area","","","","","1"
"Acclaimed","1987","Employed","Urban Area","","","","","1"
"Acclaimed","1987","Employed","Rural Area","","","","","1"
"Not paid","1987","Not Employed","Urban Area","","","","","4"
"Not paid","1987","Not Employed","Rural Area","","","","","4"
"Not paid","1987","Employed","Urban Area","","","","","4"
"Not paid","1987","Employed","Rural Area","","","","","4"
"Paid","1987","Not Employed","Rural Area","","","","","3"
"Paid","1987","Employed","Urban Area","","","","","3"
"Paid","1987","Employed","Rural Area","","","","","3"
"Paid","1987","Not Employed","Urban Area","","","","","3"
"Partly, partly","1987","Not Employed","Urban Area","","","","","2"
"Partly, partly","1987","Not Employed","Rural Area","","","","","2"
"Partly, partly","1987","Employed","Urban Area","","","","","2"
"Partly, partly","1987","Employed","Rural Area","","","","","2"
"Acclaimed","1988","Employed","Rural Area","234","0.361563292615732","0.325610127928855","0.39751645730261","1"
"Acclaimed","1988","Not Employed","Rural Area","4","","","","1"
"Acclaimed","1988","Not Employed","Urban Area","9","","","","1"
"Acclaimed","1988","Employed","Urban Area","774","0.318515431153614","0.301076991703504","0.335953870603724","1"
"Not paid","1988","Not Employed","Urban Area","5","","","","4"
"Not paid","1988","Not Employed","Rural Area","2","","","","4"
"Not paid","1988","Employed","Urban Area","475","0.203953552332176","0.188871890204766","0.219035214459587","4"
"Not paid","1988","Employed","Rural Area","109","0.177702001347612","0.149096681423948","0.206307321271276","4"
"Paid","1988","Not Employed","Urban Area","17","","","","3"
"Paid","1988","Not Employed","Rural Area","3","","","","3"
"Paid","1988","Employed","Urban Area","1159","0.351155399592399","0.333289109198521","0.369021689986277","3"
"Paid","1988","Employed","Rural Area","259","0.328991392360796","0.293831920202139","0.364150864519452","3"
"Partly, partly","1988","Not Employed","Urban Area","1","","","","2"
"Partly, partly","1988","Not Employed","Rural Area","1","","","","2"
"Partly, partly","1988","Employed","Urban Area","334","0.12637561692181","0.113938824562937","0.138812409280684","2"
"Partly, partly","1988","Employed","Rural Area","84","0.13174331367586","0.106434348233892","0.157052279117828","2"
"Acclaimed","1989","Employed","Rural Area","228","0.325234275160892","0.291016126885898","0.359452423435886","1"
"Acclaimed","1989","Not Employed","Urban Area","12","","","","1"
"Acclaimed","1989","Not Employed","Rural Area","","","","","1"
