"plb0195_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Not Employed","Full Time","","","",""
"Acclaimed","1984","Not Employed","Part Time","","","",""
"Acclaimed","1984","Not Employed","Not Working","12","","",""
"Acclaimed","1984","Employed","Full Time","840","0.274905323533698","0.260197940833446","0.28961270623395"
"Acclaimed","1984","Employed","Part Time","230","0.321017654094519","0.287737839905047","0.35429746828399"
"Acclaimed","1984","Employed","Not Working","","","",""
"Partly, partly","1984","Not Employed","Full Time","","","",""
"Partly, partly","1984","Not Employed","Part Time","","","",""
"Partly, partly","1984","Not Employed","Not Working","6","","",""
"Partly, partly","1984","Employed","Full Time","383","0.11388753840723","0.10342278533435","0.12435229148011"
"Partly, partly","1984","Employed","Part Time","73","0.0975747108426167","0.0764222227919385","0.118727198893295"
"Partly, partly","1984","Employed","Not Working","","","",""
"Paid","1984","Not Employed","Full Time","","","",""
"Paid","1984","Not Employed","Part Time","","","",""
"Paid","1984","Not Employed","Not Working","35","0.527382634165587","0.411254708946961","0.643510559384213"
"Paid","1984","Employed","Full Time","1517","0.350117493551565","0.334404071020277","0.365830916082853"
"Paid","1984","Employed","Part Time","321","0.382449554354271","0.347806953292187","0.417092155416354"
"Paid","1984","Employed","Not Working","","","",""
"Not paid","1984","Not Employed","Full Time","","","",""
"Not paid","1984","Not Employed","Part Time","","","",""
"Not paid","1984","Not Employed","Not Working","18","","",""
"Not paid","1984","Employed","Full Time","800","0.261089644507507","0.246620689705872","0.275558599309141"
"Not paid","1984","Employed","Part Time","132","0.198958080708594","0.17050065527726","0.227415506139927"
"Not paid","1984","Employed","Not Working","","","",""
"Acclaimed","1985","Not Employed","Full Time","","","",""
"Acclaimed","1985","Not Employed","Part Time","","","",""
"Acclaimed","1985","Not Employed","Not Working","12","","",""
"Acclaimed","1985","Employed","Full Time","691","0.263164322965203","0.247281957090723","0.279046688839683"
"Acclaimed","1985","Employed","Part Time","201","0.305568017740565","0.271826828519672","0.339309206961459"
"Acclaimed","1985","Employed","Not Working","","","",""
"Partly, partly","1985","Not Employed","Full Time","","","",""
"Partly, partly","1985","Not Employed","Part Time","","","",""
"Partly, partly","1985","Not Employed","Not Working","3","","",""
"Partly, partly","1985","Employed","Full Time","314","0.114135841088182","0.102667226589107","0.125604455587257"
"Partly, partly","1985","Employed","Part Time","86","0.124351783450993","0.100181462197893","0.148522104704093"
"Partly, partly","1985","Employed","Not Working","","","",""
"Paid","1985","Not Employed","Full Time","","","",""
"Paid","1985","Not Employed","Part Time","","","",""
"Paid","1985","Not Employed","Not Working","22","","",""
"Paid","1985","Employed","Full Time","1179","0.3298752374725","0.312917455053631","0.346833019891369"
"Paid","1985","Employed","Part Time","292","0.364452706960003","0.329200516597711","0.399704897322296"
"Paid","1985","Employed","Not Working","","","",""
"Not paid","1985","Not Employed","Full Time","","","",""
"Not paid","1985","Not Employed","Part Time","","","",""
"Not paid","1985","Not Employed","Not Working","15","","",""
"Not paid","1985","Employed","Full Time","769","0.292824598474115","0.276411759123912","0.309237437824319"
"Not paid","1985","Employed","Part Time","137","0.205627491848438","0.176023909277038","0.235231074419839"
"Not paid","1985","Employed","Not Working","","","",""
"Acclaimed","1986","Not Employed","Full Time","","","",""
"Acclaimed","1986","Not Employed","Part Time","","","",""
"Acclaimed","1986","Not Employed","Not Working","10","","",""
"Acclaimed","1986","Employed","Full Time","741","0.297129234838963","0.280262385367318","0.313996084310608"
"Acclaimed","1986","Employed","Part Time","218","0.355490101733041","0.318805165457853","0.392175038008228"
"Acclaimed","1986","Employed","Not Working","","","",""
"Partly, partly","1986","Not Employed","Full Time","","","",""
"Partly, partly","1986","Not Employed","Part Time","","","",""
"Partly, partly","1986","Not Employed","Not Working","5","","",""
"Partly, partly","1986","Employed","Full Time","326","0.123040509484846","0.110916748566311","0.135164270403382"
"Partly, partly","1986","Employed","Part Time","64","0.104788723126386","0.0813151467206548","0.128262299532117"
"Partly, partly","1986","Employed","Not Working","","","",""
"Paid","1986","Not Employed","Full Time","","","",""
"Paid","1986","Not Employed","Part Time","","","",""
"Paid","1986","Not Employed","Not Working","23","","",""
"Paid","1986","Employed","Full Time","1204","0.359259367786443","0.341551400124029","0.376967335448856"
"Paid","1986","Employed","Part Time","271","0.386581570622746","0.34926014714811","0.423902994097382"
"Paid","1986","Employed","Not Working","","","",""
"Not paid","1986","Not Employed","Full Time","","","",""
"Not paid","1986","Not Employed","Part Time","","","",""
"Not paid","1986","Not Employed","Not Working","11","","",""
"Not paid","1986","Employed","Full Time","549","0.220570887889748","0.205267557869842","0.235874217909655"
"Not paid","1986","Employed","Part Time","101","0.153139604517827","0.125539616790156","0.180739592245499"
"Not paid","1986","Employed","Not Working","","","",""
"Acclaimed","1987","Not Employed","Full Time","","","",""
"Acclaimed","1987","Not Employed","Part Time","","","",""
"Acclaimed","1987","Not Employed","Not Working","","","",""
"Acclaimed","1987","Employed","Full Time","","","",""
"Acclaimed","1987","Employed","Part Time","","","",""
"Acclaimed","1987","Employed","Not Working","","","",""
"Partly, partly","1987","Not Employed","Full Time","","","",""
"Partly, partly","1987","Not Employed","Part Time","","","",""
"Partly, partly","1987","Not Employed","Not Working","","","",""
"Partly, partly","1987","Employed","Full Time","","","",""
"Partly, partly","1987","Employed","Part Time","","","",""
