"plb0195_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Full Time","West Germany","840","0.274905323533698","0.260197940833446","0.28961270623395","1"
"Acclaimed","1984","Full Time","East Germany","","","","","1"
"Acclaimed","1984","Part Time","West Germany","230","0.321017654094519","0.287737839905047","0.35429746828399","1"
"Acclaimed","1984","Part Time","East Germany","","","","","1"
"Acclaimed","1984","Not Working","West Germany","12","","","","1"
"Acclaimed","1984","Not Working","East Germany","","","","","1"
"Not paid","1984","Full Time","West Germany","800","0.261089644507507","0.246620689705872","0.275558599309141","4"
"Not paid","1984","Full Time","East Germany","","","","","4"
"Not paid","1984","Part Time","West Germany","132","0.198958080708594","0.17050065527726","0.227415506139927","4"
"Not paid","1984","Not Working","West Germany","18","","","","4"
"Not paid","1984","Part Time","East Germany","","","","","4"
"Not paid","1984","Not Working","East Germany","","","","","4"
"Paid","1984","Full Time","West Germany","1517","0.350117493551565","0.334404071020277","0.365830916082853","3"
"Paid","1984","Full Time","East Germany","","","","","3"
"Paid","1984","Part Time","West Germany","321","0.382449554354271","0.347806953292187","0.417092155416354","3"
"Paid","1984","Part Time","East Germany","","","","","3"
"Paid","1984","Not Working","West Germany","35","0.527382634165587","0.411254708946961","0.643510559384213","3"
"Paid","1984","Not Working","East Germany","","","","","3"
"Partly, partly","1984","Full Time","East Germany","","","","","2"
"Partly, partly","1984","Part Time","West Germany","73","0.0975747108426167","0.0764222227919385","0.118727198893295","2"
"Partly, partly","1984","Part Time","East Germany","","","","","2"
"Partly, partly","1984","Full Time","West Germany","383","0.11388753840723","0.10342278533435","0.12435229148011","2"
"Partly, partly","1984","Not Working","West Germany","6","","","","2"
"Partly, partly","1984","Not Working","East Germany","","","","","2"
"Acclaimed","1985","Full Time","West Germany","691","0.263164322965203","0.247281957090723","0.279046688839683","1"
"Acclaimed","1985","Full Time","East Germany","","","","","1"
"Acclaimed","1985","Part Time","West Germany","201","0.305568017740565","0.271826828519672","0.339309206961459","1"
"Acclaimed","1985","Part Time","East Germany","","","","","1"
"Acclaimed","1985","Not Working","West Germany","12","","","","1"
"Acclaimed","1985","Not Working","East Germany","","","","","1"
"Not paid","1985","Full Time","West Germany","769","0.292824598474115","0.276411759123912","0.309237437824319","4"
"Not paid","1985","Full Time","East Germany","","","","","4"
"Not paid","1985","Part Time","West Germany","137","0.205627491848438","0.176023909277038","0.235231074419839","4"
"Not paid","1985","Not Working","West Germany","15","","","","4"
"Not paid","1985","Part Time","East Germany","","","","","4"
"Not paid","1985","Not Working","East Germany","","","","","4"
"Paid","1985","Full Time","West Germany","1179","0.3298752374725","0.312917455053631","0.346833019891369","3"
"Paid","1985","Full Time","East Germany","","","","","3"
"Paid","1985","Part Time","West Germany","292","0.364452706960003","0.329200516597711","0.399704897322296","3"
"Paid","1985","Part Time","East Germany","","","","","3"
"Paid","1985","Not Working","West Germany","22","","","","3"
"Paid","1985","Not Working","East Germany","","","","","3"
"Partly, partly","1985","Full Time","East Germany","","","","","2"
"Partly, partly","1985","Full Time","West Germany","314","0.114135841088182","0.102667226589107","0.125604455587257","2"
"Partly, partly","1985","Part Time","East Germany","","","","","2"
"Partly, partly","1985","Part Time","West Germany","86","0.124351783450993","0.100181462197893","0.148522104704093","2"
"Partly, partly","1985","Not Working","West Germany","3","","","","2"
"Partly, partly","1985","Not Working","East Germany","","","","","2"
"Acclaimed","1986","Full Time","West Germany","741","0.297129234838963","0.280262385367318","0.313996084310608","1"
"Acclaimed","1986","Full Time","East Germany","","","","","1"
"Acclaimed","1986","Part Time","West Germany","218","0.355490101733041","0.318805165457853","0.392175038008228","1"
"Acclaimed","1986","Part Time","East Germany","","","","","1"
"Acclaimed","1986","Not Working","West Germany","10","","","","1"
"Acclaimed","1986","Not Working","East Germany","","","","","1"
"Not paid","1986","Full Time","West Germany","549","0.220570887889748","0.205267557869842","0.235874217909655","4"
"Not paid","1986","Full Time","East Germany","","","","","4"
"Not paid","1986","Part Time","West Germany","101","0.153139604517827","0.125539616790156","0.180739592245499","4"
"Not paid","1986","Not Working","West Germany","11","","","","4"
"Not paid","1986","Part Time","East Germany","","","","","4"
"Not paid","1986","Not Working","East Germany","","","","","4"
"Paid","1986","Full Time","West Germany","1204","0.359259367786443","0.341551400124029","0.376967335448856","3"
"Paid","1986","Full Time","East Germany","","","","","3"
"Paid","1986","Part Time","East Germany","","","","","3"
"Paid","1986","Part Time","West Germany","271","0.386581570622746","0.34926014714811","0.423902994097382","3"
"Paid","1986","Not Working","West Germany","23","","","","3"
"Paid","1986","Not Working","East Germany","","","","","3"
"Partly, partly","1986","Full Time","West Germany","326","0.123040509484846","0.110916748566311","0.135164270403382","2"
"Partly, partly","1986","Part Time","East Germany","","","","","2"
"Partly, partly","1986","Full Time","East Germany","","","","","2"
"Partly, partly","1986","Part Time","West Germany","64","0.104788723126386","0.0813151467206548","0.128262299532117","2"
"Partly, partly","1986","Not Working","West Germany","5","","","","2"
"Partly, partly","1986","Not Working","East Germany","","","","","2"
"Acclaimed","1987","Full Time","West Germany","","","","","1"
"Acclaimed","1987","Full Time","East Germany","","","","","1"
"Acclaimed","1987","Part Time","West Germany","","","","","1"
"Acclaimed","1987","Part Time","East Germany","","","","","1"
"Acclaimed","1987","Not Working","West Germany","","","","","1"
"Acclaimed","1987","Not Working","East Germany","","","","","1"
"Not paid","1987","Full Time","West Germany","","","","","4"
"Not paid","1987","Full Time","East Germany","","","","","4"
"Not paid","1987","Part Time","West Germany","","","","","4"
"Not paid","1987","Part Time","East Germany","","","","","4"
"Not paid","1987","Not Working","West Germany","","","","","4"
"Not paid","1987","Not Working","East Germany","","","","","4"
"Paid","1987","Full Time","West Germany","","","","","3"
"Paid","1987","Full Time","East Germany","","","","","3"
"Paid","1987","Part Time","East Germany","","","","","3"
"Paid","1987","Part Time","West Germany","","","","","3"
"Paid","1987","Not Working","West Germany","","","","","3"
"Paid","1987","Not Working","East Germany","","","","","3"
"Partly, partly","1987","Full Time","East Germany","","","","","2"
"Partly, partly","1987","Part Time","West Germany","","","","","2"
"Partly, partly","1987","Full Time","West Germany","","","","","2"
"Partly, partly","1987","Part Time","East Germany","","","","","2"
"Partly, partly","1987","Not Working","West Germany","","","","","2"
"Partly, partly","1987","Not Working","East Germany","","","","","2"
"Acclaimed","1988","Full Time","West Germany","801","0.320781760957354","0.303439688709584","0.338123833205124","1"
"Acclaimed","1988","Full Time","East Germany","","","","","1"
"Acclaimed","1988","Part Time","West Germany","207","0.356755547473633","0.319786213551616","0.39372488139565","1"
"Acclaimed","1988","Part Time","East Germany","","","","","1"
"Acclaimed","1988","Not Working","West Germany","13","","","","1"
"Acclaimed","1988","Not Working","East Germany","","","","","1"
"Not paid","1988","Full Time","West Germany","486","0.204123664816198","0.189148867184185","0.219098462448211","4"
"Not paid","1988","Full Time","East Germany","","","","","4"
"Not paid","1988","Part Time","West Germany","98","0.173916538000816","0.144664869811108","0.203168206190525","4"
"Not paid","1988","Not Working","West Germany","7","","","","4"
"Not paid","1988","Part Time","East Germany","","","","","4"
"Not paid","1988","Not Working","East Germany","","","","","4"
"Paid","1988","Full Time","East Germany","","","","","3"
"Paid","1988","Full Time","West Germany","1130","0.337981548205113","0.320407450746126","0.3555556456641","3"
"Paid","1988","Part Time","East Germany","","","","","3"
"Paid","1988","Part Time","West Germany","288","0.383429416935605","0.345906002633231","0.420952831237979","3"
"Paid","1988","Not Working","West Germany","20","","","","3"
"Paid","1988","Not Working","East Germany","","","","","3"
"Partly, partly","1988","Full Time","West Germany","366","0.137113026021335","0.12433370434546","0.149892347697209","2"
"Partly, partly","1988","Full Time","East Germany","","","","","2"
"Partly, partly","1988","Part Time","East Germany","","","","","2"
"Partly, partly","1988","Part Time","West Germany","52","0.0858984975899457","0.0642733923828223","0.107523602797069","2"
"Partly, partly","1988","Not Working","West Germany","2","","","","2"
"Partly, partly","1988","Not Working","East Germany","","","","","2"
"Acclaimed","1989","Full Time","West Germany","824","0.308653324501931","0.292073585469578","0.325233063534285","1"
"Acclaimed","1989","Full Time","East Germany","","","","","1"
"Acclaimed","1989","Part Time","West Germany","211","0.355202056758145","0.317949762934225","0.392454350582064","1"
"Acclaimed","1989","Part Time","East Germany","","","","","1"
"Acclaimed","1989","Not Working","West Germany","12","","","","1"
"Acclaimed","1989","Not Working","East Germany","","","","","1"
"Not paid","1989","Full Time","West Germany","485","0.192116448908327","0.177976399414535","0.206256498402119","4"
"Not paid","1989","Full Time","East Germany","","","","","4"
"Not paid","1989","Part Time","West Germany","81","0.140448043320366","0.113402396322817","0.167493690317915","4"
"Not paid","1989","Not Working","West Germany","6","","","","4"
"Not paid","1989","Part Time","East Germany","","","","","4"
"Not paid","1989","Not Working","East Germany","","","","","4"
"Paid","1989","Full Time","West Germany","1227","0.345507779211054","0.328440062298466","0.362575496123642","3"
"Paid","1989","Full Time","East Germany","","","","","3"
"Paid","1989","Part Time","East Germany","","","","","3"
"Paid","1989","Part Time","West Germany","266","0.377509165004089","0.339775091355833","0.415243238652345","3"
"Paid","1989","Not Working","West Germany","24","","","","3"
"Paid","1989","Not Working","East Germany","","","","","3"
"Partly, partly","1989","Full Time","East Germany","","","","","2"
"Partly, partly","1989","Full Time","West Germany","446","0.153722447378687","0.140776932528205","0.166667962229169","2"
"Partly, partly","1989","Part Time","West Germany","76","0.126840734917401","0.100935975083595","0.152745494751207","2"
"Partly, partly","1989","Part Time","East Germany","","","","","2"
"Partly, partly","1989","Not Working","West Germany","5","","","","2"
"Partly, partly","1989","Not Working","East Germany","","","","","2"
"Acclaimed","1990","Full Time","West Germany","862","0.327578698737805","0.310699632228951","0.344457765246658","1"
"Acclaimed","1990","Full Time","East Germany","","","","","1"
"Acclaimed","1990","Part Time","West Germany","206","0.351636055687187","0.313868399559389","0.389403711814985","1"
"Acclaimed","1990","Part Time","East Germany","","","","","1"
"Acclaimed","1990","Not Working","West Germany","9","","","","1"
"Acclaimed","1990","Not Working","East Germany","","","","","1"
"Not paid","1990","Full Time","West Germany","439","0.180508048076155","0.166675872346408","0.194340223805901","4"
"Not paid","1990","Full Time","East Germany","","","","","4"
"Not paid","1990","Not Working","West Germany","3","","","","4"
"Not paid","1990","Part Time","West Germany","71","0.1233787740246","0.0973657931411895","0.14939175490801","4"
"Not paid","1990","Part Time","East Germany","","","","","4"
"Not paid","1990","Not Working","East Germany","","","","","4"
"Paid","1990","Full Time","East Germany","","","","","3"
"Paid","1990","Full Time","West Germany","1219","0.344093146897037","0.32700759695645","0.361178696837624","3"
"Paid","1990","Part Time","West Germany","251","0.378529369523024","0.340165359046896","0.416893379999152","3"
"Paid","1990","Part Time","East Germany","","","","","3"
"Paid","1990","Not Working","West Germany","22","","","","3"
"Paid","1990","Not Working","East Germany","","","","","3"
"Partly, partly","1990","Full Time","West Germany","450","0.147820106289004","0.135055651685661","0.160584560892347","2"
"Partly, partly","1990","Full Time","East Germany","","","","","2"
"Partly, partly","1990","Part Time","East Germany","","","","","2"
"Partly, partly","1990","Part Time","West Germany","86","0.146455800765189","0.118489810515176","0.174421791015202","2"
"Partly, partly","1990","Not Working","West Germany","3","","","","2"
"Partly, partly","1990","Not Working","East Germany","","","","","2"
"Acclaimed","1991","Full Time","West Germany","908","0.316136967638515","0.299777114199428","0.332496821077602","1"
"Acclaimed","1991","Full Time","East Germany","","","","","1"
"Acclaimed","1991","Part Time","West Germany","244","0.365021543668027","0.329331404025106","0.400711683310948","1"
"Acclaimed","1991","Part Time","East Germany","","","","","1"
"Acclaimed","1991","Not Working","West Germany","12","","","","1"
"Acclaimed","1991","Not Working","East Germany","","","","","1"
"Not paid","1991","Full Time","West Germany","418","0.168977132435272","0.155792207596427","0.182162057274117","4"
"Not paid","1991","Full Time","East Germany","","","","","4"
"Not paid","1991","Part Time","West Germany","77","0.131799698998429","0.106722635572021","0.156876762424836","4"
"Not paid","1991","Not Working","West Germany","7","","","","4"
"Not paid","1991","Part Time","East Germany","","","","","4"
"Not paid","1991","Not Working","East Germany","","","","","4"
"Paid","1991","Full Time","East Germany","","","","","3"
"Paid","1991","Full Time","West Germany","1307","0.362457863951537","0.345544094240137","0.379371633662936","3"
"Paid","1991","Part Time","West Germany","280","0.371331494200408","0.335513501153555","0.407149487247261","3"
"Paid","1991","Part Time","East Germany","","","","","3"
