"plb0195_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","West Germany","1082","0.281464941154262","0.268126882270517","0.294803000038008","1"
"Acclaimed","1984","East Germany","","","","","1"
"Not paid","1984","East Germany","","","","","4"
"Not paid","1984","West Germany","950","0.248955306388759","0.236130521781905","0.261780090995613","4"
"Paid","1984","East Germany","","","","","3"
"Paid","1984","West Germany","1873","0.359119109753475","0.344890436251385","0.373347783255565","3"
"Partly, partly","1984","West Germany","462","0.110460642703504","0.101163642039723","0.119757643367284","2"
"Partly, partly","1984","East Germany","","","","","2"
"Acclaimed","1985","West Germany","904","0.271132287383376","0.256848833690678","0.285415741076073","1"
"Acclaimed","1985","East Germany","","","","","1"
"Not paid","1985","East Germany","","","","","4"
"Not paid","1985","West Germany","921","0.276356666704364","0.261988031741359","0.290725301667369","4"
"Paid","1985","East Germany","","","","","3"
"Paid","1985","West Germany","1493","0.337188950351395","0.321999229484384","0.352378671218406","3"
"Partly, partly","1985","West Germany","403","0.115322095560865","0.105059266175209","0.125584924946521","2"
"Partly, partly","1985","East Germany","","","","","2"
"Acclaimed","1986","West Germany","969","0.307006220237547","0.291775163881602","0.322237276593492","1"
"Acclaimed","1986","East Germany","","","","","1"
"Not paid","1986","East Germany","","","","","4"
"Not paid","1986","West Germany","661","0.207705197538324","0.194309699810685","0.221100695265963","4"
"Paid","1986","West Germany","1498","0.365693375839121","0.349789611211021","0.381597140467221","3"
"Paid","1986","East Germany","","","","","3"
"Partly, partly","1986","East Germany","","","","","2"
"Partly, partly","1986","West Germany","395","0.119595206385008","0.108880263633716","0.130310149136299","2"
"Acclaimed","1987","West Germany","","","","","1"
"Acclaimed","1987","East Germany","","","","","1"
"Not paid","1987","East Germany","","","","","4"
"Not paid","1987","West Germany","","","","","4"
"Paid","1987","West Germany","","","","","3"
"Paid","1987","East Germany","","","","","3"
"Partly, partly","1987","West Germany","","","","","2"
"Partly, partly","1987","East Germany","","","","","2"
"Acclaimed","1988","West Germany","1021","0.327226435457394","0.311615029992309","0.342837840922479","1"
"Acclaimed","1988","East Germany","","","","","1"
"Not paid","1988","West Germany","591","0.198428390166039","0.185158833250001","0.211697947082078","4"
"Not paid","1988","East Germany","","","","","4"
"Paid","1988","West Germany","1438","0.347584570825049","0.331740174021118","0.36342896762898","3"
"Paid","1988","East Germany","","","","","3"
"Partly, partly","1988","West Germany","420","0.126760603551517","0.115690742664772","0.137830464438262","2"
"Partly, partly","1988","East Germany","","","","","2"
"Acclaimed","1989","East Germany","","","","","1"
"Acclaimed","1989","West Germany","1047","0.316203601975556","0.301145284731733","0.331261919219378","1"
"Not paid","1989","West Germany","572","0.182593824482574","0.170082835792057","0.195104813173091","4"
"Not paid","1989","East Germany","","","","","4"
"Paid","1989","West Germany","1517","0.352920395693184","0.337444818137885","0.368395973248482","3"
"Paid","1989","East Germany","","","","","3"
"Partly, partly","1989","West Germany","527","0.148282177848687","0.136773591590824","0.15979076410655","2"
"Partly, partly","1989","East Germany","","","","","2"
"Acclaimed","1990","East Germany","","","","","1"
"Acclaimed","1990","West Germany","1077","0.331793342440316","0.316456955352496","0.347129729528136","1"
"Not paid","1990","West Germany","513","0.169603483047928","0.157380028232093","0.181826937863763","4"
"Not paid","1990","East Germany","","","","","4"
"Paid","1990","West Germany","1492","0.351768634956435","0.33621516102077","0.3673221088921","3"
"Paid","1990","East Germany","","","","","3"
"Partly, partly","1990","West Germany","539","0.146834539555321","0.135306258017898","0.158362821092744","2"
"Partly, partly","1990","East Germany","","","","","2"
"Acclaimed","1991","East Germany","855","0.459564521878463","0.43686116612582","0.482267877631105","1"
"Acclaimed","1991","West Germany","1171","0.323745279758175","0.309039569778626","0.338450989737723","1"
"Not paid","1991","West Germany","510","0.162136765664921","0.150552821939188","0.173720709390655","4"
"Not paid","1991","East Germany","284","0.149177153099246","0.132947261814462","0.165407044384029","4"
"Paid","1991","West Germany","1629","0.365658548594204","0.350521941750535","0.380795155437873","3"
"Paid","1991","East Germany","473","0.263404177474403","0.243337714107042","0.283470640841764","3"
"Partly, partly","1991","East Germany","239","0.127854147547889","0.112641778524432","0.143066516571346","2"
"Partly, partly","1991","West Germany","579","0.1484594059827","0.137284711539263","0.159634100426137","2"
"Acclaimed","1992","East Germany","674","0.378623713973919","0.355518986244744","0.401728441703094","1"
"Acclaimed","1992","West Germany","1178","0.344325541957727","0.329040280913336","0.359610803002118","1"
"Not paid","1992","West Germany","478","0.149263675167242","0.137800137537095","0.160727212797389","4"
"Not paid","1992","East Germany","296","0.179354482238166","0.161079644475056","0.197629320001275","4"
