"plb0195_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Not Employed","Male","6","","","","1"
"Acclaimed","1984","Not Employed","Female","6","","","","1"
"Acclaimed","1984","Employed","Male","564","0.223436894731405","0.208438385822024","0.238435403640785","1"
"Acclaimed","1984","Employed","Female","506","0.409205092511183","0.382810078140119","0.435600106882248","1"
"Not paid","1984","Not Employed","Male","11","","","","4"
"Not paid","1984","Not Employed","Female","7","","","","4"
"Not paid","1984","Employed","Male","644","0.255949681095178","0.240236623034684","0.271662739155673","4"
"Not paid","1984","Employed","Female","288","0.236405485726481","0.213597171309099","0.259213800143863","4"
"Paid","1984","Not Employed","Female","13","","","","3"
"Paid","1984","Not Employed","Male","22","","","","3"
"Paid","1984","Employed","Male","1437","0.407409563821756","0.389717634561899","0.425101493081613","3"
"Paid","1984","Employed","Female","401","0.248379653303363","0.225184871646972","0.271574434959755","3"
"Partly, partly","1984","Not Employed","Male","2","","","","2"
"Partly, partly","1984","Not Employed","Female","4","","","","2"
"Partly, partly","1984","Employed","Male","318","0.113203860351661","0.10179545928153","0.124612261421791","2"
"Partly, partly","1984","Employed","Female","138","0.106009768458972","0.0894835935096254","0.122535943408319","2"
"Acclaimed","1985","Not Employed","Male","2","","","","1"
"Acclaimed","1985","Not Employed","Female","10","","","","1"
"Acclaimed","1985","Employed","Male","455","0.207178447621608","0.191282045842035","0.223074849401181","1"
"Acclaimed","1985","Employed","Female","437","0.398458486904992","0.370429420798739","0.426487553011245","1"
"Not paid","1985","Not Employed","Male","4","","","","4"
"Not paid","1985","Not Employed","Female","11","","","","4"
"Not paid","1985","Employed","Male","630","0.289292644249738","0.2715076831098","0.307077605389676","4"
"Not paid","1985","Employed","Female","276","0.248411825699431","0.223674064798105","0.273149586600757","4"
"Paid","1985","Not Employed","Female","11","","","","3"
"Paid","1985","Employed","Female","335","0.239886372479165","0.215439329663191","0.264333415295139","3"
"Paid","1985","Not Employed","Male","11","","","","3"
"Paid","1985","Employed","Male","1136","0.385885464951084","0.366791649601829","0.404979280300339","3"
"Partly, partly","1985","Not Employed","Male","2","","","","2"
"Partly, partly","1985","Not Employed","Female","1","","","","2"
"Partly, partly","1985","Employed","Male","276","0.11764344317757","0.1050064211663","0.130280465188841","2"
"Partly, partly","1985","Employed","Female","124","0.113243314916412","0.0951009955524884","0.131385634280335","2"
"Acclaimed","1986","Not Employed","Male","5","","","","1"
"Acclaimed","1986","Not Employed","Female","5","","","","1"
"Acclaimed","1986","Employed","Male","505","0.240893511586372","0.223637198026515","0.258149825146229","1"
"Acclaimed","1986","Employed","Female","454","0.436907370448808","0.407793813788966","0.466020927108649","1"
"Not paid","1986","Not Employed","Male","6","","","","4"
"Not paid","1986","Not Employed","Female","5","","","","4"
"Not paid","1986","Employed","Male","418","0.203240405101666","0.18700164755611","0.219479162647222","4"
"Not paid","1986","Employed","Female","232","0.215746277595057","0.191602200602936","0.239890354587179","4"
"Paid","1986","Employed","Male","1166","0.429548909739958","0.409573318689238","0.449524500790679","3"
"Paid","1986","Not Employed","Female","11","","","","3"
"Paid","1986","Employed","Female","309","0.240778699494813","0.215682735561537","0.26587466342809","3"
"Paid","1986","Not Employed","Male","12","","","","3"
"Partly, partly","1986","Not Employed","Male","3","","","","2"
"Partly, partly","1986","Not Employed","Female","2","","","","2"
"Partly, partly","1986","Employed","Male","270","0.126317173572003","0.112911389501234","0.139722957642772","2"
"Partly, partly","1986","Employed","Female","120","0.106567652461322","0.0884561619348801","0.124679142987763","2"
