"plb0195_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","1-pers.-HH","Urban Area","104","0.377624779489992","0.323128395282436","0.432121163697547"
"Acclaimed","1985","1-pers.-HH","Rural Area","13","","",""
"Acclaimed","1985","(Married) couple without C. ","Urban Area","171","0.299285072716943","0.262611949921452","0.335958195512435"
"Acclaimed","1985","(Married) couple without C. ","Rural Area","41","0.289869643428291","0.216774648454391","0.362964638402192"
"Acclaimed","1985","Single parent ","Urban Area","37","0.320153979886632","0.239332306443425","0.400975653329839"
"Acclaimed","1985","Single parent ","Rural Area","12","","",""
"Acclaimed","1985","Couple + C. LE 16 ","Urban Area","148","0.19971344358602","0.172400117842888","0.227026769329152"
"Acclaimed","1985","Couple + C. LE 16 ","Rural Area","48","0.236236803278038","0.181100986856012","0.291372619700065"
"Acclaimed","1985","Couple + C. GT 16 ","Urban Area","158","0.300679642671074","0.263133884534865","0.338225400807283"
"Acclaimed","1985","Couple + C. GT 16 ","Rural Area","39","0.252818092574271","0.183723581849759","0.321912603298784"
"Acclaimed","1985","Couple + C. LE and GT 16","Urban Area","60","0.192837731878756","0.151797448782478","0.233878014975033"
"Acclaimed","1985","Couple + C. LE and GT 16","Rural Area","27","","",""
"Partly, partly","1985","1-pers.-HH","Urban Area","37","0.132865208066708","0.0947094364127445","0.171020979720672"
"Partly, partly","1985","1-pers.-HH","Rural Area","3","","",""
"Partly, partly","1985","(Married) couple without C. ","Urban Area","69","0.114657489663325","0.0891427258100278","0.140172253516623"
"Partly, partly","1985","(Married) couple without C. ","Rural Area","14","","",""
"Partly, partly","1985","Single parent ","Urban Area","13","","",""
"Partly, partly","1985","Single parent ","Rural Area","7","","",""
"Partly, partly","1985","Couple + C. LE 16 ","Urban Area","98","0.126048875486807","0.103373147744733","0.148724603228881"
"Partly, partly","1985","Couple + C. LE 16 ","Rural Area","16","","",""
"Partly, partly","1985","Couple + C. GT 16 ","Urban Area","58","0.109541752612085","0.0839695932078745","0.135113912016295"
"Partly, partly","1985","Couple + C. GT 16 ","Rural Area","21","","",""
"Partly, partly","1985","Couple + C. LE and GT 16","Urban Area","40","0.130719936348595","0.0956540607219507","0.165785811975239"
"Partly, partly","1985","Couple + C. LE and GT 16","Rural Area","14","","",""
"Paid","1985","1-pers.-HH","Urban Area","89","0.244950248705776","0.196606755773616","0.293293741637935"
"Paid","1985","1-pers.-HH","Rural Area","14","","",""
"Paid","1985","(Married) couple without C. ","Urban Area","205","0.306798538510386","0.26986753932208","0.343729537698692"
"Paid","1985","(Married) couple without C. ","Rural Area","52","0.316254868769114","0.241337422185477","0.39117231535275"
"Paid","1985","Single parent ","Urban Area","53","0.36866721299708","0.285089682216426","0.452244743777734"
"Paid","1985","Single parent ","Rural Area","13","","",""
"Paid","1985","Couple + C. LE 16 ","Urban Area","377","0.392717438217619","0.359353011139907","0.42608186529533"
"Paid","1985","Couple + C. LE 16 ","Rural Area","103","0.386892143856186","0.32367366182033","0.450110625892043"
"Paid","1985","Couple + C. GT 16 ","Urban Area","220","0.336767909213897","0.298071657790365","0.375464160637428"
"Paid","1985","Couple + C. GT 16 ","Rural Area","46","0.308319258312857","0.234905160639846","0.381733355985867"
"Paid","1985","Couple + C. LE and GT 16","Urban Area","183","0.390025136691247","0.339286805081553","0.440763468300942"
"Paid","1985","Couple + C. LE and GT 16","Rural Area","56","0.410608076033746","0.326366152047726","0.494850000019767"
