"plb0195_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Not Employed","12","","","","1"
"Acclaimed","1984","Employed","1070","0.283402282941771","0.269926458733426","0.296878107150115","1"
"Not paid","1984","Employed","932","0.249640876485185","0.236698668113713","0.262583084856658","4"
"Not paid","1984","Not Employed","18","","","","4"
"Paid","1984","Employed","1838","0.356075210389528","0.341756483788546","0.37039393699051","3"
"Paid","1984","Not Employed","35","0.527382634165587","0.411254708946961","0.643510559384213","3"
"Partly, partly","1984","Not Employed","6","","","","2"
"Partly, partly","1984","Employed","456","0.110881630183516","0.101492495964209","0.120270764402823","2"
"Acclaimed","1985","Not Employed","12","","","","1"
"Acclaimed","1985","Employed","892","0.271574776058878","0.257183097901835","0.285966454215921","1"
"Not paid","1985","Employed","906","0.275529709925734","0.261073024109793","0.289986395741676","4"
"Not paid","1985","Not Employed","15","","","","4"
"Paid","1985","Employed","1471","0.336733417797663","0.321441519443282","0.352025316152044","3"
"Paid","1985","Not Employed","22","","","","3"
"Partly, partly","1985","Not Employed","3","","","","2"
"Partly, partly","1985","Employed","400","0.116162096217724","0.105794149260123","0.126530043175326","2"
"Acclaimed","1986","Not Employed","10","","","","1"
"Acclaimed","1986","Employed","959","0.308400854795484","0.293043437172886","0.323758272418083","1"
"Not paid","1986","Employed","650","0.207547438448391","0.194061582710458","0.221033294186324","4"
"Not paid","1986","Not Employed","11","","","","4"
"Paid","1986","Not Employed","23","","","","3"
"Paid","1986","Employed","1475","0.364536285404969","0.348531533572162","0.380541037237775","3"
"Partly, partly","1986","Employed","390","0.119515421351156","0.108728288327366","0.130302554374946","2"
"Partly, partly","1986","Not Employed","5","","","","2"
"Acclaimed","1987","Not Employed","","","","","1"
"Acclaimed","1987","Employed","","","","","1"
"Not paid","1987","Employed","","","","","4"
"Not paid","1987","Not Employed","","","","","4"
"Paid","1987","Not Employed","","","","","3"
"Paid","1987","Employed","","","","","3"
"Partly, partly","1987","Not Employed","","","","","2"
"Partly, partly","1987","Employed","","","","","2"
"Acclaimed","1988","Not Employed","13","","","","1"
"Acclaimed","1988","Employed","1008","0.327533975681222","0.311823438449747","0.343244512912696","1"
"Not paid","1988","Not Employed","7","","","","4"
"Not paid","1988","Employed","584","0.198453841697738","0.185102598460387","0.211805084935089","4"
"Paid","1988","Not Employed","20","","","","3"
"Paid","1988","Employed","1418","0.346512031040762","0.330582402759034","0.36244165932249","3"
"Partly, partly","1988","Not Employed","2","","","","2"
"Partly, partly","1988","Employed","418","0.127500151580278","0.116334971938537","0.13866533122202","2"
"Acclaimed","1989","Employed","1035","0.317202720182773","0.302034025051383","0.332371415314164","1"
"Acclaimed","1989","Not Employed","12","","","","1"
"Not paid","1989","Not Employed","6","","","","4"
"Not paid","1989","Employed","566","0.182626745920536","0.170033830632397","0.195219661208675","4"
"Paid","1989","Not Employed","24","","","","3"
"Paid","1989","Employed","1493","0.351385329387373","0.335824989592045","0.366945669182701","3"
"Partly, partly","1989","Not Employed","5","","","","2"
"Partly, partly","1989","Employed","522","0.148785204509318","0.137185863001213","0.160384546017424","2"
"Acclaimed","1990","Employed","1068","0.331942276875952","0.316525188236726","0.347359365515178","1"
"Acclaimed","1990","Not Employed","9","","","","1"
"Not paid","1990","Not Employed","3","","","","4"
"Not paid","1990","Employed","510","0.170145810369655","0.157843813397729","0.182447807341581","4"
"Paid","1990","Not Employed","22","","","","3"
"Paid","1990","Employed","1470","0.35033926730533","0.334720318263035","0.365958216347625","3"
"Partly, partly","1990","Not Employed","3","","","","2"
"Partly, partly","1990","Employed","536","0.147572645449062","0.135960948017629","0.159184342880496","2"
"Acclaimed","1991","Employed","1152","0.325704476301592","0.310808154807749","0.340600797795435","1"
"Acclaimed","1991","Not Employed","12","","","","1"
"Not paid","1991","Not Employed","7","","","","4"
"Not paid","1991","Employed","495","0.161700902479565","0.149997887633757","0.173403917325373","4"
"Paid","1991","Not Employed","34","0.475578954120565","0.34921481711822","0.60194309112291","3"
"Paid","1991","Employed","1587","0.364194578088686","0.348898824228768","0.379490331948604","3"
"Partly, partly","1991","Employed","568","0.148400043130157","0.137100084234206","0.159700002026108","2"
"Partly, partly","1991","Not Employed","7","","","","2"
"Acclaimed","1992","Employed","1827","0.34955885188213","0.336781661791193","0.362336041973066","1"
"Acclaimed","1992","Not Employed","25","","","","1"
"Not paid","1992","Not Employed","7","","","","4"
"Not paid","1992","Employed","767","0.155540810125798","0.145829390694922","0.165252229556674","4"
"Paid","1992","Not Employed","15","","","","3"
"Paid","1992","Employed","1870","0.326830656622773","0.314261829347121","0.339399483898425","3"
"Partly, partly","1992","Employed","886","0.168069681369299","0.158049874184269","0.178089488554329","2"
"Partly, partly","1992","Not Employed","8","","","","2"
"Acclaimed","1993","Not Employed","25","","","","1"
"Acclaimed","1993","Employed","1779","0.345686190032116","0.332762189255607","0.358610190808626","1"
"Not paid","1993","Not Employed","14","","","","4"
"Not paid","1993","Employed","790","0.170426081252756","0.160208255531501","0.180643906974011","4"
"Paid","1993","Not Employed","25","","","","3"
"Paid","1993","Employed","1741","0.318816853279719","0.306153010801929","0.331480695757508","3"
"Partly, partly","1993","Employed","892","0.165070875435409","0.15498246019169","0.175159290679129","2"
"Partly, partly","1993","Not Employed","10","","","","2"
"Acclaimed","1994","Not Employed","25","","","","1"
"Acclaimed","1994","Employed","1902","0.373797397624298","0.36057227036024","0.387022524888356","1"
"Not paid","1994","Not Employed","6","","","","4"
"Not paid","1994","Employed","791","0.166279552613634","0.156101751987009","0.176457353240259","4"
"Paid","1994","Employed","1550","0.287978381529301","0.275600371725031","0.300356391333571","3"
"Paid","1994","Not Employed","23","","","","3"
"Partly, partly","1994","Employed","898","0.171944668232767","0.161630164798988","0.182259171666546","2"
"Partly, partly","1994","Not Employed","8","","","","2"
"Acclaimed","1995","Not Employed","32","0.441489682450307","0.338900229067432","0.544079135833182","1"
"Acclaimed","1995","Employed","2018","0.373548469560923","0.360708985863941","0.386387953257905","1"
"Not paid","1995","Not Employed","10","","","","4"
"Not paid","1995","Employed","809","0.166350184334385","0.156466159802445","0.176234208866325","4"
"Paid","1995","Employed","1649","0.281890607236158","0.269948912961588","0.293832301510729","3"
"Paid","1995","Not Employed","31","0.296765132737432","0.202384372565193","0.391145892909671","3"
"Partly, partly","1995","Employed","977","0.178210738868533","0.168053456906622","0.188368020830444","2"
"Partly, partly","1995","Not Employed","17","","","","2"
"Acclaimed","1996","Not Employed","28","","","","1"
"Acclaimed","1996","Employed","2184","0.415506042764503","0.402218478700289","0.428793606828718","1"
"Not paid","1996","Not Employed","10","","","","4"
"Not paid","1996","Employed","785","0.162715715932058","0.15276354315685","0.172667888707266","4"
"Paid","1996","Employed","1444","0.252199047916629","0.240489734928329","0.263908360904929","3"
"Paid","1996","Not Employed","28","","","","3"
"Partly, partly","1996","Not Employed","9","","","","2"
"Partly, partly","1996","Employed","871","0.16957919338681","0.159461020864045","0.179697365909575","2"
"Acclaimed","1997","Not Employed","20","","","","1"
"Acclaimed","1997","Employed","1949","0.432762758262776","0.418388594728591","0.44713692179696","1"
"Not paid","1997","Employed","776","0.191193875282808","0.179785219505357","0.202602531060259","4"
"Not paid","1997","Not Employed","6","","","","4"
"Paid","1997","Employed","870","0.170347060662398","0.159440424557306","0.18125369676749","3"
"Paid","1997","Not Employed","7","","","","3"
"Partly, partly","1997","Not Employed","5","","","","2"
"Partly, partly","1997","Employed","969","0.205696305792018","0.19396944390267","0.217423167681366","2"
"Acclaimed","1998","Not Employed","15","","","","1"
"Acclaimed","1998","Employed","2205","0.443510144047184","0.429709446129897","0.457310841964472","1"
"Not paid","1998","Employed","840","0.180916751736463","0.170223148717529","0.191610354755398","4"
"Not paid","1998","Not Employed","12","","","","4"
"Paid","1998","Employed","861","0.166234178613451","0.155892218705169","0.176576138521733","3"
"Paid","1998","Not Employed","14","","","","3"
"Partly, partly","1998","Not Employed","11","","","","2"
"Partly, partly","1998","Employed","1072","0.209338925602901","0.198037302512594","0.220640548693209","2"
"Acclaimed","1999","Not Employed","21","","","","1"
"Acclaimed","1999","Employed","2186","0.451077736021835","0.437186214986406","0.464969257057264","1"
"Not paid","1999","Employed","837","0.180976461628674","0.170228455137714","0.191724468119634","4"
"Not paid","1999","Not Employed","4","","","","4"
"Paid","1999","Not Employed","7","","","","3"
"Paid","1999","Employed","841","0.15436899632643","0.144282527030655","0.164455465622205","3"
"Partly, partly","1999","Not Employed","5","","","","2"
"Partly, partly","1999","Employed","1065","0.213576806023061","0.202135545297116","0.225018066749006","2"
"Acclaimed","2000","Not Employed","34","0.473789572773249","0.361532485619121","0.586046659927377","1"
"Acclaimed","2000","Employed","3866","0.473815573430224","0.463014916459732","0.484616230400717","1"
"Not paid","2000","Employed","1368","0.163979515653069","0.155970488399962","0.171988542906175","4"
"Not paid","2000","Not Employed","8","","","","4"
"Paid","2000","Not Employed","15","","","","3"
"Paid","2000","Employed","1293","0.156516394046012","0.148656897049526","0.164375891042499","3"
"Partly, partly","2000","Not Employed","19","","","","2"
"Partly, partly","2000","Employed","1683","0.205688516870695","0.196945185138623","0.214431848602767","2"
"Acclaimed","2001","Not Employed","29","","","","1"
"Acclaimed","2001","Employed","3497","0.457843596859718","0.446704575847697","0.46898261787174","1"
"Not paid","2001","Not Employed","13","","","","4"
"Not paid","2001","Employed","1266","0.161729463853967","0.153497322305248","0.169961605402686","4"
"Paid","2001","Not Employed","11","","","","3"
"Paid","2001","Employed","1226","0.160886421691889","0.152671636231346","0.169101207152433","3"
"Partly, partly","2001","Not Employed","12","","","","2"
"Partly, partly","2001","Employed","1696","0.219540517594426","0.210285895746956","0.228795139441895","2"
"Acclaimed","2002","Employed","3601","0.478432729899825","0.467435414938425","0.489430044861226","1"
"Acclaimed","2002","Not Employed","32","0.579002017217308","0.44969141824924","0.708312616185375","1"
"Not paid","2002","Not Employed","3","","","","4"
"Not paid","2002","Employed","1692","0.178594202890586","0.170162144259653","0.187026261521519","4"
"Paid","2002","Not Employed","14","","","","3"
"Paid","2002","Employed","978","0.133610670955995","0.126120388815912","0.141100953096078","3"
"Partly, partly","2002","Not Employed","7","","","","2"
"Partly, partly","2002","Employed","1655","0.209362396253594","0.200405467282334","0.218319325224853","2"
"Acclaimed","2003","Employed","3594","0.504351261141241","0.493040355763204","0.515662166519278","1"
"Acclaimed","2003","Not Employed","34","0.600224330025614","0.481139513920709","0.719309146130519","1"
"Not paid","2003","Not Employed","11","","","","4"
"Not paid","2003","Employed","1538","0.168598738185489","0.160128876649212","0.177068599721766","4"
"Paid","2003","Not Employed","14","","","","3"
"Paid","2003","Employed","888","0.130756268337992","0.123129406948025","0.138383129727958","3"
"Partly, partly","2003","Not Employed","6","","","","2"
"Partly, partly","2003","Employed","1486","0.196293732335279","0.187308160821797","0.205279303848761","2"
"Acclaimed","2004","Employed","3475","0.494350714965254","0.482846904015056","0.505854525915451","1"
"Acclaimed","2004","Not Employed","18","","","","1"
"Not paid","2004","Not Employed","13","","","","4"
"Not paid","2004","Employed","1593","0.191434984846391","0.182382504693312","0.20048746499947","4"
"Paid","2004","Not Employed","5","","","","3"
"Paid","2004","Employed","804","0.124438631776462","0.116843761448443","0.132033502104481","3"
"Partly, partly","2004","Employed","1384","0.189775668411893","0.180753262548837","0.19879807427495","2"
"Partly, partly","2004","Not Employed","9","","","","2"
"Acclaimed","2005","Employed","3379","0.506043703505248","0.494124557399236","0.51796284961126","1"
"Acclaimed","2005","Not Employed","13","","","","1"
"Not paid","2005","Not Employed","10","","","","4"
"Not paid","2005","Employed","1368","0.178524299383838","0.169394675266994","0.187653923500682","4"
"Paid","2005","Not Employed","8","","","","3"
"Paid","2005","Employed","681","0.110206306182051","0.102740877470783","0.11767173489332","3"
"Partly, partly","2005","Employed","1331","0.205225690928863","0.19559750116853","0.214853880689195","2"
"Partly, partly","2005","Not Employed","10","","","","2"
"Acclaimed","2006","Not Employed","29","","","","1"
"Acclaimed","2006","Employed","3708","0.49539888554583","0.484041025207215","0.506756745884445","1"
"Not paid","2006","Not Employed","10","","","","4"
"Not paid","2006","Employed","1609","0.198081916306712","0.189028086491512","0.207135746121913","4"
"Paid","2006","Not Employed","13","","","","3"
