"plb0195_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1985","in school","Urban Area","","","","","1"
"Acclaimed","1985","in school","Rural Area","","","","","1"
"Acclaimed","1985","inadequately","Urban Area","12","","","","1"
"Acclaimed","1985","inadequately","Rural Area","1","","","","1"
"Acclaimed","1985","general elemantary","Urban Area","118","0.280245456290026","0.241680687943763","0.318810224636288","1"
"Acclaimed","1985","general elemantary","Rural Area","29","","","","1"
"Acclaimed","1985","middle vocational","Urban Area","424","0.295747385072904","0.27299808511727","0.318496685028539","1"
"Acclaimed","1985","middle vocational","Rural Area","135","0.284634619562777","0.244433955199956","0.324835283925598","1"
"Acclaimed","1985","vocational + Abi","Urban Area","21","","","","1"
"Acclaimed","1985","vocational + Abi","Rural Area","1","","","","1"
"Acclaimed","1985","higher vocational","Urban Area","73","0.32913669241102","0.269563028590175","0.388710356231865","1"
"Acclaimed","1985","higher vocational","Rural Area","19","","","","1"
"Acclaimed","1985","higher education","Urban Area","56","0.16620948675321","0.127754450990123","0.204664522516297","1"
"Acclaimed","1985","higher education","Rural Area","11","","","","1"
"Not paid","1985","higher vocational","Rural Area","30","0.466213378549912","0.347644737320224","0.584782019779599","4"
"Not paid","1985","higher education","Urban Area","208","0.59110052830721","0.540315489446678","0.641885567167742","4"
"Not paid","1985","inadequately","Urban Area","9","","","","4"
"Not paid","1985","general elemantary","Urban Area","60","0.143540919668335","0.113433717372356","0.173648121964315","4"
"Not paid","1985","general elemantary","Rural Area","30","0.222082790621792","0.155566717186593","0.288598864056992","4"
"Not paid","1985","higher education","Rural Area","35","0.613621922176785","0.486092394946014","0.741151449407556","4"
"Not paid","1985","inadequately","Rural Area","3","","","","4"
"Not paid","1985","in school","Rural Area","","","","","4"
"Not paid","1985","higher vocational","Urban Area","78","0.330446636455241","0.27081284717094","0.390080425739541","4"
"Not paid","1985","in school","Urban Area","1","","","","4"
"Not paid","1985","middle vocational","Urban Area","312","0.214848679802062","0.194375449417705","0.235321910186419","4"
"Not paid","1985","middle vocational","Rural Area","119","0.258306857141748","0.219312163760634","0.297301550522863","4"
"Not paid","1985","vocational + Abi","Urban Area","27","","","","4"
"Not paid","1985","vocational + Abi","Rural Area","3","","","","4"
"Paid","1985","middle vocational","Rural Area","179","0.350940840741322","0.308421697225613","0.393459984257031","3"
"Paid","1985","vocational + Abi","Urban Area","33","0.289856457726704","0.194521313918884","0.385191601534525","3"
"Paid","1985","middle vocational","Urban Area","637","0.371736057719185","0.347646337379735","0.395825778058636","3"
"Paid","1985","in school","Urban Area","","","","","3"
"Paid","1985","in school","Rural Area","","","","","3"
"Paid","1985","inadequately","Urban Area","117","0.702388651993604","0.628976417447077","0.77580088654013","3"
"Paid","1985","general elemantary","Urban Area","294","0.464039358818696","0.421216753377659","0.506861964259733","3"
"Paid","1985","general elemantary","Rural Area","76","0.45854139598115","0.378801738558753","0.538281053403547","3"
"Paid","1985","higher education","Rural Area","9","","","","3"
"Paid","1985","inadequately","Rural Area","17","","","","3"
"Paid","1985","vocational + Abi","Rural Area","9","","","","3"
"Paid","1985","higher vocational","Urban Area","55","0.212599807455219","0.16072836414455","0.264471250765888","3"
"Paid","1985","higher vocational","Rural Area","10","","","","3"
"Paid","1985","higher education","Urban Area","43","0.0984233100193989","0.067651916717062","0.129194703321736","3"
"Partly, partly","1985","higher vocational","Urban Area","33","0.12781686367852","0.0854869813100301","0.17014674604701","2"
"Partly, partly","1985","higher vocational","Rural Area","9","","","","2"
"Partly, partly","1985","in school","Rural Area","","","","","2"
"Partly, partly","1985","inadequately","Urban Area","11","","","","2"
"Partly, partly","1985","higher education","Urban Area","53","0.144266674920181","0.107971484909716","0.180561864930647","2"
"Partly, partly","1985","inadequately","Rural Area","","","","","2"
"Partly, partly","1985","higher education","Rural Area","1","","","","2"
"Partly, partly","1985","general elemantary","Rural Area","15","","","","2"
"Partly, partly","1985","in school","Urban Area","","","","","2"
"Partly, partly","1985","general elemantary","Urban Area","49","0.112174265222943","0.0850761109569063","0.13927241948898","2"
"Partly, partly","1985","vocational + Abi","Urban Area","6","","","","2"
"Partly, partly","1985","vocational + Abi","Rural Area","2","","","","2"
