"plb0195_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","Schleswig-Holstein","Urban Area","19","","",""
"Acclaimed","1985","Schleswig-Holstein","Rural Area","19","","",""
"Acclaimed","1985","Hamburg","Urban Area","28","","",""
"Acclaimed","1985","Hamburg","Rural Area","1","","",""
"Acclaimed","1985","Lower Saxony","Urban Area","60","0.332007852456611","0.264146566809762","0.399869138103461"
"Acclaimed","1985","Lower Saxony","Rural Area","51","0.286188079294169","0.220159871910777","0.35221628667756"
"Acclaimed","1985","Bremen","Urban Area","5","","",""
"Acclaimed","1985","Bremen","Rural Area","","","",""
"Acclaimed","1985","North Rhine-Westphalia","Urban Area","209","0.254916141445282","0.227433354356329","0.282398928534236"
"Acclaimed","1985","North Rhine-Westphalia","Rural Area","7","","",""
"Acclaimed","1985","Hesse","Urban Area","82","0.295175487304189","0.245509825118639","0.344841149489739"
"Acclaimed","1985","Hesse","Rural Area","14","","",""
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Urban Area","38","0.250474781419051","0.186279339231771","0.31467022360633"
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Rural Area","7","","",""
"Acclaimed","1985","Baden-Württemberg","Urban Area","115","0.229573891336555","0.195781700277518","0.263366082395592"
"Acclaimed","1985","Baden-Württemberg","Rural Area","17","","",""
"Acclaimed","1985","Bavaria","Urban Area","112","0.316168220247657","0.268980670987301","0.363355769508013"
"Acclaimed","1985","Bavaria","Rural Area","80","0.266832219511788","0.218371046524316","0.315293392499259"
"Acclaimed","1985","Berlin","Urban Area","40","0.353139366588123","0.267267077890155","0.439011655286092"
"Acclaimed","1985","Berlin","Rural Area","","","",""
"Acclaimed","1985","Brandenburg","Urban Area","","","",""
"Acclaimed","1985","Brandenburg","Rural Area","","","",""
"Acclaimed","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Acclaimed","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Acclaimed","1985","Saxony","Urban Area","","","",""
"Acclaimed","1985","Saxony","Rural Area","","","",""
"Acclaimed","1985","Saxony-Anhalt","Urban Area","","","",""
"Acclaimed","1985","Saxony-Anhalt","Rural Area","","","",""
"Acclaimed","1985","Thuringia","Urban Area","","","",""
"Acclaimed","1985","Thuringia","Rural Area","","","",""
"Partly, partly","1985","Schleswig-Holstein","Urban Area","10","","",""
"Partly, partly","1985","Schleswig-Holstein","Rural Area","4","","",""
"Partly, partly","1985","Hamburg","Urban Area","11","","",""
"Partly, partly","1985","Hamburg","Rural Area","","","",""
"Partly, partly","1985","Lower Saxony","Urban Area","9","","",""
"Partly, partly","1985","Lower Saxony","Rural Area","22","","",""
"Partly, partly","1985","Bremen","Urban Area","1","","",""
"Partly, partly","1985","Bremen","Rural Area","","","",""
"Partly, partly","1985","North Rhine-Westphalia","Urban Area","99","0.109346431544048","0.0896668327042551","0.129026030383841"
"Partly, partly","1985","North Rhine-Westphalia","Rural Area","1","","",""
"Partly, partly","1985","Hesse","Urban Area","40","0.138754859727565","0.101113692734058","0.176396026721072"
"Partly, partly","1985","Hesse","Rural Area","2","","",""
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Urban Area","17","","",""
"Partly, partly","1985","Rhineland-Palatinate,Saarland","Rural Area","5","","",""
"Partly, partly","1985","Baden-Württemberg","Urban Area","76","0.141190308704292","0.113210771912743","0.169169845495841"
"Partly, partly","1985","Baden-Württemberg","Rural Area","7","","",""
"Partly, partly","1985","Bavaria","Urban Area","44","0.123495045899586","0.0901066441455066","0.156883447653665"
"Partly, partly","1985","Bavaria","Rural Area","37","0.115127529276164","0.0801569331088072","0.150098125443521"
"Partly, partly","1985","Berlin","Urban Area","18","","",""
"Partly, partly","1985","Berlin","Rural Area","","","",""
"Partly, partly","1985","Brandenburg","Urban Area","","","",""
"Partly, partly","1985","Brandenburg","Rural Area","","","",""
"Partly, partly","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Partly, partly","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Partly, partly","1985","Saxony","Urban Area","","","",""
"Partly, partly","1985","Saxony","Rural Area","","","",""
"Partly, partly","1985","Saxony-Anhalt","Urban Area","","","",""
"Partly, partly","1985","Saxony-Anhalt","Rural Area","","","",""
"Partly, partly","1985","Thuringia","Urban Area","","","",""
"Partly, partly","1985","Thuringia","Rural Area","","","",""
