"plb0195_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Schleswig-Holstein","Full Time","32","0.294628837745632","0.211669443379477","0.377588232111786","1"
"Acclaimed","1984","Schleswig-Holstein","Part Time","6","","","","1"
"Acclaimed","1984","Schleswig-Holstein","Not Working","","","","","1"
"Acclaimed","1984","Hamburg","Full Time","24","","","","1"
"Acclaimed","1984","Hamburg","Part Time","11","","","","1"
"Acclaimed","1984","Hamburg","Not Working","","","","","1"
"Acclaimed","1984","Lower Saxony","Full Time","98","0.304374945226577","0.255820320525982","0.352929569927171","1"
"Acclaimed","1984","Lower Saxony","Part Time","31","0.319086665496204","0.225354956451812","0.412818374540596","1"
"Acclaimed","1984","Lower Saxony","Not Working","2","","","","1"
"Acclaimed","1984","Bremen","Full Time","5","","","","1"
"Acclaimed","1984","Bremen","Part Time","3","","","","1"
"Acclaimed","1984","Bremen","Not Working","1","","","","1"
"Acclaimed","1984","North Rhine-Westphalia","Full Time","190","0.239699135430646","0.212232840518319","0.267165430342973","1"
"Acclaimed","1984","North Rhine-Westphalia","Part Time","55","0.311499875390259","0.246332808193299","0.376666942587219","1"
"Acclaimed","1984","North Rhine-Westphalia","Not Working","4","","","","1"
"Acclaimed","1984","Hesse","Full Time","93","0.310197067254189","0.263809908602145","0.356584225906234","1"
"Acclaimed","1984","Hesse","Part Time","21","","","","1"
"Acclaimed","1984","Hesse","Not Working","2","","","","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Full Time","59","0.27168990575427","0.213436811617401","0.329942999891139","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Part Time","11","","","","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Acclaimed","1984","Baden-Württemberg","Full Time","120","0.216864366634968","0.186047937434807","0.247680795835129","1"
"Acclaimed","1984","Baden-Württemberg","Part Time","30","0.315783558048987","0.232616952133861","0.398950163964113","1"
"Acclaimed","1984","Baden-Württemberg","Not Working","1","","","","1"
"Acclaimed","1984","Bavaria","Full Time","176","0.30815802327643","0.271871689348718","0.344444357204141","1"
"Acclaimed","1984","Bavaria","Part Time","51","0.343694916304653","0.266918318740347","0.42047151386896","1"
"Acclaimed","1984","Bavaria","Not Working","2","","","","1"
"Acclaimed","1984","Berlin","Full Time","43","0.40233727173593","0.316027400588879","0.488647142882982","1"
"Acclaimed","1984","Berlin","Part Time","11","","","","1"
"Acclaimed","1984","Berlin","Not Working","","","","","1"
"Acclaimed","1984","Brandenburg","Full Time","","","","","1"
"Acclaimed","1984","Brandenburg","Part Time","","","","","1"
"Acclaimed","1984","Brandenburg","Not Working","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Acclaimed","1984","Saxony","Full Time","","","","","1"
"Acclaimed","1984","Saxony","Part Time","","","","","1"
"Acclaimed","1984","Saxony","Not Working","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","Full Time","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","Part Time","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","Not Working","","","","","1"
"Acclaimed","1984","Thuringia","Full Time","","","","","1"
"Acclaimed","1984","Thuringia","Part Time","","","","","1"
"Acclaimed","1984","Thuringia","Not Working","","","","","1"
"Not paid","1984","North Rhine-Westphalia","Not Working","6","","","","4"
"Not paid","1984","Hesse","Not Working","4","","","","4"
