"plb0195_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","1-pers.-HH","West Germany","129","0.346913662849451","0.300556528572002","0.3932707971269","1"
"Acclaimed","1984","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1984","(Married) couple without C. ","West Germany","232","0.282083784785531","0.252535302333817","0.311632267237245","1"
"Acclaimed","1984","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1984","Single parent ","West Germany","57","0.325796624161885","0.259155848728021","0.39243739959575","1"
"Acclaimed","1984","Single parent ","East Germany","","","","","1"
"Acclaimed","1984","Couple + C. LE 16 ","West Germany","278","0.247797299450276","0.224568414753342","0.271026184147209","1"
"Acclaimed","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1984","Couple + C. GT 16 ","West Germany","181","0.277772582826288","0.244919157270968","0.310626008381609","1"
"Acclaimed","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1984","Couple + C. LE and GT 16","West Germany","150","0.280065839348097","0.244344296693924","0.31578738200227","1"
"Acclaimed","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1984","1-pers.-HH","West Germany","88","0.233297199797536","0.192107477193011","0.274486922402062","4"
"Not paid","1984","1-pers.-HH","East Germany","","","","","4"
"Not paid","1984","(Married) couple without C. ","West Germany","217","0.271073712920785","0.241886357450819","0.300261068390751","4"
"Not paid","1984","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1984","Single parent ","West Germany","34","0.183586648149554","0.128537971107042","0.238635325192066","4"
"Not paid","1984","Single parent ","East Germany","","","","","4"
"Not paid","1984","Couple + C. LE 16 ","West Germany","286","0.247667984510712","0.224443165601222","0.270892803420202","4"
"Not paid","1984","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1984","Couple + C. GT 16 ","West Germany","159","0.248638398762879","0.216934871503812","0.280341926021946","4"
"Not paid","1984","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1984","Couple + C. LE and GT 16","West Germany","108","0.222571678433817","0.189479993950539","0.255663362917096","4"
"Not paid","1984","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1984","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1984","1-pers.-HH","West Germany","155","0.337229085103557","0.291185957950314","0.3832722122568","3"
"Paid","1984","1-pers.-HH","East Germany","","","","","3"
"Paid","1984","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1984","Couple + C. LE 16 ","West Germany","617","0.38131958051278","0.355186514316841","0.407452646708718","3"
"Paid","1984","(Married) couple without C. ","West Germany","343","0.336025947608723","0.305010989411437","0.36704090580601","3"
"Paid","1984","Single parent ","West Germany","73","0.342741726807067","0.275254309006439","0.410229144607695","3"
"Paid","1984","Single parent ","East Germany","","","","","3"
"Paid","1984","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1984","Couple + C. LE and GT 16","West Germany","291","0.385798524832881","0.347073700671225","0.424523348994537","3"
"Paid","1984","Couple + C. LE and GT 16","East Germany","","","","","3"
"Paid","1984","Couple + C. GT 16 ","West Germany","293","0.370281189954049","0.334862039227419","0.405700340680679","3"
"Partly, partly","1984","1-pers.-HH","East Germany","","","","","2"
"Partly, partly","1984","(Married) couple without C. ","West Germany","99","0.11081655468496","0.0902051663848649","0.131427942985055","2"
"Partly, partly","1984","1-pers.-HH","West Germany","33","0.082560052249456","0.0557563748511758","0.109363729647736","2"
"Partly, partly","1984","(Married) couple without C. ","East Germany","","","","","2"
"Partly, partly","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Partly, partly","1984","Single parent ","West Germany","26","","","","2"
"Partly, partly","1984","Single parent ","East Germany","","","","","2"
"Partly, partly","1984","Couple + C. LE 16 ","West Germany","146","0.123215135526232","0.105530700847463","0.140899570205002","2"
"Partly, partly","1984","Couple + C. GT 16 ","West Germany","81","0.103307828456783","0.0809830431731765","0.12563261374039","2"
"Partly, partly","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"Partly, partly","1984","Couple + C. LE and GT 16","West Germany","58","0.111563957385204","0.0865185104815276","0.136609404288881","2"
"Partly, partly","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Acclaimed","1985","1-pers.-HH","West Germany","117","0.373842626551257","0.322789222718501","0.424896030384014","1"
"Acclaimed","1985","1-pers.-HH","East Germany","","","","","1"
"Acclaimed","1985","(Married) couple without C. ","West Germany","212","0.297309144844282","0.264531777016156","0.330086512672408","1"
"Acclaimed","1985","(Married) couple without C. ","East Germany","","","","","1"
"Acclaimed","1985","Single parent ","West Germany","49","0.309826842840553","0.239901918829774","0.379751766851331","1"
"Acclaimed","1985","Single parent ","East Germany","","","","","1"
"Acclaimed","1985","Couple + C. LE 16 ","West Germany","196","0.208454169578505","0.18389633560083","0.23301200355618","1"
"Acclaimed","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Acclaimed","1985","Couple + C. GT 16 ","West Germany","197","0.28945002879477","0.256438685316347","0.322461372273193","1"
"Acclaimed","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Acclaimed","1985","Couple + C. LE and GT 16","West Germany","87","0.197486846500165","0.162093215110344","0.232880477889986","1"
"Acclaimed","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"Not paid","1985","1-pers.-HH","West Germany","85","0.252481961663905","0.206639855781648","0.298324067546162","4"
"Not paid","1985","1-pers.-HH","East Germany","","","","","4"
"Not paid","1985","(Married) couple without C. ","West Germany","195","0.28231084651932","0.250031869429563","0.314589823609077","4"
"Not paid","1985","(Married) couple without C. ","East Germany","","","","","4"
"Not paid","1985","Single parent ","West Germany","33","0.204455429040401","0.143470147667776","0.265440710413025","4"
"Not paid","1985","Single parent ","East Germany","","","","","4"
"Not paid","1985","Couple + C. LE 16 ","West Germany","261","0.286127612121612","0.25880407558055","0.313451148662674","4"
"Not paid","1985","Couple + C. LE 16 ","East Germany","","","","","4"
"Not paid","1985","Couple + C. GT 16 ","West Germany","183","0.264938692287325","0.232815879743163","0.297061504831487","4"
"Not paid","1985","Couple + C. GT 16 ","East Germany","","","","","4"
"Not paid","1985","Couple + C. LE and GT 16","West Germany","106","0.285036931345138","0.2449020181715","0.325171844518776","4"
"Not paid","1985","Couple + C. LE and GT 16","East Germany","","","","","4"
"Paid","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"Paid","1985","1-pers.-HH","West Germany","103","0.245804219361535","0.200370817157649","0.291237621565421","3"
"Paid","1985","1-pers.-HH","East Germany","","","","","3"
"Paid","1985","(Married) couple without C. ","West Germany","257","0.30878304988618","0.275653029275605","0.341913070496754","3"
"Paid","1985","(Married) couple without C. ","East Germany","","","","","3"
"Paid","1985","Single parent ","West Germany","66","0.361298289008344","0.288658354761782","0.433938223254905","3"
"Paid","1985","Single parent ","East Germany","","","","","3"
"Paid","1985","Couple + C. LE 16 ","West Germany","480","0.391323335860437","0.361817499300319","0.420829172420554","3"
"Paid","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"Paid","1985","Couple + C. LE and GT 16","West Germany","239","0.397049146402025","0.353548766790479","0.440549526013571","3"
"Paid","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"Paid","1985","Couple + C. GT 16 ","West Germany","266","0.33009308643289","0.295863273015314","0.364322899850465","3"
"Partly, partly","1985","1-pers.-HH","West Germany","40","0.127871192423303","0.0926328706411328","0.163109514205473","2"
