"plb0195_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","518","0.319665097760151","0.298018910775233","0.341311284745069"
"Acclaimed","1984","35-65 y.","561","0.256217590093461","0.239323615801993","0.273111564384929"
"Acclaimed","1984","66 and older","3","","",""
"Partly, partly","1984","16-34 y.","221","0.129293302778759","0.113719438820752","0.144867166736766"
"Partly, partly","1984","35-65 y.","241","0.0987100954909551","0.0871671287168997","0.110253062265011"
"Partly, partly","1984","66 and older","","","",""
"Paid","1984","16-34 y.","749","0.368080738789608","0.345694828349026","0.390466649230189"
"Paid","1984","35-65 y.","1120","0.354021192415064","0.335514527066241","0.372527857763887"
"Paid","1984","66 and older","4","","",""
"Not paid","1984","16-34 y.","295","0.182960860671482","0.165014642323102","0.200907079019863"
"Not paid","1984","35-65 y.","643","0.29105112200052","0.273472027331051","0.308630216669989"
"Not paid","1984","66 and older","12","","",""
"Acclaimed","1985","16-34 y.","438","0.315705490705702","0.292400495972921","0.339010485438483"
"Acclaimed","1985","35-65 y.","466","0.241299037148068","0.223354391527881","0.259243682768254"
"Acclaimed","1985","66 and older","","","",""
"Partly, partly","1985","16-34 y.","186","0.130219974283686","0.113345512432075","0.147094436135298"
"Partly, partly","1985","35-65 y.","217","0.105477169605098","0.0925947713137993","0.118359567896397"
"Partly, partly","1985","66 and older","","","",""
"Paid","1985","16-34 y.","613","0.34849529929498","0.324603786332378","0.372386812257581"
"Paid","1985","35-65 y.","879","0.330406297796664","0.310679726225936","0.350132869367392"
"Paid","1985","66 and older","1","","",""
"Not paid","1985","16-34 y.","291","0.205579235715632","0.18531634831906","0.225842123112204"
"Not paid","1985","35-65 y.","622","0.322817495450171","0.303208598213922","0.342426392686419"
"Not paid","1985","66 and older","8","","",""
"Acclaimed","1986","16-34 y.","463","0.330265443789272","0.306798958405553","0.353731929172992"
"Acclaimed","1986","35-65 y.","506","0.289360151791535","0.269371251745343","0.309349051837728"
"Acclaimed","1986","66 and older","","","",""
"Partly, partly","1986","16-34 y.","202","0.144411943956909","0.126873177640159","0.161950710273659"
"Partly, partly","1986","35-65 y.","193","0.100240484687011","0.0870022657461133","0.113478703627908"
"Partly, partly","1986","66 and older","","","",""
"Paid","1986","16-34 y.","639","0.364545324908824","0.340530292111429","0.388560357706218"
"Paid","1986","35-65 y.","857","0.366102070833471","0.344866911909849","0.387337229757094"
"Paid","1986","66 and older","2","","",""
"Not paid","1986","16-34 y.","239","0.160777287344995","0.142449244518888","0.179105330171102"
