"plb0195_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Not Employed","in school","","","","","1"
"Acclaimed","1984","Not Employed","inadequately","","","","","1"
"Acclaimed","1984","Not Employed","general elemantary","","","","","1"
"Acclaimed","1984","Not Employed","middle vocational","7","","","","1"
"Acclaimed","1984","Not Employed","vocational + Abi","2","","","","1"
"Acclaimed","1984","Not Employed","higher vocational","3","","","","1"
"Acclaimed","1984","Not Employed","higher education","","","","","1"
"Acclaimed","1984","Employed","in school","","","","","1"
"Acclaimed","1984","Employed","inadequately","18","","","","1"
"Acclaimed","1984","Employed","general elemantary","182","0.274928459564519","0.244105037790255","0.305751881338782","1"
"Acclaimed","1984","Employed","middle vocational","669","0.31132396692606","0.292482363397544","0.330165570454576","1"
"Acclaimed","1984","Employed","vocational + Abi","35","0.312212903002261","0.233160775726432","0.391265030278091","1"
"Acclaimed","1984","Employed","higher vocational","104","0.304721969162561","0.256010394655375","0.353433543669748","1"
"Acclaimed","1984","Employed","higher education","61","0.15602196425978","0.121276387725102","0.190767540794458","1"
"Not paid","1984","Not Employed","general elemantary","4","","","","4"
"Not paid","1984","Employed","vocational + Abi","40","0.379539775614256","0.296755710915451","0.462323840313061","4"
"Not paid","1984","Employed","higher vocational","108","0.326199803829718","0.276585323675637","0.3758142839838","4"
"Not paid","1984","Employed","higher education","233","0.586707471254977","0.539557583186651","0.633857359323303","4"
"Not paid","1984","Not Employed","inadequately","1","","","","4"
"Not paid","1984","Not Employed","middle vocational","7","","","","4"
"Not paid","1984","Not Employed","vocational + Abi","","","","","4"
"Not paid","1984","Employed","middle vocational","415","0.190904989050256","0.174912631193279","0.206897346907232","4"
"Not paid","1984","Not Employed","higher vocational","","","","","4"
"Not paid","1984","Not Employed","in school","","","","","4"
"Not paid","1984","Not Employed","higher education","6","","","","4"
"Not paid","1984","Employed","in school","1","","","","4"
"Not paid","1984","Employed","inadequately","13","","","","4"
"Not paid","1984","Employed","general elemantary","122","0.183096672598876","0.156396988153241","0.20979635704451","4"
"Paid","1984","Not Employed","higher education","3","","","","3"
"Paid","1984","Employed","in school","","","","","3"
"Paid","1984","Employed","inadequately","213","0.765600599750999","0.714403000412633","0.816798199089364","3"
"Paid","1984","Not Employed","vocational + Abi","3","","","","3"
"Paid","1984","Not Employed","higher vocational","2","","","","3"
"Paid","1984","Employed","higher education","66","0.135983825946175","0.103163291881207","0.168804360011143","3"
"Paid","1984","Not Employed","in school","","","","","3"
"Paid","1984","Not Employed","inadequately","1","","","","3"
"Paid","1984","Not Employed","general elemantary","8","","","","3"
"Paid","1984","Not Employed","middle vocational","18","","","","3"
"Paid","1984","Employed","general elemantary","442","0.453914690678238","0.419543234157506","0.488286147198969","3"
"Paid","1984","Employed","middle vocational","981","0.384953031292263","0.36515317164811","0.404752890936416","3"
"Paid","1984","Employed","vocational + Abi","45","0.235580350823711","0.163187350138221","0.3079733515092","3"
"Paid","1984","Employed","higher vocational","80","0.227293940985537","0.182943073462176","0.271644808508897","3"
"Partly, partly","1984","Employed","higher vocational","51","0.141784286022184","0.104868398642641","0.178700173401726","2"
"Partly, partly","1984","Employed","middle vocational","255","0.112818012731422","0.0999444225665062","0.125691602896337","2"
"Partly, partly","1984","Not Employed","general elemantary","1","","","","2"
"Partly, partly","1984","Employed","vocational + Abi","12","","","","2"
"Partly, partly","1984","Employed","higher education","59","0.121286738539068","0.0900280085683462","0.15254546850979","2"
"Partly, partly","1984","Not Employed","inadequately","","","","","2"
"Partly, partly","1984","Not Employed","middle vocational","2","","","","2"
"Partly, partly","1984","Not Employed","in school","","","","","2"
"Partly, partly","1984","Not Employed","vocational + Abi","1","","","","2"
"Partly, partly","1984","Employed","inadequately","19","","","","2"
"Partly, partly","1984","Employed","general elemantary","60","0.0880601771583683","0.0684963670837291","0.107623987233008","2"
"Partly, partly","1984","Not Employed","higher vocational","1","","","","2"
"Partly, partly","1984","Not Employed","higher education","1","","","","2"
"Partly, partly","1984","Employed","in school","","","","","2"
"Acclaimed","1985","Not Employed","in school","","","","","1"
"Acclaimed","1985","Not Employed","inadequately","","","","","1"
"Acclaimed","1985","Not Employed","general elemantary","5","","","","1"
"Acclaimed","1985","Not Employed","middle vocational","5","","","","1"
"Acclaimed","1985","Not Employed","vocational + Abi","","","","","1"
"Acclaimed","1985","Not Employed","higher vocational","1","","","","1"
"Acclaimed","1985","Not Employed","higher education","1","","","","1"
"Acclaimed","1985","Employed","in school","","","","","1"
"Acclaimed","1985","Employed","inadequately","13","","","","1"
"Acclaimed","1985","Employed","general elemantary","142","0.260416669118894","0.226884388558154","0.293948949679634","1"
"Acclaimed","1985","Employed","middle vocational","554","0.294359659820417","0.274390702295576","0.314328617345258","1"
"Acclaimed","1985","Employed","vocational + Abi","22","","","","1"
"Acclaimed","1985","Employed","higher vocational","91","0.313229208500912","0.261262595444797","0.365195821557026","1"
"Acclaimed","1985","Employed","higher education","66","0.17139732748554","0.134919299644663","0.207875355326418","1"
"Not paid","1985","Not Employed","general elemantary","4","","","","4"
