"plb0195_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","1-pers.-HH","(0) in school","","","",""
"Acclaimed","1984","1-pers.-HH","(1a) inadequately completed","3","","",""
"Acclaimed","1984","1-pers.-HH","(1b) general elementary school","14","","",""
"Acclaimed","1984","1-pers.-HH","(1c) basic vocational qualification","38","0.291631424424181","0.216342537563749","0.366920311284613"
"Acclaimed","1984","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"Acclaimed","1984","1-pers.-HH","(2a) intermediate vocational","34","0.450362906216177","0.337005068045699","0.563720744386656"
"Acclaimed","1984","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Acclaimed","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","16","","",""
"Acclaimed","1984","1-pers.-HH","(3a) lower tertiary education","5","","",""
"Acclaimed","1984","1-pers.-HH","(3b) higher tertiary education","10","","",""
"Acclaimed","1984","(Married) couple without C. ","(0) in school","","","",""
"Acclaimed","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Acclaimed","1984","(Married) couple without C. ","(1b) general elementary school","26","","",""
"Acclaimed","1984","(Married) couple without C. ","(1c) basic vocational qualification","98","0.275173912579964","0.230152125634945","0.320195699524983"
"Acclaimed","1984","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Acclaimed","1984","(Married) couple without C. ","(2a) intermediate vocational","66","0.377091216800696","0.305284593847659","0.448897839753734"
"Acclaimed","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","6","","",""
"Acclaimed","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","13","","",""
"Acclaimed","1984","(Married) couple without C. ","(3a) lower tertiary education","10","","",""
"Acclaimed","1984","(Married) couple without C. ","(3b) higher tertiary education","7","","",""
"Acclaimed","1984","Single parent ","(0) in school","","","",""
"Acclaimed","1984","Single parent ","(1a) inadequately completed","","","",""
"Acclaimed","1984","Single parent ","(1b) general elementary school","7","","",""
"Acclaimed","1984","Single parent ","(1c) basic vocational qualification","22","","",""
"Acclaimed","1984","Single parent ","(2b) intermediate general qualification","4","","",""
"Acclaimed","1984","Single parent ","(2a) intermediate vocational","18","","",""
"Acclaimed","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Acclaimed","1984","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Acclaimed","1984","Single parent ","(3a) lower tertiary education","","","",""
"Acclaimed","1984","Single parent ","(3b) higher tertiary education","3","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(1b) general elementary school","27","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","143","0.280684208320447","0.243861234117695","0.317507182523198"
"Acclaimed","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(2a) intermediate vocational","62","0.31379739824619","0.24833072295862","0.37926407353376"
"Acclaimed","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","3","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(3a) lower tertiary education","7","","",""
"Acclaimed","1984","Couple + C. LE 16 ","(3b) higher tertiary education","10","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(1b) general elementary school","22","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","91","0.279869713854003","0.231506229278176","0.32823319842983"
"Acclaimed","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","11","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(2a) intermediate vocational","42","0.39039646993143","0.297086055331165","0.483706884531694"
"Acclaimed","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","3","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","8","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(3a) lower tertiary education","3","","",""
"Acclaimed","1984","Couple + C. GT 16 ","(3b) higher tertiary education","1","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(1a) inadequately completed","9","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(1b) general elementary school","32","0.278960995228528","0.205453572935533","0.352468417521522"
"Acclaimed","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","60","0.255802029273549","0.201499696850647","0.310104361696451"
"Acclaimed","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","23","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","3","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Acclaimed","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Partly, partly","1984","1-pers.-HH","(0) in school","","","",""
"Partly, partly","1984","1-pers.-HH","(1a) inadequately completed","1","","",""
"Partly, partly","1984","1-pers.-HH","(1b) general elementary school","3","","",""
"Partly, partly","1984","1-pers.-HH","(1c) basic vocational qualification","14","","",""
"Partly, partly","1984","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Partly, partly","1984","1-pers.-HH","(2a) intermediate vocational","7","","",""
"Partly, partly","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","5","","",""
"Partly, partly","1984","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Partly, partly","1984","1-pers.-HH","(3b) higher tertiary education","1","","",""
"Partly, partly","1984","(Married) couple without C. ","(0) in school","","","",""
"Partly, partly","1984","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Partly, partly","1984","(Married) couple without C. ","(1b) general elementary school","7","","",""
"Partly, partly","1984","(Married) couple without C. ","(1c) basic vocational qualification","44","0.121218574092814","0.0883162018754819","0.154120946310147"
"Partly, partly","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Partly, partly","1984","(Married) couple without C. ","(2a) intermediate vocational","20","","",""
"Partly, partly","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","1","","",""
"Partly, partly","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","8","","",""
"Partly, partly","1984","(Married) couple without C. ","(3a) lower tertiary education","7","","",""
"Partly, partly","1984","(Married) couple without C. ","(3b) higher tertiary education","8","","",""
"Partly, partly","1984","Single parent ","(0) in school","","","",""
"Partly, partly","1984","Single parent ","(1a) inadequately completed","1","","",""
"Partly, partly","1984","Single parent ","(1b) general elementary school","7","","",""
"Partly, partly","1984","Single parent ","(1c) basic vocational qualification","14","","",""
"Partly, partly","1984","Single parent ","(2b) intermediate general qualification","","","",""
"Partly, partly","1984","Single parent ","(2a) intermediate vocational","3","","",""
"Partly, partly","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1984","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Partly, partly","1984","Single parent ","(3a) lower tertiary education","","","",""
"Partly, partly","1984","Single parent ","(3b) higher tertiary education","","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(1a) inadequately completed","5","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(1b) general elementary school","17","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","54","0.0989047223409309","0.0744397940289514","0.123369650652911"
"Partly, partly","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(2a) intermediate vocational","35","0.181564426931925","0.12717968564028","0.235949168223569"
"Partly, partly","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(3a) lower tertiary education","13","","",""
"Partly, partly","1984","Couple + C. LE 16 ","(3b) higher tertiary education","14","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(1a) inadequately completed","7","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(1b) general elementary school","5","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","39","0.116002144700485","0.0815042407108454","0.150500048690125"
"Partly, partly","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(2a) intermediate vocational","13","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","1","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(3a) lower tertiary education","4","","",""
"Partly, partly","1984","Couple + C. GT 16 ","(3b) higher tertiary education","8","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(1a) inadequately completed","3","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(1b) general elementary school","9","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","31","0.122628666773132","0.0818051914082724","0.163452142137991"
"Partly, partly","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","6","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"Partly, partly","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Paid","1984","1-pers.-HH","(0) in school","","","",""
"Paid","1984","1-pers.-HH","(1a) inadequately completed","18","","",""
"Paid","1984","1-pers.-HH","(1b) general elementary school","26","","",""
"Paid","1984","1-pers.-HH","(1c) basic vocational qualification","69","0.462211990258468","0.379625267149525","0.544798713367411"
"Paid","1984","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Paid","1984","1-pers.-HH","(2a) intermediate vocational","14","","",""
"Paid","1984","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Paid","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"Paid","1984","1-pers.-HH","(3a) lower tertiary education","4","","",""
"Paid","1984","1-pers.-HH","(3b) higher tertiary education","8","","",""
"Paid","1984","(Married) couple without C. ","(0) in school","","","",""
"Paid","1984","(Married) couple without C. ","(1a) inadequately completed","30","0.768779525564398","0.627062287177503","0.910496763951293"
"Paid","1984","(Married) couple without C. ","(1b) general elementary school","75","0.551772295389069","0.463161894902312","0.640382695875827"
"Paid","1984","(Married) couple without C. ","(1c) basic vocational qualification","165","0.407348445263194","0.357816551056542","0.456880339469847"
"Paid","1984","(Married) couple without C. ","(2b) intermediate general qualification","3","","",""
"Paid","1984","(Married) couple without C. ","(2a) intermediate vocational","38","0.218821724151963","0.157565621321795","0.280077826982131"
"Paid","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Paid","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","11","","",""
"Paid","1984","(Married) couple without C. ","(3a) lower tertiary education","4","","",""
"Paid","1984","(Married) couple without C. ","(3b) higher tertiary education","12","","",""
"Paid","1984","Single parent ","(0) in school","","","",""
"Paid","1984","Single parent ","(1a) inadequately completed","8","","",""
"Paid","1984","Single parent ","(1b) general elementary school","23","","",""
"Paid","1984","Single parent ","(1c) basic vocational qualification","30","0.369447086037142","0.263015278802965","0.475878893271319"
"Paid","1984","Single parent ","(2b) intermediate general qualification","2","","",""
"Paid","1984","Single parent ","(2a) intermediate vocational","5","","",""
"Paid","1984","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Paid","1984","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Paid","1984","Single parent ","(3a) lower tertiary education","","","",""
"Paid","1984","Single parent ","(3b) higher tertiary education","1","","",""
"Paid","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Paid","1984","Couple + C. LE 16 ","(1a) inadequately completed","89","0.813015228114007","0.739819236018014","0.88621122021"
"Paid","1984","Couple + C. LE 16 ","(1b) general elementary school","132","0.593646744708239","0.524886728198422","0.662406761218056"
"Paid","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","289","0.472547946156892","0.431634646149975","0.513461246163809"
"Paid","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Paid","1984","Couple + C. LE 16 ","(2a) intermediate vocational","34","0.176075648675669","0.122339968011497","0.22981132933984"
"Paid","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","12","","",""
"Paid","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","22","","",""
"Paid","1984","Couple + C. LE 16 ","(3a) lower tertiary education","8","","",""
"Paid","1984","Couple + C. LE 16 ","(3b) higher tertiary education","17","","",""
"Paid","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Paid","1984","Couple + C. GT 16 ","(1a) inadequately completed","35","0.900434565881466","0.809881361991139","0.990987769771793"
"Paid","1984","Couple + C. GT 16 ","(1b) general elementary school","58","0.485288942630868","0.394339290252417","0.57623859500932"
"Paid","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","141","0.421952003709459","0.368747601129481","0.475156406289438"
"Paid","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","3","","",""
"Paid","1984","Couple + C. GT 16 ","(2a) intermediate vocational","25","","",""
"Paid","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","8","","",""
