"plb0195_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Not Employed","(0) in school","","","",""
"Acclaimed","1984","Not Employed","(1a) inadequately completed","","","",""
"Acclaimed","1984","Not Employed","(1b) general elementary school","","","",""
"Acclaimed","1984","Not Employed","(1c) basic vocational qualification","7","","",""
"Acclaimed","1984","Not Employed","(2b) intermediate general qualification","","","",""
"Acclaimed","1984","Not Employed","(2a) intermediate vocational","3","","",""
"Acclaimed","1984","Not Employed","(2c_gen) general maturity certificate","","","",""
"Acclaimed","1984","Not Employed","(2c_voc) vocational maturity certificate","2","","",""
"Acclaimed","1984","Not Employed","(3a) lower tertiary education","","","",""
"Acclaimed","1984","Not Employed","(3b) higher tertiary education","","","",""
"Acclaimed","1984","Employed","(0) in school","","","",""
"Acclaimed","1984","Employed","(1a) inadequately completed","21","","",""
"Acclaimed","1984","Employed","(1b) general elementary school","134","0.229897473242437","0.198990998780891","0.260803947703983"
"Acclaimed","1984","Employed","(1c) basic vocational qualification","470","0.278109411714502","0.257444538214974","0.298774285214029"
"Acclaimed","1984","Employed","(2b) intermediate general qualification","48","0.462252755961234","0.36596782355133","0.558537688371138"
"Acclaimed","1984","Employed","(2a) intermediate vocational","251","0.383642597186076","0.346402812570999","0.420882381801153"
"Acclaimed","1984","Employed","(2c_gen) general maturity certificate","19","","",""
"Acclaimed","1984","Employed","(2c_voc) vocational maturity certificate","62","0.341842607979225","0.276431668841911","0.407253547116539"
"Acclaimed","1984","Employed","(3a) lower tertiary education","27","","",""
"Acclaimed","1984","Employed","(3b) higher tertiary education","34","0.139069565930058","0.0977198975580947","0.180419234302022"
"Partly, partly","1984","Not Employed","(0) in school","","","",""
"Partly, partly","1984","Not Employed","(1a) inadequately completed","","","",""
"Partly, partly","1984","Not Employed","(1b) general elementary school","","","",""
"Partly, partly","1984","Not Employed","(1c) basic vocational qualification","3","","",""
"Partly, partly","1984","Not Employed","(2b) intermediate general qualification","1","","",""
"Partly, partly","1984","Not Employed","(2a) intermediate vocational","","","",""
"Partly, partly","1984","Not Employed","(2c_gen) general maturity certificate","","","",""
"Partly, partly","1984","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Partly, partly","1984","Not Employed","(3a) lower tertiary education","","","",""
"Partly, partly","1984","Not Employed","(3b) higher tertiary education","1","","",""
"Partly, partly","1984","Employed","(0) in school","","","",""
"Partly, partly","1984","Employed","(1a) inadequately completed","20","","",""
"Partly, partly","1984","Employed","(1b) general elementary school","54","0.0925977828882373","0.071306182506442","0.113889383270033"
"Partly, partly","1984","Employed","(1c) basic vocational qualification","200","0.112832989135505","0.098241152563985","0.127424825707025"
"Partly, partly","1984","Employed","(2b) intermediate general qualification","8","","",""
"Partly, partly","1984","Employed","(2a) intermediate vocational","86","0.124582090748931","0.0992912677527237","0.149872913745138"
"Partly, partly","1984","Employed","(2c_gen) general maturity certificate","5","","",""
"Partly, partly","1984","Employed","(2c_voc) vocational maturity certificate","23","","",""
"Partly, partly","1984","Employed","(3a) lower tertiary education","28","","",""
"Partly, partly","1984","Employed","(3b) higher tertiary education","31","0.0847785162879433","0.0514912630552377","0.118065769520649"
"Paid","1984","Not Employed","(0) in school","","","",""
"Paid","1984","Not Employed","(1a) inadequately completed","1","","",""
"Paid","1984","Not Employed","(1b) general elementary school","8","","",""
"Paid","1984","Not Employed","(1c) basic vocational qualification","13","","",""
"Paid","1984","Not Employed","(2b) intermediate general qualification","","","",""
"Paid","1984","Not Employed","(2a) intermediate vocational","4","","",""
"Paid","1984","Not Employed","(2c_gen) general maturity certificate","2","","",""
"Paid","1984","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"Paid","1984","Not Employed","(3a) lower tertiary education","","","",""
"Paid","1984","Not Employed","(3b) higher tertiary education","3","","",""
"Paid","1984","Employed","(0) in school","","","",""
