"plb0195_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","no migration background","Male","489","0.228769089651387","0.211005863778711","0.246532315524063","1"
"Acclaimed","1984","no migration background","Female","442","0.412362782614381","0.382812348437033","0.441913216791729","1"
"Acclaimed","1984","direct migration background","Male","78","0.160955694696446","0.136089305249697","0.185822084143195","1"
"Acclaimed","1984","direct migration background","Female","65","0.32838053779729","0.273762101513264","0.382998974081317","1"
"Acclaimed","1984","indirect migration background","Male","3","","","","1"
"Acclaimed","1984","indirect migration background","Female","5","","","","1"
"Not paid","1984","no migration background","Male","580","0.269565518847379","0.250800294744675","0.288330742950084","4"
"Not paid","1984","no migration background","Female","251","0.240763833185546","0.215098106972677","0.266429559398414","4"
"Not paid","1984","direct migration background","Male","71","0.124350196448468","0.102021900710294","0.146678492186643","4"
"Not paid","1984","indirect migration background","Male","4","","","","4"
"Not paid","1984","direct migration background","Female","39","0.171665469986788","0.127809039889723","0.215521900083854","4"
"Not paid","1984","indirect migration background","Female","5","","","","4"
"Paid","1984","no migration background","Male","818","0.384088812777475","0.363520160907632","0.404657464647318","3"
"Paid","1984","no migration background","Female","256","0.240072897517834","0.214432366064091","0.265713428971578","3"
"Paid","1984","direct migration background","Male","631","0.647879857480875","0.615560718356501","0.680198996605248","3"
"Paid","1984","direct migration background","Female","155","0.390207036713622","0.333475091647365","0.446938981779878","3"
"Paid","1984","indirect migration background","Male","10","","","","3"
"Paid","1984","indirect migration background","Female","3","","","","3"
"Partly, partly","1984","no migration background","Female","117","0.106800486682239","0.0882596066673632","0.125341366697115","2"
"Partly, partly","1984","direct migration background","Male","59","0.0668142513742114","0.0499181808806086","0.0837103218678142","2"
"Partly, partly","1984","direct migration background","Female","25","","","","2"
"Partly, partly","1984","no migration background","Male","261","0.117576578723758","0.103954923765925","0.131198233681591","2"
"Partly, partly","1984","indirect migration background","Male","","","","","2"
"Partly, partly","1984","indirect migration background","Female","","","","","2"
"Acclaimed","1985","no migration background","Male","399","0.215765518401249","0.197141333052753","0.234389703749746","1"
"Acclaimed","1985","no migration background","Female","390","0.401318149428086","0.370691958299556","0.431944340556616","1"
"Acclaimed","1985","direct migration background","Male","57","0.12208307497308","0.0964577866099315","0.147708363336228","1"
"Acclaimed","1985","direct migration background","Female","52","0.346575063065825","0.282058465505624","0.411091660626027","1"
"Acclaimed","1985","indirect migration background","Male","1","","","","1"
"Acclaimed","1985","indirect migration background","Female","5","","","","1"
"Not paid","1985","no migration background","Male","579","0.305645991171415","0.284788449335833","0.326503533006997","4"
"Not paid","1985","no migration background","Female","255","0.258860248584015","0.231492865116429","0.286227632051601","4"
"Not paid","1985","direct migration background","Male","51","0.123919901088961","0.0981295795236783","0.149710222654244","4"
"Not paid","1985","indirect migration background","Male","4","","","","4"
"Not paid","1985","direct migration background","Female","30","0.159093105245606","0.109505334583442","0.20868087590777","4"
"Not paid","1985","indirect migration background","Female","2","","","","4"
"Paid","1985","no migration background","Male","674","0.36198973466396","0.340231419735221","0.383748049592698","3"
"Paid","1985","no migration background","Female","231","0.227817326675558","0.201611133159209","0.254023520191907","3"
"Paid","1985","direct migration background","Male","465","0.625013261876154","0.587119572463963","0.662906951288345","3"
"Paid","1985","direct migration background","Female","112","0.40634373401901","0.339756763014158","0.472930705023862","3"
"Paid","1985","indirect migration background","Male","8","","","","3"
"Paid","1985","indirect migration background","Female","3","","","","3"
"Partly, partly","1985","no migration background","Female","108","0.112004275312341","0.0922994186778179","0.131709131946864","2"
"Partly, partly","1985","no migration background","Male","222","0.116598755763376","0.102067964668949","0.131129546857803","2"
"Partly, partly","1985","direct migration background","Female","15","","","","2"
"Partly, partly","1985","direct migration background","Male","54","0.128983762061805","0.102747922511801","0.15521960161181","2"
"Partly, partly","1985","indirect migration background","Male","2","","","","2"
"Partly, partly","1985","indirect migration background","Female","2","","","","2"
"Acclaimed","1986","no migration background","Male","428","0.253268232607528","0.232503764448254","0.274032700766802","1"
"Acclaimed","1986","no migration background","Female","403","0.438032495795821","0.406111026752725","0.469953964838916","1"
"Acclaimed","1986","direct migration background","Male","76","0.136145129399058","0.11025467990869","0.162035578889425","1"
"Acclaimed","1986","direct migration background","Female","53","0.386833938006952","0.318477074957288","0.455190801056617","1"
"Acclaimed","1986","indirect migration background","Male","6","","","","1"
"Acclaimed","1986","indirect migration background","Female","3","","","","1"
"Not paid","1986","no migration background","Male","367","0.211659401277073","0.192155393273329","0.231163409280817","4"
"Not paid","1986","no migration background","Female","204","0.218292649847753","0.191715050082003","0.244870249613504","4"
"Not paid","1986","direct migration background","Male","53","0.133732919634287","0.108037056451081","0.159428782817493","4"
"Not paid","1986","indirect migration background","Male","4","","","","4"
"Not paid","1986","direct migration background","Female","27","","","","4"
"Not paid","1986","indirect migration background","Female","6","","","","4"
"Paid","1986","no migration background","Male","676","0.40595041937603","0.382502949723949","0.429397889028112","3"
"Paid","1986","no migration background","Female","219","0.234112930065387","0.206869036687582","0.261356823443193","3"
"Paid","1986","direct migration background","Female","95","0.383007065133864","0.314777237607136","0.451236892660591","3"
"Paid","1986","direct migration background","Male","491","0.631468739568081","0.595049469518498","0.667888009617663","3"
"Paid","1986","indirect migration background","Male","11","","","","3"
"Paid","1986","indirect migration background","Female","6","","","","3"
"Partly, partly","1986","no migration background","Male","214","0.129121946739369","0.113110637551563","0.145133255927175","2"
"Partly, partly","1986","direct migration background","Female","20","","","","2"
"Partly, partly","1986","no migration background","Female","102","0.109561924291039","0.0894661016184226","0.129657746963655","2"
"Partly, partly","1986","direct migration background","Male","54","0.0986532113985749","0.0761409193486951","0.121165503448455","2"
"Partly, partly","1986","indirect migration background","Male","5","","","","2"
"Partly, partly","1986","indirect migration background","Female","","","","","2"
"Acclaimed","1987","no migration background","Male","","","","","1"
"Acclaimed","1987","no migration background","Female","","","","","1"
"Acclaimed","1987","direct migration background","Male","","","","","1"
"Acclaimed","1987","direct migration background","Female","","","","","1"
"Acclaimed","1987","indirect migration background","Male","","","","","1"
"Acclaimed","1987","indirect migration background","Female","","","","","1"
"Not paid","1987","no migration background","Male","","","","","4"
"Not paid","1987","no migration background","Female","","","","","4"
"Not paid","1987","direct migration background","Male","","","","","4"
"Not paid","1987","direct migration background","Female","","","","","4"
"Not paid","1987","indirect migration background","Male","","","","","4"
"Not paid","1987","indirect migration background","Female","","","","","4"
"Paid","1987","no migration background","Male","","","","","3"
"Paid","1987","no migration background","Female","","","","","3"
"Paid","1987","direct migration background","Female","","","","","3"
"Paid","1987","direct migration background","Male","","","","","3"
"Paid","1987","indirect migration background","Male","","","","","3"
"Paid","1987","indirect migration background","Female","","","","","3"
"Partly, partly","1987","no migration background","Female","","","","","2"
"Partly, partly","1987","direct migration background","Male","","","","","2"
"Partly, partly","1987","no migration background","Male","","","","","2"
"Partly, partly","1987","direct migration background","Female","","","","","2"
"Partly, partly","1987","indirect migration background","Male","","","","","2"
"Partly, partly","1987","indirect migration background","Female","","","","","2"
"Acclaimed","1988","no migration background","Male","449","0.270061987483737","0.248401359380124","0.29172261558735","1"
"Acclaimed","1988","no migration background","Female","407","0.457884702636109","0.425567288717465","0.490202116554753","1"
"Acclaimed","1988","direct migration background","Male","75","0.15077883068011","0.123291144240223","0.178266517119996","1"
"Acclaimed","1988","direct migration background","Female","67","0.419423903912368","0.356862670113565","0.48198513771117","1"
"Acclaimed","1988","indirect migration background","Male","10","","","","1"
"Acclaimed","1988","indirect migration background","Female","13","","","","1"
"Not paid","1988","no migration background","Male","340","0.212483904786033","0.19252718936038","0.232440620211686","4"
"Not paid","1988","no migration background","Female","182","0.200901026058901","0.174911158513259","0.226890893604543","4"
"Not paid","1988","direct migration background","Male","41","0.104124423944701","0.0806628172026206","0.127586030686781","4"
"Not paid","1988","indirect migration background","Male","1","","","","4"
"Not paid","1988","direct migration background","Female","24","","","","4"
"Not paid","1988","indirect migration background","Female","3","","","","4"
"Paid","1988","no migration background","Female","221","0.229132314080522","0.201871062337587","0.256393565823456","3"
"Paid","1988","no migration background","Male","597","0.376344457838919","0.352709138128091","0.399979777549747","3"
"Paid","1988","direct migration background","Female","132","0.391228167847116","0.329356549876331","0.4530997858179","3"
"Paid","1988","direct migration background","Male","468","0.637778347870055","0.600856818183716","0.674699877556393","3"
"Paid","1988","indirect migration background","Male","16","","","","3"
"Paid","1988","indirect migration background","Female","4","","","","3"
"Partly, partly","1988","no migration background","Male","228","0.141109649891312","0.124125510532412","0.158093789250211","2"
"Partly, partly","1988","no migration background","Female","103","0.112081957224468","0.0916190659892808","0.132544848459656","2"
"Partly, partly","1988","direct migration background","Female","16","","","","2"
"Partly, partly","1988","direct migration background","Male","67","0.107318397505135","0.0835421683146444","0.131094626695625","2"
"Partly, partly","1988","indirect migration background","Male","5","","","","2"
"Partly, partly","1988","indirect migration background","Female","1","","","","2"
"Acclaimed","1989","no migration background","Male","436","0.262139947387263","0.241040381214091","0.283239513560435","1"
"Acclaimed","1989","no migration background","Female","433","0.439693795549461","0.408853080754401","0.470534510344521","1"
"Acclaimed","1989","direct migration background","Male","79","0.146826140823252","0.119925803216712","0.173726478429791","1"
"Acclaimed","1989","direct migration background","Female","74","0.361457271399229","0.302948406352276","0.419966136446182","1"
"Acclaimed","1989","indirect migration background","Male","7","","","","1"
"Acclaimed","1989","indirect migration background","Female","18","","","","1"
"Not paid","1989","no migration background","Male","331","0.199212312340655","0.180050494622431","0.218374130058878","4"
"Not paid","1989","no migration background","Female","183","0.193419481155795","0.168877448942193","0.217961513369397","4"
"Not paid","1989","direct migration background","Male","35","0.0673107233187208","0.0482671742657934","0.0863542723716483","4"
"Not paid","1989","indirect migration background","Male","4","","","","4"
"Not paid","1989","direct migration background","Female","17","","","","4"
"Not paid","1989","indirect migration background","Female","2","","","","4"
"Paid","1989","no migration background","Male","634","0.381032719439075","0.357733846982113","0.404331591896037","3"
"Paid","1989","no migration background","Female","256","0.246265093101729","0.21949515952822","0.273035026675238","3"
"Paid","1989","direct migration background","Female","139","0.471906585683588","0.411109662102273","0.532703509264904","3"
"Paid","1989","direct migration background","Male","457","0.584548145351056","0.54709332116098","0.622002969541133","3"
"Paid","1989","indirect migration background","Male","22","","","","3"
"Paid","1989","indirect migration background","Female","9","","","","3"
"Partly, partly","1989","no migration background","Female","123","0.120621630193015","0.100385053978733","0.140858206407297","2"
"Partly, partly","1989","no migration background","Male","268","0.157615020833007","0.14013370852554","0.175096333140475","2"
"Partly, partly","1989","direct migration background","Male","94","0.201314990506971","0.170838630685721","0.231791350328222","2"
"Partly, partly","1989","direct migration background","Female","29","","","","2"
"Partly, partly","1989","indirect migration background","Male","8","","","","2"
"Partly, partly","1989","indirect migration background","Female","5","","","","2"
"Acclaimed","1990","no migration background","Male","460","0.280374649101258","0.258648432083967","0.30210086611855","1"
"Acclaimed","1990","no migration background","Female","457","0.459743785283274","0.428541035211162","0.490946535355385","1"
"Acclaimed","1990","direct migration background","Male","74","0.131755864264727","0.105794339270609","0.157717389258845","1"
"Acclaimed","1990","direct migration background","Female","60","0.366119635726998","0.306758392135646","0.425480879318351","1"
"Acclaimed","1990","indirect migration background","Male","8","","","","1"
"Acclaimed","1990","indirect migration background","Female","18","","","","1"
"Not paid","1990","no migration background","Male","298","0.189421517023968","0.170468702811688","0.208374331236248","4"
"Not paid","1990","no migration background","Female","150","0.165096209530268","0.14185162325296","0.188340795807576","4"
"Not paid","1990","indirect migration background","Male","7","","","","4"
"Not paid","1990","direct migration background","Male","34","0.0820048342609306","0.0609445505303297","0.103065117991531","4"
"Not paid","1990","direct migration background","Female","18","","","","4"
"Not paid","1990","indirect migration background","Female","6","","","","4"
"Paid","1990","no migration background","Female","243","0.244227455591502","0.217328968665347","0.271125942517658","3"
"Paid","1990","no migration background","Male","615","0.37417834161868","0.350772399210095","0.397584284027264","3"
"Paid","1990","direct migration background","Male","455","0.628485087533256","0.591394825009242","0.66557535005727","3"
"Paid","1990","direct migration background","Female","142","0.451269510824684","0.389951879151615","0.512587142497754","3"
"Paid","1990","indirect migration background","Male","25","","","","3"
"Paid","1990","indirect migration background","Female","12","","","","3"
"Partly, partly","1990","no migration background","Male","269","0.156025492256094","0.138473599371744","0.173577385140443","2"
"Partly, partly","1990","no migration background","Female","130","0.130932549594956","0.109812953521436","0.152052145668475","2"
"Partly, partly","1990","direct migration background","Female","33","0.10931487384567","0.0708654745265358","0.147764273164803","2"
"Partly, partly","1990","direct migration background","Male","89","0.157754213941086","0.129775084270627","0.185733343611546","2"
"Partly, partly","1990","indirect migration background","Male","11","","","","2"
"Partly, partly","1990","indirect migration background","Female","7","","","","2"
"Acclaimed","1991","no migration background","Male","857","0.29572349260674","0.278582388814913","0.312864596398568","1"
"Acclaimed","1991","no migration background","Female","918","0.468597340341331","0.445974079032134","0.491220601650529","1"
"Acclaimed","1991","direct migration background","Male","105","0.158786316468237","0.131808100078021","0.185764532858453","1"
"Acclaimed","1991","direct migration background","Female","106","0.407646096149853","0.353889984643932","0.461402207655774","1"
"Acclaimed","1991","indirect migration background","Male","18","","","","1"
"Acclaimed","1991","indirect migration background","Female","22","","","","1"
"Not paid","1991","no migration background","Male","447","0.174649738202096","0.160389480084581","0.18890999631961","4"
"Not paid","1991","no migration background","Female","280","0.15985652725672","0.143242100704786","0.176470953808654","4"
"Not paid","1991","direct migration background","Male","29","","","","4"
"Not paid","1991","indirect migration background","Male","6","","","","4"
"Not paid","1991","direct migration background","Female","26","","","","4"
"Not paid","1991","indirect migration background","Female","6","","","","4"
"Paid","1991","no migration background","Female","436","0.24949638246738","0.229878507520735","0.269114257414025","3"
"Paid","1991","no migration background","Male","979","0.368956109761975","0.35083263753074","0.38707958199321","3"
"Paid","1991","direct migration background","Male","481","0.619106237935826","0.583260456487302","0.65495201938435","3"
"Paid","1991","direct migration background","Female","156","0.410210121597731","0.356402051167335","0.464018192028128","3"
"Paid","1991","indirect migration background","Male","31","0.410772206718566","0.292970162409496","0.528574251027636","3"
"Paid","1991","indirect migration background","Female","19","","","","3"
"Partly, partly","1991","no migration background","Female","235","0.122049749934569","0.107209307770643","0.136890192098494","2"
"Partly, partly","1991","no migration background","Male","440","0.16067065942919","0.14687765864319","0.174463660215189","2"
"Partly, partly","1991","direct migration background","Male","90","0.150864350420276","0.124444194073984","0.177284506766568","2"
"Partly, partly","1991","direct migration background","Female","33","0.0834293041489491","0.05317843413113","0.113680174166768","2"
"Partly, partly","1991","indirect migration background","Male","12","","","","2"
"Partly, partly","1991","indirect migration background","Female","8","","","","2"
"Acclaimed","1992","no migration background","Male","766","0.288549793371605","0.271113838194811","0.305985748548398","1"
"Acclaimed","1992","no migration background","Female","852","0.47947512960443","0.456128781527468","0.502821477681392","1"
"Acclaimed","1992","direct migration background","Male","103","0.155521633170478","0.127532153445078","0.183511112895878","1"
"Acclaimed","1992","direct migration background","Female","95","0.387286079289749","0.331220810414637","0.44335134816486","1"
"Acclaimed","1992","indirect migration background","Male","16","","","","1"
"Acclaimed","1992","indirect migration background","Female","20","","","","1"
"Not paid","1992","no migration background","Male","427","0.168534979579459","0.154129420326006","0.182940538832912","4"
"Not paid","1992","no migration background","Female","272","0.153001054346477","0.136178039896871","0.169824068796083","4"
"Not paid","1992","direct migration background","Male","34","0.0867800254143083","0.0650378625353203","0.108522188293296","4"
"Not paid","1992","direct migration background","Female","25","","","","4"
"Not paid","1992","indirect migration background","Male","6","","","","4"
"Not paid","1992","indirect migration background","Female","10","","","","4"
"Paid","1992","no migration background","Female","370","0.224386763067067","0.204891172556634","0.243882353577499","3"
"Paid","1992","no migration background","Male","919","0.361045498962114","0.342562219088964","0.379528778835264","3"
"Paid","1992","direct migration background","Female","131","0.316437788216731","0.262909631868188","0.369965944565273","3"
"Paid","1992","direct migration background","Male","413","0.57901524791651","0.540883796114392","0.617146699718628","3"
"Paid","1992","indirect migration background","Male","32","0.466839476567729","0.343645181772382","0.590033771363075","3"
"Paid","1992","indirect migration background","Female","20","","","","3"
"Partly, partly","1992","no migration background","Male","482","0.181869728086823","0.167025605059341","0.196713851114304","2"
"Partly, partly","1992","no migration background","Female","265","0.143137052982026","0.126770889366402","0.159503216597651","2"
"Partly, partly","1992","direct migration background","Male","94","0.178683093498704","0.14909600232297","0.208270184674438","2"
"Partly, partly","1992","direct migration background","Female","39","0.1909916200799","0.145750561480203","0.236232678679597","2"
"Partly, partly","1992","indirect migration background","Male","9","","","","2"
"Partly, partly","1992","indirect migration background","Female","5","","","","2"
"Acclaimed","1993","no migration background","Male","689","0.277044230229383","0.25957079720699","0.294517663251776","1"
"Acclaimed","1993","no migration background","Female","875","0.476029468313436","0.452696923552709","0.499362013074163","1"
"Acclaimed","1993","direct migration background","Male","91","0.187484969081535","0.155158891775481","0.219811046387588","1"
"Acclaimed","1993","direct migration background","Female","98","0.430945828838788","0.372838068631555","0.48905358904602","1"
"Acclaimed","1993","indirect migration background","Male","23","","","","1"
"Acclaimed","1993","indirect migration background","Female","28","","","","1"
"Not paid","1993","no migration background","Female","274","0.161406644117605","0.144218532324925","0.178594755910285","4"
"Not paid","1993","no migration background","Male","452","0.187250088564255","0.172018776999604","0.202481400128905","4"
"Not paid","1993","direct migration background","Male","39","0.131070281641526","0.103119206402512","0.15902135688054","4"
"Not paid","1993","direct migration background","Female","25","","","","4"
"Not paid","1993","indirect migration background","Male","4","","","","4"
"Not paid","1993","indirect migration background","Female","10","","","","4"
"Paid","1993","no migration background","Male","886","0.351316021199419","0.332677417069972","0.369954625328866","3"
"Paid","1993","no migration background","Female","360","0.223795221729075","0.20432345680269","0.243266986655459","3"
"Paid","1993","direct migration background","Male","342","0.529545444203552","0.488206009382285","0.570884879024819","3"
"Paid","1993","direct migration background","Female","116","0.316227528703963","0.261664102588442","0.370790954819485","3"
"Paid","1993","indirect migration background","Male","42","0.470777874515612","0.36528433023024","0.576271418800983","3"
"Paid","1993","indirect migration background","Female","20","","","","3"
"Partly, partly","1993","no migration background","Male","493","0.184389660006944","0.169248558748519","0.199530761265368","2"
"Partly, partly","1993","no migration background","Female","251","0.138768665839885","0.122617741794496","0.154919589885273","2"
"Partly, partly","1993","direct migration background","Female","40","0.133849706818573","0.0938965288447419","0.173802884792404","2"
"Partly, partly","1993","direct migration background","Male","88","0.151899305073388","0.122171990382972","0.181626619763803","2"
"Partly, partly","1993","indirect migration background","Male","17","","","","2"
"Partly, partly","1993","indirect migration background","Female","13","","","","2"
"Acclaimed","1994","no migration background","Male","757","0.307229788512244","0.289098174636764","0.325361402387724","1"
"Acclaimed","1994","no migration background","Female","903","0.50338885709622","0.480082897478984","0.526694816713456","1"
"Acclaimed","1994","direct migration background","Male","99","0.18119642008946","0.147568694430377","0.214824145748543","1"
"Acclaimed","1994","direct migration background","Female","111","0.459495223651261","0.399830042611021","0.519160404691502","1"
"Acclaimed","1994","indirect migration background","Male","17","","","","1"
"Acclaimed","1994","indirect migration background","Female","40","0.537309949910592","0.430042843252484","0.6445770565687","1"
"Not paid","1994","no migration background","Male","438","0.182071780058294","0.16690514930159","0.197238410814997","4"
