"plb0195_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Schleswig-Holstein","no migration background","35","0.265557269239002","0.18934738511885","0.341767153359154","1"
"Acclaimed","1984","Schleswig-Holstein","direct migration background","3","","","","1"
"Acclaimed","1984","Schleswig-Holstein","indirect migration background","","","","","1"
"Acclaimed","1984","Hamburg","no migration background","28","","","","1"
"Acclaimed","1984","Hamburg","direct migration background","7","","","","1"
"Acclaimed","1984","Hamburg","indirect migration background","","","","","1"
"Acclaimed","1984","Lower Saxony","no migration background","120","0.315347071631844","0.268933246412922","0.361760896850765","1"
"Acclaimed","1984","Lower Saxony","direct migration background","10","","","","1"
"Acclaimed","1984","Lower Saxony","indirect migration background","1","","","","1"
"Acclaimed","1984","Bremen","no migration background","7","","","","1"
"Acclaimed","1984","Bremen","direct migration background","2","","","","1"
"Acclaimed","1984","Bremen","indirect migration background","","","","","1"
"Acclaimed","1984","North Rhine-Westphalia","no migration background","217","0.260907967062","0.230942983237646","0.290872950886353","1"
"Acclaimed","1984","North Rhine-Westphalia","direct migration background","32","0.160924635693235","0.120280768895376","0.201568502491095","1"
"Acclaimed","1984","North Rhine-Westphalia","indirect migration background","","","","","1"
"Acclaimed","1984","Hesse","no migration background","96","0.3237197141067","0.270773440262561","0.376665987950839","1"
"Acclaimed","1984","Hesse","direct migration background","19","","","","1"
"Acclaimed","1984","Hesse","indirect migration background","1","","","","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","no migration background","60","0.275824955840795","0.216084653394758","0.335565258286832","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","direct migration background","10","","","","1"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Acclaimed","1984","Baden-Württemberg","no migration background","122","0.233578122631902","0.197420052128295","0.269736193135508","1"
"Acclaimed","1984","Baden-Württemberg","direct migration background","27","","","","1"
"Acclaimed","1984","Baden-Württemberg","indirect migration background","2","","","","1"
"Acclaimed","1984","Bavaria","no migration background","194","0.313491595653815","0.276616582684374","0.350366608623256","1"
"Acclaimed","1984","Bavaria","direct migration background","31","0.289296494941777","0.220730423835412","0.357862566048142","1"
"Acclaimed","1984","Bavaria","indirect migration background","4","","","","1"
"Acclaimed","1984","Berlin","no migration background","52","0.415007013931232","0.328973855620734","0.501040172241731","1"
"Acclaimed","1984","Berlin","direct migration background","2","","","","1"
"Acclaimed","1984","Berlin","indirect migration background","","","","","1"
"Acclaimed","1984","Brandenburg","no migration background","","","","","1"
"Acclaimed","1984","Brandenburg","direct migration background","","","","","1"
"Acclaimed","1984","Brandenburg","indirect migration background","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Acclaimed","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Acclaimed","1984","Saxony","no migration background","","","","","1"
"Acclaimed","1984","Saxony","direct migration background","","","","","1"
"Acclaimed","1984","Saxony","indirect migration background","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","no migration background","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","direct migration background","","","","","1"
"Acclaimed","1984","Saxony-Anhalt","indirect migration background","","","","","1"
"Acclaimed","1984","Thuringia","no migration background","","","","","1"
"Acclaimed","1984","Thuringia","direct migration background","","","","","1"
"Acclaimed","1984","Thuringia","indirect migration background","","","","","1"
"Not paid","1984","North Rhine-Westphalia","indirect migration background","3","","","","4"
"Not paid","1984","Hesse","indirect migration background","","","","","4"
"Not paid","1984","Rhineland-Palatinate,Saarland","no migration background","55","0.257279021571016","0.198847944174056","0.315710098967976","4"
"Not paid","1984","North Rhine-Westphalia","no migration background","214","0.263690393056802","0.233622811059894","0.293757975053709","4"
"Not paid","1984","Hesse","direct migration background","25","","","","4"
"Not paid","1984","Bremen","indirect migration background","","","","","4"
"Not paid","1984","North Rhine-Westphalia","direct migration background","23","","","","4"
"Not paid","1984","Hamburg","indirect migration background","","","","","4"
"Not paid","1984","Lower Saxony","indirect migration background","2","","","","4"
"Not paid","1984","Hesse","no migration background","80","0.273061726534639","0.222645928368503","0.323477524700776","4"
"Not paid","1984","Bremen","no migration background","4","","","","4"
"Not paid","1984","Bremen","direct migration background","2","","","","4"
"Not paid","1984","Schleswig-Holstein","no migration background","30","0.233153540994999","0.160186211501195","0.306120870488804","4"
"Not paid","1984","Schleswig-Holstein","direct migration background","1","","","","4"
"Not paid","1984","Schleswig-Holstein","indirect migration background","","","","","4"
"Not paid","1984","Hamburg","no migration background","13","","","","4"
"Not paid","1984","Hamburg","direct migration background","3","","","","4"
"Not paid","1984","Lower Saxony","no migration background","99","0.251741199456787","0.208388036165165","0.295094362748409","4"
"Not paid","1984","Lower Saxony","direct migration background","7","","","","4"
"Not paid","1984","Rhineland-Palatinate,Saarland","direct migration background","5","","","","4"
"Not paid","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Not paid","1984","Baden-Württemberg","no migration background","150","0.285751664255553","0.24714393831283","0.324359390198276","4"
"Not paid","1984","Baden-Württemberg","direct migration background","24","","","","4"
"Not paid","1984","Baden-Württemberg","indirect migration background","2","","","","4"
"Not paid","1984","Bavaria","no migration background","164","0.275826171181742","0.240301059684445","0.311351282679038","4"
"Not paid","1984","Bavaria","direct migration background","18","","","","4"
"Not paid","1984","Bavaria","indirect migration background","1","","","","4"
"Not paid","1984","Berlin","no migration background","22","","","","4"
"Not paid","1984","Berlin","direct migration background","2","","","","4"
"Not paid","1984","Berlin","indirect migration background","1","","","","4"
"Not paid","1984","Brandenburg","no migration background","","","","","4"
"Not paid","1984","Brandenburg","direct migration background","","","","","4"
"Not paid","1984","Brandenburg","indirect migration background","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Not paid","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Not paid","1984","Saxony","no migration background","","","","","4"
"Not paid","1984","Saxony","direct migration background","","","","","4"
"Not paid","1984","Saxony","indirect migration background","","","","","4"
"Not paid","1984","Saxony-Anhalt","no migration background","","","","","4"
"Not paid","1984","Saxony-Anhalt","direct migration background","","","","","4"
"Not paid","1984","Saxony-Anhalt","indirect migration background","","","","","4"
"Not paid","1984","Thuringia","no migration background","","","","","4"
"Not paid","1984","Thuringia","direct migration background","","","","","4"
"Not paid","1984","Thuringia","indirect migration background","","","","","4"
"Paid","1984","Schleswig-Holstein","direct migration background","10","","","","3"
"Paid","1984","Baden-Württemberg","indirect migration background","5","","","","3"
"Paid","1984","Hesse","indirect migration background","1","","","","3"
"Paid","1984","North Rhine-Westphalia","indirect migration background","3","","","","3"
"Paid","1984","Schleswig-Holstein","indirect migration background","1","","","","3"
"Paid","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
