"plb0195_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Full Time","lower secondary degree","440","0.266451174660259","0.245527432415149","0.28737491690537"
"Acclaimed","1984","Full Time","secondary school degree","235","0.365829938987666","0.328629535767915","0.403030342207417"
"Acclaimed","1984","Full Time","college entrance qualification","84","0.212631436158487","0.173169731933148","0.252093140383825"
"Acclaimed","1984","Full Time","Other degree","58","0.17116072062","0.137639915816565","0.204681525423435"
"Acclaimed","1984","Full Time","no degree/no degree yet","20","","",""
"Acclaimed","1984","Part Time","lower secondary degree","117","0.309267364273535","0.261390178758597","0.357144549788473"
"Acclaimed","1984","Part Time","secondary school degree","72","0.451584501735651","0.373740950755005","0.529428052716298"
"Acclaimed","1984","Part Time","college entrance qualification","33","0.25086188653809","0.175761634474562","0.325962138601617"
"Acclaimed","1984","Part Time","Other degree","6","","",""
"Acclaimed","1984","Part Time","no degree/no degree yet","1","","",""
"Acclaimed","1984","Not Working","lower secondary degree","7","","",""
"Acclaimed","1984","Not Working","secondary school degree","3","","",""
"Acclaimed","1984","Not Working","college entrance qualification","2","","",""
"Acclaimed","1984","Not Working","Other degree","","","",""
"Acclaimed","1984","Not Working","no degree/no degree yet","","","",""
"Partly, partly","1984","Full Time","lower secondary degree","198","0.114567632868965","0.0994937652930094","0.129641500444922"
"Partly, partly","1984","Full Time","secondary school degree","83","0.123098747839115","0.097723673682942","0.148473821995287"
"Partly, partly","1984","Full Time","college entrance qualification","50","0.111081805627066","0.0807760282807588","0.141387582973373"
"Partly, partly","1984","Full Time","Other degree","35","0.0825877190997892","0.058090474843923","0.107084963355655"
"Partly, partly","1984","Full Time","no degree/no degree yet","17","","",""
"Partly, partly","1984","Part Time","lower secondary degree","32","0.0910676295403396","0.0612650140883836","0.120870244992296"
"Partly, partly","1984","Part Time","secondary school degree","18","","",""
"Partly, partly","1984","Part Time","college entrance qualification","12","","",""
"Partly, partly","1984","Part Time","Other degree","7","","",""
"Partly, partly","1984","Part Time","no degree/no degree yet","3","","",""
"Partly, partly","1984","Not Working","lower secondary degree","3","","",""
"Partly, partly","1984","Not Working","secondary school degree","1","","",""
"Partly, partly","1984","Not Working","college entrance qualification","2","","",""
"Partly, partly","1984","Not Working","Other degree","","","",""
"Partly, partly","1984","Not Working","no degree/no degree yet","","","",""
"Paid","1984","Full Time","lower secondary degree","758","0.432223857550522","0.408778386307954","0.45566932879309"
"Paid","1984","Full Time","secondary school degree","128","0.196294840855813","0.165618187554234","0.226971494157392"
"Paid","1984","Full Time","college entrance qualification","56","0.123910943432718","0.0921347387157758","0.15568714814966"
"Paid","1984","Full Time","Other degree","346","0.649657112999344","0.607198483384595","0.692115742614094"
"Paid","1984","Full Time","no degree/no degree yet","213","0.720138990169034","0.665985620109766","0.774292360228301"
"Paid","1984","Part Time","lower secondary degree","167","0.473279051273795","0.421559408770075","0.524998693777514"
"Paid","1984","Part Time","secondary school degree","30","0.183346614958525","0.122818995126593","0.243874234790457"
"Paid","1984","Part Time","college entrance qualification","37","0.278840494487591","0.201155579566174","0.356525409409008"
"Paid","1984","Part Time","Other degree","56","0.768403413514472","0.672930938989422","0.863875888039521"
