"plb0195_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","16-34 y.","Not Employed","8","","","","1"
"Acclaimed","1984","16-34 y.","Employed","510","0.325640853298886","0.303565146090657","0.347716560507115","1"
"Acclaimed","1984","35-65 y.","Not Employed","4","","","","1"
"Acclaimed","1984","35-65 y.","Employed","557","0.256160408783731","0.239204754996076","0.273116062571386","1"
"Acclaimed","1984","66 and older","Not Employed","","","","","1"
"Acclaimed","1984","66 and older","Employed","3","","","","1"
"Not paid","1984","16-34 y.","Not Employed","12","","","","4"
"Not paid","1984","16-34 y.","Employed","283","0.182475977245788","0.164280951780289","0.200671002711287","4"
"Not paid","1984","35-65 y.","Not Employed","6","","","","4"
"Not paid","1984","66 and older","Not Employed","","","","","4"
"Not paid","1984","35-65 y.","Employed","637","0.291304467642132","0.273655377896577","0.308953557387688","4"
"Not paid","1984","66 and older","Employed","12","","","","4"
"Paid","1984","16-34 y.","Not Employed","26","","","","3"
"Paid","1984","16-34 y.","Employed","723","0.36207502935137","0.339434652809403","0.384715405893337","3"
"Paid","1984","35-65 y.","Not Employed","9","","","","3"
"Paid","1984","35-65 y.","Employed","1111","0.353109646454437","0.334544900103398","0.371674392805476","3"
"Paid","1984","66 and older","Not Employed","","","","","3"
"Paid","1984","66 and older","Employed","4","","","","3"
"Partly, partly","1984","16-34 y.","Employed","215","0.129808140103956","0.113975329050812","0.145640951157101","2"
"Partly, partly","1984","35-65 y.","Not Employed","","","","","2"
"Partly, partly","1984","35-65 y.","Employed","241","0.0994254771196997","0.0878022275855913","0.111048726653808","2"
"Partly, partly","1984","16-34 y.","Not Employed","6","","","","2"
"Partly, partly","1984","66 and older","Not Employed","","","","","2"
"Partly, partly","1984","66 and older","Employed","","","","","2"
"Acclaimed","1985","16-34 y.","Not Employed","10","","","","1"
"Acclaimed","1985","16-34 y.","Employed","428","0.316179017748147","0.292585026517691","0.339773008978602","1"
"Acclaimed","1985","35-65 y.","Not Employed","2","","","","1"
