"plb0195_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","lower secondary degree","215","0.27446515499988","0.243790791222635","0.305139518777125"
"Acclaimed","1984","16-34 y.","secondary school degree","196","0.434554873511262","0.388704543530186","0.480405203492339"
"Acclaimed","1984","16-34 y.","college entrance qualification","71","0.292003373903504","0.235641215592552","0.348365532214457"
"Acclaimed","1984","16-34 y.","Other degree","26","","",""
"Acclaimed","1984","16-34 y.","no degree/no degree yet","10","","",""
"Acclaimed","1984","35-65 y.","lower secondary degree","347","0.272019979057106","0.247698625650859","0.296341332463353"
"Acclaimed","1984","35-65 y.","secondary school degree","113","0.317029520557285","0.268828371016254","0.365230670098316"
"Acclaimed","1984","35-65 y.","college entrance qualification","48","0.165242486040256","0.12356138334261","0.206923588737903"
"Acclaimed","1984","35-65 y.","Other degree","38","0.139689875365087","0.10464987109109","0.174729879639084"
"Acclaimed","1984","35-65 y.","no degree/no degree yet","11","","",""
"Acclaimed","1984","66 and older","lower secondary degree","2","","",""
"Acclaimed","1984","66 and older","secondary school degree","1","","",""
"Acclaimed","1984","66 and older","college entrance qualification","","","",""
"Acclaimed","1984","66 and older","Other degree","","","",""
"Acclaimed","1984","66 and older","no degree/no degree yet","","","",""
"Partly, partly","1984","16-34 y.","lower secondary degree","112","0.144369858088868","0.120210570662669","0.168529145515067"
"Partly, partly","1984","16-34 y.","secondary school degree","59","0.126916899518962","0.096126704575792","0.157707094462132"
"Partly, partly","1984","16-34 y.","college entrance qualification","26","","",""
"Partly, partly","1984","16-34 y.","Other degree","17","","",""
"Partly, partly","1984","16-34 y.","no degree/no degree yet","6","","",""
"Partly, partly","1984","35-65 y.","lower secondary degree","121","0.0928130059469584","0.0769538367097554","0.108672175184161"
"Partly, partly","1984","35-65 y.","secondary school degree","43","0.116521448223323","0.0832855423859056","0.149757354060741"
"Partly, partly","1984","35-65 y.","college entrance qualification","38","0.115905663281716","0.0799804128746368","0.151830913688795"
"Partly, partly","1984","35-65 y.","Other degree","25","","",""
"Partly, partly","1984","35-65 y.","no degree/no degree yet","14","","",""
"Partly, partly","1984","66 and older","lower secondary degree","","","",""
"Partly, partly","1984","66 and older","secondary school degree","","","",""
"Partly, partly","1984","66 and older","college entrance qualification","","","",""
"Partly, partly","1984","66 and older","Other degree","","","",""
"Partly, partly","1984","66 and older","no degree/no degree yet","","","",""
"Paid","1984","16-34 y.","lower secondary degree","394","0.469609672583233","0.435303747674486","0.503915597491981"
"Paid","1984","16-34 y.","secondary school degree","95","0.206125906065835","0.168709073167592","0.243542738964077"
"Paid","1984","16-34 y.","college entrance qualification","71","0.271636996802679","0.216499571072127","0.32677442253323"
"Paid","1984","16-34 y.","Other degree","128","0.651877460247903","0.583781990452712","0.719972930043094"
"Paid","1984","16-34 y.","no degree/no degree yet","58","0.625960346292925","0.51925976643777","0.732660926148081"
"Paid","1984","35-65 y.","lower secondary degree","547","0.427253785890105","0.400217210521195","0.454290361259015"
"Paid","1984","35-65 y.","secondary school degree","66","0.183717209749182","0.143602669578829","0.223831749919535"
"Paid","1984","35-65 y.","college entrance qualification","30","0.0934680491799358","0.0608001415991988","0.126135956760673"
"Paid","1984","35-65 y.","Other degree","277","0.678583182716239","0.631377964140911","0.725788401291566"
"Paid","1984","35-65 y.","no degree/no degree yet","186","0.821879737457731","0.771549103139686","0.872210371775776"
"Paid","1984","66 and older","lower secondary degree","3","","",""
"Paid","1984","66 and older","secondary school degree","1","","",""
"Paid","1984","66 and older","college entrance qualification","","","",""
"Paid","1984","66 and older","Other degree","","","",""
"Paid","1984","66 and older","no degree/no degree yet","","","",""
"Not paid","1984","16-34 y.","lower secondary degree","92","0.111555314328019","0.0899150207957753","0.133195607860262"
"Not paid","1984","16-34 y.","secondary school degree","99","0.232402320903941","0.193335148650087","0.271469493157795"
"Not paid","1984","16-34 y.","college entrance qualification","82","0.345084391088281","0.286154801679765","0.404013980496798"
"Not paid","1984","16-34 y.","Other degree","17","","",""
"Not paid","1984","16-34 y.","no degree/no degree yet","5","","",""
"Not paid","1984","35-65 y.","lower secondary degree","271","0.207913229105831","0.185733560728053","0.230092897483609"
"Not paid","1984","35-65 y.","secondary school degree","136","0.38273182147021","0.332382826233161","0.433080816707258"
"Not paid","1984","35-65 y.","college entrance qualification","189","0.625383801498092","0.571063176069314","0.67970442692687"
"Not paid","1984","35-65 y.","Other degree","36","0.100831260234137","0.0703963261050532","0.131266194363221"
"Not paid","1984","35-65 y.","no degree/no degree yet","11","","",""
"Not paid","1984","66 and older","lower secondary degree","5","","",""
"Not paid","1984","66 and older","secondary school degree","2","","",""
"Not paid","1984","66 and older","college entrance qualification","5","","",""
"Not paid","1984","66 and older","Other degree","","","",""
"Not paid","1984","66 and older","no degree/no degree yet","","","",""
"Acclaimed","1985","16-34 y.","lower secondary degree","160","0.252213386062599","0.219427188430593","0.284999583694604"
"Acclaimed","1985","16-34 y.","secondary school degree","175","0.409541797405937","0.362954244109946","0.456129350701928"
"Acclaimed","1985","16-34 y.","college entrance qualification","80","0.346916802462011","0.285799095318297","0.408034509605726"
"Acclaimed","1985","16-34 y.","Other degree","13","","",""
"Acclaimed","1985","16-34 y.","no degree/no degree yet","5","","",""
"Acclaimed","1985","35-65 y.","lower secondary degree","277","0.253995511389136","0.228513774569138","0.279477248209133"
"Acclaimed","1985","35-65 y.","secondary school degree","102","0.303318585555941","0.25452783207448","0.352109339037402"
"Acclaimed","1985","35-65 y.","college entrance qualification","41","0.151040832944097","0.109827315748871","0.192254350139322"
"Acclaimed","1985","35-65 y.","Other degree","34","0.135304258890687","0.0951683240667694","0.175440193714604"
"Acclaimed","1985","35-65 y.","no degree/no degree yet","8","","",""
"Acclaimed","1985","66 and older","lower secondary degree","","","",""
"Acclaimed","1985","66 and older","secondary school degree","","","",""
"Acclaimed","1985","66 and older","college entrance qualification","","","",""
"Acclaimed","1985","66 and older","Other degree","","","",""
"Acclaimed","1985","66 and older","no degree/no degree yet","","","",""
