"plb0195_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","lower secondary degree","1-pers.-HH","47","0.328067351433626","0.253427515680724","0.402707187186527"
"Acclaimed","1984","lower secondary degree","(Married) couple without C. ","118","0.278423971363699","0.235659192953741","0.321188749773657"
"Acclaimed","1984","lower secondary degree","Single parent ","28","","",""
"Acclaimed","1984","lower secondary degree","Couple + C. LE 16 ","156","0.271494168218412","0.235362886525366","0.307625449911459"
"Acclaimed","1984","lower secondary degree","Couple + C. GT 16 ","106","0.263409978184798","0.220668746186969","0.306151210182626"
"Acclaimed","1984","lower secondary degree","Couple + C. LE and GT 16","82","0.265029555979328","0.216213199822034","0.313845912136621"
"Acclaimed","1984","secondary school degree","1-pers.-HH","39","0.443010321480289","0.338629920519961","0.547390722440617"
"Acclaimed","1984","secondary school degree","(Married) couple without C. ","75","0.367629640261683","0.300973359930014","0.434285920593351"
"Acclaimed","1984","secondary school degree","Single parent ","22","","",""
"Acclaimed","1984","secondary school degree","Couple + C. LE 16 ","68","0.303444976433726","0.242693835161859","0.364196117705593"
"Acclaimed","1984","secondary school degree","Couple + C. GT 16 ","53","0.394308651218152","0.31030072713469","0.478316575301615"
"Acclaimed","1984","secondary school degree","Couple + C. LE and GT 16","40","0.401372035842479","0.305776093194515","0.496967978490442"
"Acclaimed","1984","college entrance qualification","1-pers.-HH","28","","",""
"Acclaimed","1984","college entrance qualification","(Married) couple without C. ","32","0.215306436010309","0.148860568641519","0.281752303379099"
"Acclaimed","1984","college entrance qualification","Single parent ","6","","",""
"Acclaimed","1984","college entrance qualification","Couple + C. LE 16 ","26","","",""
"Acclaimed","1984","college entrance qualification","Couple + C. GT 16 ","13","","",""
"Acclaimed","1984","college entrance qualification","Couple + C. LE and GT 16","5","","",""
"Acclaimed","1984","Other degree","1-pers.-HH","11","","",""
"Acclaimed","1984","Other degree","(Married) couple without C. ","6","","",""
"Acclaimed","1984","Other degree","Single parent ","1","","",""
"Acclaimed","1984","Other degree","Couple + C. LE 16 ","19","","",""
"Acclaimed","1984","Other degree","Couple + C. GT 16 ","9","","",""
"Acclaimed","1984","Other degree","Couple + C. LE and GT 16","13","","",""
"Acclaimed","1984","no degree/no degree yet","1-pers.-HH","3","","",""
"Acclaimed","1984","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Acclaimed","1984","no degree/no degree yet","Single parent ","","","",""
"Acclaimed","1984","no degree/no degree yet","Couple + C. LE 16 ","7","","",""
"Acclaimed","1984","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Acclaimed","1984","no degree/no degree yet","Couple + C. LE and GT 16","9","","",""
"Partly, partly","1984","lower secondary degree","1-pers.-HH","15","","",""
"Partly, partly","1984","lower secondary degree","(Married) couple without C. ","49","0.111732905975071","0.0816753129715949","0.141790498978547"
"Partly, partly","1984","lower secondary degree","Single parent ","20","","",""
"Partly, partly","1984","lower secondary degree","Couple + C. LE 16 ","60","0.104718147752797","0.0798423243381604","0.129593971167433"
"Partly, partly","1984","lower secondary degree","Couple + C. GT 16 ","43","0.101722563928933","0.0723912239466691","0.131053903911197"
"Partly, partly","1984","lower secondary degree","Couple + C. LE and GT 16","34","0.1150817121084","0.0797846946789672","0.150378729537833"
"Partly, partly","1984","secondary school degree","1-pers.-HH","9","","",""
"Partly, partly","1984","secondary school degree","(Married) couple without C. ","23","","",""
"Partly, partly","1984","secondary school degree","Single parent ","3","","",""
"Partly, partly","1984","secondary school degree","Couple + C. LE 16 ","38","0.175254213733981","0.125016364569013","0.22549206289895"
"Partly, partly","1984","secondary school degree","Couple + C. GT 16 ","16","","",""
"Partly, partly","1984","secondary school degree","Couple + C. LE and GT 16","11","","",""
"Partly, partly","1984","college entrance qualification","1-pers.-HH","6","","",""
"Partly, partly","1984","college entrance qualification","(Married) couple without C. ","21","","",""
"Partly, partly","1984","college entrance qualification","Single parent ","1","","",""
"Partly, partly","1984","college entrance qualification","Couple + C. LE 16 ","24","","",""
"Partly, partly","1984","college entrance qualification","Couple + C. GT 16 ","6","","",""
"Partly, partly","1984","college entrance qualification","Couple + C. LE and GT 16","3","","",""
"Partly, partly","1984","Other degree","1-pers.-HH","2","","",""
"Partly, partly","1984","Other degree","(Married) couple without C. ","3","","",""
"Partly, partly","1984","Other degree","Single parent ","1","","",""
"Partly, partly","1984","Other degree","Couple + C. LE 16 ","19","","",""
"Partly, partly","1984","Other degree","Couple + C. GT 16 ","8","","",""
