"plb0195_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Schleswig-Holstein","West Germany","38","0.277064057800001","0.204218328824547","0.349909786775454"
"Acclaimed","1984","Schleswig-Holstein","East Germany","","","",""
"Acclaimed","1984","Hamburg","West Germany","35","0.355921791759798","0.266037989775083","0.445805593744512"
"Acclaimed","1984","Hamburg","East Germany","","","",""
"Acclaimed","1984","Lower Saxony","West Germany","131","0.307091887054749","0.264376821348926","0.349806952760572"
"Acclaimed","1984","Lower Saxony","East Germany","","","",""
"Acclaimed","1984","Bremen","West Germany","9","","",""
"Acclaimed","1984","Bremen","East Germany","","","",""
"Acclaimed","1984","North Rhine-Westphalia","West Germany","249","0.251045657068066","0.225929720602207","0.276161593533924"
"Acclaimed","1984","North Rhine-Westphalia","East Germany","","","",""
"Acclaimed","1984","Hesse","West Germany","116","0.309323772848013","0.267084826272708","0.351562719423318"
"Acclaimed","1984","Hesse","East Germany","","","",""
"Acclaimed","1984","Rhineland-Palatinate,Saarland","West Germany","70","0.270308463939946","0.216937290757606","0.323679637122285"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Acclaimed","1984","Baden-Württemberg","West Germany","151","0.230551749784337","0.201599871937261","0.259503627631413"
"Acclaimed","1984","Baden-Württemberg","East Germany","","","",""
"Acclaimed","1984","Bavaria","West Germany","229","0.311754517280692","0.279330402957095","0.34417863160429"
"Acclaimed","1984","Bavaria","East Germany","","","",""
"Acclaimed","1984","Berlin","West Germany","54","0.390636457283046","0.314800678869323","0.466472235696769"
"Acclaimed","1984","Berlin","East Germany","","","",""
"Acclaimed","1984","Brandenburg","West Germany","","","",""
"Acclaimed","1984","Brandenburg","East Germany","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"Acclaimed","1984","Saxony","West Germany","","","",""
"Acclaimed","1984","Saxony","East Germany","","","",""
"Acclaimed","1984","Saxony-Anhalt","West Germany","","","",""
"Acclaimed","1984","Saxony-Anhalt","East Germany","","","",""
"Acclaimed","1984","Thuringia","West Germany","","","",""
"Acclaimed","1984","Thuringia","East Germany","","","",""
"Partly, partly","1984","Schleswig-Holstein","West Germany","15","","",""
"Partly, partly","1984","Schleswig-Holstein","East Germany","","","",""
"Partly, partly","1984","Hamburg","West Germany","11","","",""
"Partly, partly","1984","Hamburg","East Germany","","","",""
"Partly, partly","1984","Lower Saxony","West Germany","50","0.109959350998353","0.0809905787855735","0.138928123211133"
"Partly, partly","1984","Lower Saxony","East Germany","","","",""
"Partly, partly","1984","Bremen","West Germany","1","","",""
"Partly, partly","1984","Bremen","East Germany","","","",""
"Partly, partly","1984","North Rhine-Westphalia","West Germany","124","0.115254259337715","0.0967580351803397","0.133750483495091"
"Partly, partly","1984","North Rhine-Westphalia","East Germany","","","",""
"Partly, partly","1984","Hesse","West Germany","48","0.104428855073999","0.0764822228551871","0.132375487292811"
"Partly, partly","1984","Hesse","East Germany","","","",""
"Partly, partly","1984","Rhineland-Palatinate,Saarland","West Germany","23","","",""
"Partly, partly","1984","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Partly, partly","1984","Baden-Württemberg","West Germany","77","0.100627820633881","0.0799487233503519","0.121306917917411"
"Partly, partly","1984","Baden-Württemberg","East Germany","","","",""
"Partly, partly","1984","Bavaria","West Germany","99","0.13131833653352","0.107676398582141","0.154960274484899"
"Partly, partly","1984","Bavaria","East Germany","","","",""
"Partly, partly","1984","Berlin","West Germany","14","","",""
"Partly, partly","1984","Berlin","East Germany","","","",""
"Partly, partly","1984","Brandenburg","West Germany","","","",""
"Partly, partly","1984","Brandenburg","East Germany","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","West Germany","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","East Germany","","","",""
"Partly, partly","1984","Saxony","West Germany","","","",""
"Partly, partly","1984","Saxony","East Germany","","","",""
