"plb0195_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Schleswig-Holstein","Male","18","","",""
"Acclaimed","1984","Schleswig-Holstein","Female","20","","",""
"Acclaimed","1984","Hamburg","Male","14","","",""
"Acclaimed","1984","Hamburg","Female","21","","",""
"Acclaimed","1984","Lower Saxony","Male","81","0.272410049204222","0.22285109280959","0.321969005598853"
"Acclaimed","1984","Lower Saxony","Female","50","0.380194773087098","0.29920331158087","0.461186234593327"
"Acclaimed","1984","Bremen","Male","3","","",""
"Acclaimed","1984","Bremen","Female","6","","",""
"Acclaimed","1984","North Rhine-Westphalia","Male","122","0.174373518141903","0.148466552010294","0.200280484273512"
"Acclaimed","1984","North Rhine-Westphalia","Female","127","0.433009928413799","0.378805817027903","0.487214039799694"
"Acclaimed","1984","Hesse","Male","62","0.255446300364379","0.207438005468089","0.303454595260669"
"Acclaimed","1984","Hesse","Female","54","0.43333667814247","0.352118106253739","0.514555250031201"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Male","42","0.230143550759381","0.169488564648377","0.290798536870385"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Female","28","","",""
"Acclaimed","1984","Baden-Württemberg","Male","72","0.161323576196677","0.131179900110299","0.191467252283056"
"Acclaimed","1984","Baden-Württemberg","Female","79","0.368122387656028","0.307231519083938","0.429013256228118"
"Acclaimed","1984","Bavaria","Male","126","0.276482164222556","0.237703234205252","0.31526109423986"
"Acclaimed","1984","Bavaria","Female","103","0.377372998967416","0.319873222767101","0.434872775167731"
"Acclaimed","1984","Berlin","Male","30","0.363568495532641","0.265805258464239","0.461331732601042"
"Acclaimed","1984","Berlin","Female","24","","",""
"Acclaimed","1984","Brandenburg","Male","","","",""
"Acclaimed","1984","Brandenburg","Female","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Acclaimed","1984","Saxony","Male","","","",""
"Acclaimed","1984","Saxony","Female","","","",""
"Acclaimed","1984","Saxony-Anhalt","Male","","","",""
"Acclaimed","1984","Saxony-Anhalt","Female","","","",""
"Acclaimed","1984","Thuringia","Male","","","",""
"Acclaimed","1984","Thuringia","Female","","","",""
"Partly, partly","1984","Schleswig-Holstein","Male","8","","",""
"Partly, partly","1984","Schleswig-Holstein","Female","7","","",""
"Partly, partly","1984","Hamburg","Male","9","","",""
"Partly, partly","1984","Hamburg","Female","2","","",""
"Partly, partly","1984","Lower Saxony","Male","32","0.103238954444285","0.0693680019122408","0.137109906976329"
"Partly, partly","1984","Lower Saxony","Female","18","","",""
"Partly, partly","1984","Bremen","Male","1","","",""
"Partly, partly","1984","Bremen","Female","","","",""
"Partly, partly","1984","North Rhine-Westphalia","Male","87","0.115372409833156","0.093559394367097","0.137185425299216"
"Partly, partly","1984","North Rhine-Westphalia","Female","37","0.114973855411162","0.0800780543461476","0.149869656476177"
"Partly, partly","1984","Hesse","Male","33","0.101267519497386","0.0680575279696259","0.134477511025147"
"Partly, partly","1984","Hesse","Female","15","","",""
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Male","17","","",""
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Female","6","","",""
"Partly, partly","1984","Baden-Württemberg","Male","58","0.112833956521338","0.086905752196618","0.138762160846059"
"Partly, partly","1984","Baden-Württemberg","Female","19","","",""
"Partly, partly","1984","Bavaria","Male","67","0.139027850341518","0.109030486104044","0.169025214578992"
"Partly, partly","1984","Bavaria","Female","32","0.116976038763088","0.078851774874063","0.155100302652113"
"Partly, partly","1984","Berlin","Male","8","","",""
"Partly, partly","1984","Berlin","Female","6","","",""
"Partly, partly","1984","Brandenburg","Male","","","",""
"Partly, partly","1984","Brandenburg","Female","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Partly, partly","1984","Saxony","Male","","","",""
"Partly, partly","1984","Saxony","Female","","","",""
"Partly, partly","1984","Saxony-Anhalt","Male","","","",""
"Partly, partly","1984","Saxony-Anhalt","Female","","","",""
"Partly, partly","1984","Thuringia","Male","","","",""
"Partly, partly","1984","Thuringia","Female","","","",""
"Paid","1984","Schleswig-Holstein","Male","54","0.492731371236065","0.395708948644862","0.589753793827268"
"Paid","1984","Schleswig-Holstein","Female","7","","",""
"Paid","1984","Hamburg","Male","32","0.432051168200428","0.312542798913071","0.551559537487784"
"Paid","1984","Hamburg","Female","15","","",""
"Paid","1984","Lower Saxony","Male","125","0.381279314411339","0.327211827457057","0.43534680136562"
"Paid","1984","Lower Saxony","Female","34","0.238084437498087","0.16702406590048","0.309144809095694"
"Paid","1984","Bremen","Male","17","","",""
"Paid","1984","Bremen","Female","5","","",""
"Paid","1984","North Rhine-Westphalia","Male","436","0.443566133540564","0.409644992500056","0.477487274581073"
"Paid","1984","North Rhine-Westphalia","Female","96","0.239671370519956","0.192972720463502","0.286370020576411"
"Paid","1984","Hesse","Male","149","0.377180825987765","0.323825933313273","0.430535718662256"
"Paid","1984","Hesse","Female","42","0.225366837650897","0.15688536037545","0.293848314926345"
"Paid","1984","Rhineland-Palatinate,Saarland","Male","88","0.446356013153989","0.374722175979945","0.517989850328033"
"Paid","1984","Rhineland-Palatinate,Saarland","Female","25","","",""
"Paid","1984","Baden-Württemberg","Male","323","0.46574281315932","0.424863993807755","0.506621632510884"
"Paid","1984","Baden-Württemberg","Female","86","0.291158989410656","0.233802958592719","0.348515020228592"
"Paid","1984","Bavaria","Male","198","0.313970758103916","0.273731167304542","0.35421034890329"
"Paid","1984","Bavaria","Female","75","0.238426309646005","0.187878793218527","0.288973826073482"
"Paid","1984","Berlin","Male","37","0.33865551882357","0.242472243427783","0.434838794219356"
"Paid","1984","Berlin","Female","29","","",""
"Paid","1984","Brandenburg","Male","","","",""
"Paid","1984","Brandenburg","Female","","","",""
"Paid","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Paid","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Paid","1984","Saxony","Male","","","",""
"Paid","1984","Saxony","Female","","","",""
"Paid","1984","Saxony-Anhalt","Male","","","",""
"Paid","1984","Saxony-Anhalt","Female","","","",""
"Paid","1984","Thuringia","Male","","","",""
"Paid","1984","Thuringia","Female","","","",""
"Not paid","1984","Schleswig-Holstein","Male","22","","",""
"Not paid","1984","Schleswig-Holstein","Female","9","","",""
"Not paid","1984","Hamburg","Male","11","","",""
"Not paid","1984","Hamburg","Female","5","","",""
"Not paid","1984","Lower Saxony","Male","72","0.243071681940155","0.195322954259667","0.290820409620643"
"Not paid","1984","Lower Saxony","Female","36","0.25759608808233","0.184633823447896","0.330558352716764"
"Not paid","1984","Bremen","Male","3","","",""
"Not paid","1984","Bremen","Female","3","","",""
"Not paid","1984","North Rhine-Westphalia","Male","179","0.266687938484376","0.236493247700474","0.296882629268278"
"Not paid","1984","North Rhine-Westphalia","Female","61","0.212344845655083","0.167606028638909","0.257083662671257"
"Not paid","1984","Hesse","Male","73","0.26610535415047","0.217457675011802","0.314753033289138"
"Not paid","1984","Hesse","Female","32","0.22959099956198","0.16065942869786","0.298522570426101"
"Not paid","1984","Rhineland-Palatinate,Saarland","Male","38","0.219691609159351","0.160029019464214","0.279354198854488"
"Not paid","1984","Rhineland-Palatinate,Saarland","Female","22","","",""
"Not paid","1984","Baden-Württemberg","Male","119","0.260099654122665","0.224149018017232","0.296050290228097"
"Not paid","1984","Baden-Württemberg","Female","57","0.264346908057587","0.208671524253429","0.320022291861746"
"Not paid","1984","Bavaria","Male","120","0.270519227332011","0.232003009447534","0.309035445216488"
"Not paid","1984","Bavaria","Female","63","0.267224652623491","0.214732974982243","0.31971633026474"
