"plb0195_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","16-34 y.","in school","","","","","1"
"Acclaimed","1984","16-34 y.","inadequately","10","","","","1"
"Acclaimed","1984","16-34 y.","general elemantary","88","0.279362108590863","0.233394718618286","0.325329498563439","1"
"Acclaimed","1984","16-34 y.","middle vocational","321","0.339708039698647","0.310353923551116","0.369062155846177","1"
"Acclaimed","1984","16-34 y.","vocational + Abi","27","","","","1"
"Acclaimed","1984","16-34 y.","higher vocational","49","0.404553996751621","0.317462126679396","0.491645866823846","1"
"Acclaimed","1984","16-34 y.","higher education","23","","","","1"
"Acclaimed","1984","35-65 y.","in school","","","","","1"
"Acclaimed","1984","35-65 y.","inadequately","8","","","","1"
"Acclaimed","1984","35-65 y.","general elemantary","94","0.267753900329387","0.226797539833441","0.308710260825332","1"
"Acclaimed","1984","35-65 y.","middle vocational","352","0.286694079846253","0.262526440819589","0.310861718872916","1"
"Acclaimed","1984","35-65 y.","vocational + Abi","10","","","","1"
"Acclaimed","1984","35-65 y.","higher vocational","58","0.263957683810316","0.206235516683433","0.3216798509372","1"
"Acclaimed","1984","35-65 y.","higher education","38","0.145215945043727","0.104383965666754","0.186047924420699","1"
"Acclaimed","1984","66 and older","in school","","","","","1"
"Acclaimed","1984","66 and older","inadequately","","","","","1"
"Acclaimed","1984","66 and older","general elemantary","","","","","1"
"Acclaimed","1984","66 and older","middle vocational","3","","","","1"
"Acclaimed","1984","66 and older","vocational + Abi","","","","","1"
"Acclaimed","1984","66 and older","higher vocational","","","","","1"
"Acclaimed","1984","66 and older","higher education","","","","","1"
"Not paid","1984","66 and older","higher education","2","","","","4"
"Not paid","1984","66 and older","higher vocational","2","","","","4"
"Not paid","1984","35-65 y.","higher vocational","81","0.367935560260627","0.304783046473056","0.431088074048197","4"
"Not paid","1984","16-34 y.","general elemantary","52","0.175531522689817","0.136557777968443","0.214505267411191","4"
"Not paid","1984","35-65 y.","higher education","179","0.644776148617422","0.589310944487717","0.700241352747126","4"
"Not paid","1984","35-65 y.","vocational + Abi","24","","","","4"
"Not paid","1984","35-65 y.","middle vocational","278","0.223504880426884","0.201241053386538","0.245768707467231","4"
"Not paid","1984","16-34 y.","inadequately","4","","","","4"
"Not paid","1984","66 and older","general elemantary","3","","","","4"
"Not paid","1984","66 and older","middle vocational","4","","","","4"
"Not paid","1984","66 and older","vocational + Abi","1","","","","4"
"Not paid","1984","16-34 y.","in school","1","","","","4"
"Not paid","1984","16-34 y.","middle vocational","140","0.14202070296028","0.12038543271923","0.16365597320133","4"
"Not paid","1984","66 and older","in school","","","","","4"
"Not paid","1984","66 and older","inadequately","","","","","4"
"Not paid","1984","16-34 y.","vocational + Abi","15","","","","4"
"Not paid","1984","35-65 y.","in school","","","","","4"
"Not paid","1984","35-65 y.","inadequately","10","","","","4"
"Not paid","1984","35-65 y.","general elemantary","71","0.185729746428132","0.14975895955432","0.221700533301943","4"
"Not paid","1984","16-34 y.","higher vocational","25","","","","4"
"Not paid","1984","16-34 y.","higher education","58","0.451310349293431","0.369173211436406","0.533447487150455","4"
"Paid","1984","35-65 y.","higher education","29","","","","3"
"Paid","1984","16-34 y.","middle vocational","414","0.388521815883341","0.358312125130274","0.418731506636409","3"
