"plb0195_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","no migration background","West Germany","931","0.288743825139557","0.273076511683057","0.304411138596057","1"
"Acclaimed","1984","no migration background","East Germany","","","","","1"
"Acclaimed","1984","direct migration background","West Germany","143","0.210500957205267","0.186657948666994","0.234343965743539","1"
"Acclaimed","1984","direct migration background","East Germany","","","","","1"
"Acclaimed","1984","indirect migration background","West Germany","8","","","","1"
"Acclaimed","1984","indirect migration background","East Germany","","","","","1"
"Not paid","1984","no migration background","West Germany","831","0.260156843356931","0.244989391940019","0.275324294773843","4"
"Not paid","1984","no migration background","East Germany","","","","","4"
"Not paid","1984","direct migration background","West Germany","110","0.138351987369788","0.118158289268257","0.158545685471319","4"
"Not paid","1984","indirect migration background","West Germany","9","","","","4"
"Not paid","1984","direct migration background","East Germany","","","","","4"
"Not paid","1984","indirect migration background","East Germany","","","","","4"
"Paid","1984","no migration background","West Germany","1074","0.337042989555625","0.320700790817363","0.353385188293888","3"
"Paid","1984","no migration background","East Germany","","","","","3"
"Paid","1984","direct migration background","West Germany","786","0.571627926704912","0.542686128772787","0.600569724637038","3"
"Paid","1984","direct migration background","East Germany","","","","","3"
"Paid","1984","indirect migration background","West Germany","13","","","","3"
"Paid","1984","indirect migration background","East Germany","","","","","3"
"Partly, partly","1984","no migration background","East Germany","","","","","2"
"Partly, partly","1984","direct migration background","West Germany","84","0.079519128720033","0.0636956705530699","0.0953425868869961","2"
"Partly, partly","1984","direct migration background","East Germany","","","","","2"
"Partly, partly","1984","no migration background","West Germany","378","0.114056341947887","0.103066589089952","0.125046094805823","2"
"Partly, partly","1984","indirect migration background","West Germany","","","","","2"
"Partly, partly","1984","indirect migration background","East Germany","","","","","2"
"Acclaimed","1985","no migration background","West Germany","789","0.279755177984986","0.263298350444381","0.296212005525591","1"
"Acclaimed","1985","no migration background","East Germany","","","","","1"
"Acclaimed","1985","direct migration background","West Germany","109","0.189283023447771","0.162728689163387","0.215837357732155","1"
"Acclaimed","1985","direct migration background","East Germany","","","","","1"
"Acclaimed","1985","indirect migration background","West Germany","6","","","","1"
"Acclaimed","1985","indirect migration background","East Germany","","","","","1"
"Not paid","1985","no migration background","West Germany","834","0.289511465215235","0.272883909969016","0.306139020461453","4"
"Not paid","1985","no migration background","East Germany","","","","","4"
"Not paid","1985","direct migration background","West Germany","81","0.134448728986551","0.111324370043069","0.157573087930033","4"
"Not paid","1985","indirect migration background","West Germany","6","","","","4"
"Not paid","1985","direct migration background","East Germany","","","","","4"
"Not paid","1985","indirect migration background","East Germany","","","","","4"
"Paid","1985","no migration background","West Germany","905","0.315719053050901","0.298678464186596","0.332759641915206","3"
"Paid","1985","no migration background","East Germany","","","","","3"
"Paid","1985","direct migration background","West Germany","577","0.559556222051132","0.525904130903932","0.593208313198332","3"
"Paid","1985","direct migration background","East Germany","","","","","3"
"Paid","1985","indirect migration background","West Germany","11","","","","3"
"Paid","1985","indirect migration background","East Germany","","","","","3"
"Partly, partly","1985","no migration background","East Germany","","","","","2"
"Partly, partly","1985","no migration background","West Germany","330","0.115014303748878","0.103317666213677","0.126710941284079","2"
"Partly, partly","1985","direct migration background","East Germany","","","","","2"
"Partly, partly","1985","direct migration background","West Germany","69","0.116712025514546","0.0949472639235676","0.138476787105524","2"
"Partly, partly","1985","indirect migration background","West Germany","4","","","","2"
"Partly, partly","1985","indirect migration background","East Germany","","","","","2"
"Acclaimed","1986","no migration background","West Germany","831","0.318707585815064","0.300841008497207","0.336574163132922","1"
"Acclaimed","1986","no migration background","East Germany","","","","","1"
"Acclaimed","1986","direct migration background","West Germany","129","0.205717586686802","0.17884178755248","0.232593385821124","1"
"Acclaimed","1986","direct migration background","East Germany","","","","","1"
"Acclaimed","1986","indirect migration background","West Germany","9","","","","1"
"Acclaimed","1986","indirect migration background","East Germany","","","","","1"
"Not paid","1986","no migration background","West Germany","571","0.214008748973644","0.198283301720118","0.229734196227171","4"
"Not paid","1986","no migration background","East Germany","","","","","4"
"Not paid","1986","direct migration background","West Germany","80","0.139769188969599","0.116714916468723","0.162823461470475","4"
"Not paid","1986","indirect migration background","West Germany","10","","","","4"
"Not paid","1986","direct migration background","East Germany","","","","","4"
"Not paid","1986","indirect migration background","East Germany","","","","","4"
"Paid","1986","no migration background","West Germany","895","0.345089439209992","0.326861598806609","0.363317279613375","3"
"Paid","1986","no migration background","East Germany","","","","","3"
"Paid","1986","direct migration background","East Germany","","","","","3"
"Paid","1986","direct migration background","West Germany","586","0.5625143680977","0.529531614530724","0.595497121664675","3"
"Paid","1986","indirect migration background","West Germany","17","","","","3"
"Paid","1986","indirect migration background","East Germany","","","","","3"
"Partly, partly","1986","no migration background","West Germany","316","0.1221942260013","0.109636732988699","0.1347517190139","2"
"Partly, partly","1986","direct migration background","East Germany","","","","","2"
"Partly, partly","1986","no migration background","East Germany","","","","","2"
"Partly, partly","1986","direct migration background","West Germany","74","0.0919988562458995","0.0727824303873266","0.111215282104472","2"
"Partly, partly","1986","indirect migration background","West Germany","5","","","","2"
"Partly, partly","1986","indirect migration background","East Germany","","","","","2"
"Acclaimed","1987","no migration background","West Germany","","","","","1"
"Acclaimed","1987","no migration background","East Germany","","","","","1"
"Acclaimed","1987","direct migration background","West Germany","","","","","1"
"Acclaimed","1987","direct migration background","East Germany","","","","","1"
"Acclaimed","1987","indirect migration background","West Germany","","","","","1"
"Acclaimed","1987","indirect migration background","East Germany","","","","","1"
"Not paid","1987","no migration background","West Germany","","","","","4"
"Not paid","1987","no migration background","East Germany","","","","","4"
"Not paid","1987","direct migration background","West Germany","","","","","4"
"Not paid","1987","direct migration background","East Germany","","","","","4"
"Not paid","1987","indirect migration background","West Germany","","","","","4"
"Not paid","1987","indirect migration background","East Germany","","","","","4"
"Paid","1987","no migration background","West Germany","","","","","3"
"Paid","1987","no migration background","East Germany","","","","","3"
"Paid","1987","direct migration background","East Germany","","","","","3"
"Paid","1987","direct migration background","West Germany","","","","","3"
"Paid","1987","indirect migration background","West Germany","","","","","3"
"Paid","1987","indirect migration background","East Germany","","","","","3"
"Partly, partly","1987","no migration background","East Germany","","","","","2"
"Partly, partly","1987","direct migration background","West Germany","","","","","2"
"Partly, partly","1987","no migration background","West Germany","","","","","2"
"Partly, partly","1987","direct migration background","East Germany","","","","","2"
"Partly, partly","1987","indirect migration background","West Germany","","","","","2"
"Partly, partly","1987","indirect migration background","East Germany","","","","","2"
"Acclaimed","1988","no migration background","West Germany","856","0.33773283759056","0.319293355223987","0.356172319957133","1"
"Acclaimed","1988","no migration background","East Germany","","","","","1"
"Acclaimed","1988","direct migration background","West Germany","142","0.229818217140942","0.202177969209861","0.257458465072022","1"
"Acclaimed","1988","direct migration background","East Germany","","","","","1"
"Acclaimed","1988","indirect migration background","West Germany","23","","","","1"
"Acclaimed","1988","indirect migration background","East Germany","","","","","1"
"Not paid","1988","no migration background","West Germany","522","0.208310696824933","0.192477134188871","0.224144259460994","4"
"Not paid","1988","no migration background","East Germany","","","","","4"
"Not paid","1988","direct migration background","West Germany","65","0.115969990832373","0.0949341729139622","0.137005808750783","4"
"Not paid","1988","indirect migration background","West Germany","4","","","","4"
"Not paid","1988","direct migration background","East Germany","","","","","4"
"Not paid","1988","indirect migration background","East Germany","","","","","4"
"Paid","1988","no migration background","East Germany","","","","","3"
"Paid","1988","no migration background","West Germany","818","0.323305234621978","0.305068450939445","0.341542018304512","3"
"Paid","1988","direct migration background","East Germany","","","","","3"
"Paid","1988","direct migration background","West Germany","600","0.565239608460629","0.53267136268772","0.597807854233539","3"
"Paid","1988","indirect migration background","West Germany","20","","","","3"
"Paid","1988","indirect migration background","East Germany","","","","","3"
"Partly, partly","1988","no migration background","West Germany","331","0.130651230962529","0.117511113582728","0.14379134834233","2"
"Partly, partly","1988","no migration background","East Germany","","","","","2"
"Partly, partly","1988","direct migration background","East Germany","","","","","2"
"Partly, partly","1988","direct migration background","West Germany","83","0.0889721835660565","0.070267686679088","0.107676680453025","2"
"Partly, partly","1988","indirect migration background","West Germany","6","","","","2"
"Partly, partly","1988","indirect migration background","East Germany","","","","","2"
"Acclaimed","1989","no migration background","West Germany","869","0.327984064260126","0.31015628950995","0.345811839010301","1"
"Acclaimed","1989","no migration background","East Germany","","","","","1"
"Acclaimed","1989","direct migration background","West Germany","153","0.212980296909502","0.18658207823973","0.239378515579274","1"
"Acclaimed","1989","direct migration background","East Germany","","","","","1"
"Acclaimed","1989","indirect migration background","West Germany","25","","","","1"
"Acclaimed","1989","indirect migration background","East Germany","","","","","1"
"Not paid","1989","no migration background","West Germany","514","0.197064097263884","0.181958942697449","0.212169251830319","4"
"Not paid","1989","no migration background","East Germany","","","","","4"
"Not paid","1989","direct migration background","West Germany","52","0.0619415485729938","0.0463991484554351","0.0774839486905525","4"
"Not paid","1989","indirect migration background","West Germany","6","","","","4"
"Not paid","1989","direct migration background","East Germany","","","","","4"
"Not paid","1989","indirect migration background","East Germany","","","","","4"
"Paid","1989","no migration background","West Germany","890","0.331055456591309","0.31318538000455","0.348925533178068","3"
"Paid","1989","no migration background","East Germany","","","","","3"
"Paid","1989","direct migration background","East Germany","","","","","3"
"Paid","1989","direct migration background","West Germany","596","0.549829475696551","0.517750932129421","0.581908019263681","3"
"Paid","1989","indirect migration background","West Germany","31","0.330101713083142","0.223676192800057","0.436527233366227","3"
"Paid","1989","indirect migration background","East Germany","","","","","3"
"Partly, partly","1989","no migration background","East Germany","","","","","2"
"Partly, partly","1989","no migration background","West Germany","391","0.143896381884681","0.130568256057768","0.157224507711594","2"
"Partly, partly","1989","direct migration background","West Germany","123","0.175248678820953","0.150735423333146","0.199761934308761","2"
"Partly, partly","1989","direct migration background","East Germany","","","","","2"
"Partly, partly","1989","indirect migration background","West Germany","13","","","","2"
"Partly, partly","1989","indirect migration background","East Germany","","","","","2"
"Acclaimed","1990","no migration background","West Germany","917","0.34717411874069","0.328951780652196","0.365396456829184","1"
"Acclaimed","1990","no migration background","East Germany","","","","","1"
"Acclaimed","1990","direct migration background","West Germany","134","0.203618683359031","0.177382953814683","0.229854412903379","1"
"Acclaimed","1990","direct migration background","East Germany","","","","","1"
"Acclaimed","1990","indirect migration background","West Germany","26","","","","1"
"Acclaimed","1990","indirect migration background","East Germany","","","","","1"
"Not paid","1990","no migration background","West Germany","448","0.180362446584189","0.165645567204447","0.19507932596393","4"
"Not paid","1990","no migration background","East Germany","","","","","4"
"Not paid","1990","indirect migration background","West Germany","13","","","","4"
"Not paid","1990","direct migration background","West Germany","52","0.0793344435135811","0.0617266215140639","0.0969422655130983","4"
"Not paid","1990","direct migration background","East Germany","","","","","4"
"Not paid","1990","indirect migration background","East Germany","","","","","4"
"Paid","1990","no migration background","East Germany","","","","","3"
"Paid","1990","no migration background","West Germany","858","0.325782890480525","0.307843992164822","0.343721788796228","3"
"Paid","1990","direct migration background","West Germany","597","0.574145584246371","0.541930045883285","0.606361122609457","3"
"Paid","1990","direct migration background","East Germany","","","","","3"
"Paid","1990","indirect migration background","West Germany","37","0.251500302996009","0.163790277962205","0.339210328029814","3"
"Paid","1990","indirect migration background","East Germany","","","","","3"
"Partly, partly","1990","no migration background","West Germany","399","0.146680544194596","0.133138824264302","0.160222264124889","2"
"Partly, partly","1990","no migration background","East Germany","","","","","2"
"Partly, partly","1990","direct migration background","East Germany","","","","","2"
"Partly, partly","1990","direct migration background","West Germany","122","0.142901288881017","0.120100110335115","0.165702467426918","2"
"Partly, partly","1990","indirect migration background","West Germany","18","","","","2"
"Partly, partly","1990","indirect migration background","East Germany","","","","","2"
"Acclaimed","1991","no migration background","West Germany","949","0.338113804216054","0.320547489961965","0.355680118470142","1"
"Acclaimed","1991","no migration background","East Germany","826","0.4536836419176","0.430722796189554","0.476644487645646","1"
"Acclaimed","1991","direct migration background","West Germany","183","0.217055492033633","0.191271911468468","0.242839072598797","1"
"Acclaimed","1991","direct migration background","East Germany","28","","","","1"
"Acclaimed","1991","indirect migration background","West Germany","39","0.331621839517654","0.247736108556379","0.415507570478929","1"
"Acclaimed","1991","indirect migration background","East Germany","1","","","","1"
"Not paid","1991","no migration background","West Germany","451","0.17480657385211","0.160703483274788","0.188909664429432","4"
"Not paid","1991","no migration background","East Germany","276","0.148111511138507","0.131729206431631","0.164493815845384","4"
"Not paid","1991","direct migration background","West Germany","47","0.0736362653393716","0.0573008945574846","0.0899716361212585","4"
"Not paid","1991","indirect migration background","West Germany","12","","","","4"
"Not paid","1991","direct migration background","East Germany","8","","","","4"
"Not paid","1991","indirect migration background","East Germany","","","","","4"
"Paid","1991","no migration background","East Germany","467","0.267587650448888","0.247170267221229","0.288005033676547","3"
"Paid","1991","no migration background","West Germany","948","0.337400779757035","0.319843548231348","0.354958011282722","3"
"Paid","1991","direct migration background","West Germany","631","0.575475131078963","0.544560989207547","0.60638927295038","3"
"Paid","1991","direct migration background","East Germany","6","","","","3"
"Paid","1991","indirect migration background","West Germany","50","0.350214429616311","0.265216674573536","0.435212184659086","3"
"Paid","1991","indirect migration background","East Germany","","","","","3"
"Partly, partly","1991","no migration background","East Germany","237","0.130617196495005","0.11507562538657","0.146158767603439","2"
"Partly, partly","1991","no migration background","West Germany","438","0.149678842174801","0.136431485326335","0.162926199023267","2"
"Partly, partly","1991","direct migration background","West Germany","121","0.133833111548032","0.11253824496133","0.155127978134735","2"
"Partly, partly","1991","direct migration background","East Germany","2","","","","2"
"Partly, partly","1991","indirect migration background","West Germany","20","","","","2"
"Partly, partly","1991","indirect migration background","East Germany","","","","","2"
"Acclaimed","1992","no migration background","West Germany","966","0.36007676956969","0.342003990670493","0.378149548468887","1"
"Acclaimed","1992","no migration background","East Germany","652","0.377207815069115","0.353771397493811","0.400644232644418","1"
"Acclaimed","1992","direct migration background","West Germany","177","0.224190069656356","0.196744507278739","0.251635632033972","1"
"Acclaimed","1992","direct migration background","East Germany","21","","","","1"
"Acclaimed","1992","indirect migration background","West Germany","35","0.372478562013722","0.284116855355776","0.460840268671668","1"
"Acclaimed","1992","indirect migration background","East Germany","1","","","","1"
"Not paid","1992","no migration background","West Germany","411","0.157677467202511","0.143956413236207","0.171398521168816","4"
"Not paid","1992","no migration background","East Germany","288","0.179395675313408","0.160843185804796","0.197948164822021","4"
"Not paid","1992","direct migration background","West Germany","51","0.0869084551894662","0.0683699609261622","0.10544694945277","4"
"Not paid","1992","direct migration background","East Germany","8","","","","4"
"Not paid","1992","indirect migration background","West Germany","16","","","","4"
"Not paid","1992","indirect migration background","East Germany","","","","","4"
"Paid","1992","no migration background","East Germany","433","0.277478887746093","0.255828306874063","0.299129468618124","3"
"Paid","1992","no migration background","West Germany","856","0.315453483611108","0.297957732505003","0.332949234717213","3"
"Paid","1992","direct migration background","East Germany","12","","","","3"
"Paid","1992","direct migration background","West Germany","532","0.503521181381446","0.470617422365293","0.536424940397599","3"
"Paid","1992","indirect migration background","West Germany","52","0.404596959152816","0.314892093064676","0.494301825240956","3"
"Paid","1992","indirect migration background","East Germany","","","","","3"
"Partly, partly","1992","no migration background","West Germany","477","0.166792279616691","0.152756774059555","0.180827785173826","2"
"Partly, partly","1992","no migration background","East Germany","270","0.165917621871384","0.147929739481633","0.183905504261134","2"
"Partly, partly","1992","direct migration background","West Germany","127","0.185380293772732","0.15980647872378","0.210954108821684","2"
"Partly, partly","1992","direct migration background","East Germany","6","","","","2"
"Partly, partly","1992","indirect migration background","West Germany","12","","","","2"
"Partly, partly","1992","indirect migration background","East Germany","2","","","","2"
"Acclaimed","1993","no migration background","West Germany","958","0.351851840142585","0.333758360504963","0.369945319780207","1"
"Acclaimed","1993","no migration background","East Germany","606","0.372214488762782","0.348558114066833","0.395870863458732","1"
"Acclaimed","1993","direct migration background","West Germany","168","0.253404917376702","0.223283048430943","0.283526786322462","1"
"Acclaimed","1993","direct migration background","East Germany","21","","","","1"
"Acclaimed","1993","indirect migration background","West Germany","48","0.317447794045241","0.243448020432822","0.39144756765766","1"
"Acclaimed","1993","indirect migration background","East Germany","3","","","","1"
"Not paid","1993","no migration background","East Germany","291","0.185569650583429","0.166544576411862","0.204594724754996","4"
"Not paid","1993","no migration background","West Germany","435","0.174560959216097","0.160178899116333","0.188943019315861","4"
