"plb0195_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","(0) in school","West Germany","","","",""
"Acclaimed","1984","(0) in school","East Germany","","","",""
"Acclaimed","1984","(1a) inadequately completed","West Germany","21","","",""
"Acclaimed","1984","(1a) inadequately completed","East Germany","","","",""
"Acclaimed","1984","(1b) general elementary school","West Germany","134","0.22633725692465","0.195834941480235","0.256839572369065"
"Acclaimed","1984","(1b) general elementary school","East Germany","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","West Germany","477","0.277496735038461","0.256998536068905","0.297994934008018"
"Acclaimed","1984","(1c) basic vocational qualification","East Germany","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","West Germany","48","0.451705661656395","0.356516371285526","0.546894952027264"
"Acclaimed","1984","(2b) intermediate general qualification","East Germany","","","",""
"Acclaimed","1984","(2a) intermediate vocational","West Germany","254","0.38279034759938","0.345791502284958","0.419789192913803"
"Acclaimed","1984","(2a) intermediate vocational","East Germany","","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","West Germany","19","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Acclaimed","1984","(2c_voc) vocational maturity certificate","West Germany","64","0.342327552344865","0.277999456020405","0.406655648669325"
"Acclaimed","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Acclaimed","1984","(3a) lower tertiary education","West Germany","27","","",""
"Acclaimed","1984","(3a) lower tertiary education","East Germany","","","",""
"Acclaimed","1984","(3b) higher tertiary education","West Germany","34","0.134438199297435","0.094410892160894","0.174465506433977"
"Acclaimed","1984","(3b) higher tertiary education","East Germany","","","",""
"Partly, partly","1984","(0) in school","West Germany","","","",""
"Partly, partly","1984","(0) in school","East Germany","","","",""
"Partly, partly","1984","(1a) inadequately completed","West Germany","20","","",""
"Partly, partly","1984","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1984","(1b) general elementary school","West Germany","54","0.0911638039367505","0.0701824761249487","0.112145131748552"
"Partly, partly","1984","(1b) general elementary school","East Germany","","","",""
"Partly, partly","1984","(1c) basic vocational qualification","West Germany","203","0.112965372773692","0.0984739904238661","0.127456755123518"
"Partly, partly","1984","(1c) basic vocational qualification","East Germany","","","",""
"Partly, partly","1984","(2b) intermediate general qualification","West Germany","9","","",""
"Partly, partly","1984","(2b) intermediate general qualification","East Germany","","","",""
"Partly, partly","1984","(2a) intermediate vocational","West Germany","86","0.123109615275319","0.0980998297230393","0.148119400827598"
"Partly, partly","1984","(2a) intermediate vocational","East Germany","","","",""
"Partly, partly","1984","(2c_gen) general maturity certificate","West Germany","5","","",""
"Partly, partly","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Partly, partly","1984","(2c_voc) vocational maturity certificate","West Germany","24","","",""
"Partly, partly","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Partly, partly","1984","(3a) lower tertiary education","West Germany","28","","",""
"Partly, partly","1984","(3a) lower tertiary education","East Germany","","","",""
"Partly, partly","1984","(3b) higher tertiary education","West Germany","32","0.0823266482038245","0.0500743796993463","0.114578916708303"
"Partly, partly","1984","(3b) higher tertiary education","East Germany","","","",""
"Paid","1984","(0) in school","West Germany","","","",""
"Paid","1984","(0) in school","East Germany","","","",""
"Paid","1984","(1a) inadequately completed","West Germany","244","0.759861830009082","0.711524197388479","0.808199462629685"
"Paid","1984","(1a) inadequately completed","East Germany","","","",""
"Paid","1984","(1b) general elementary school","West Germany","433","0.513446281932788","0.477013540896787","0.549879022968788"
"Paid","1984","(1b) general elementary school","East Germany","","","",""
"Paid","1984","(1c) basic vocational qualification","West Germany","849","0.438077868981094","0.415364550846003","0.460791187116185"
"Paid","1984","(1c) basic vocational qualification","East Germany","","","",""
"Paid","1984","(2b) intermediate general qualification","West Germany","23","","",""
"Paid","1984","(2b) intermediate general qualification","East Germany","","","",""
"Paid","1984","(2a) intermediate vocational","West Germany","133","0.198916896159764","0.168531426762861","0.229302365556668"
"Paid","1984","(2a) intermediate vocational","East Germany","","","",""
"Paid","1984","(2c_gen) general maturity certificate","West Germany","47","0.435624038841556","0.328303872514709","0.542944205168404"
"Paid","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Paid","1984","(2c_voc) vocational maturity certificate","West Germany","58","0.19478549404622","0.141093559927284","0.248477428165157"
"Paid","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Paid","1984","(3a) lower tertiary education","West Germany","26","","",""
"Paid","1984","(3a) lower tertiary education","East Germany","","","",""
"Paid","1984","(3b) higher tertiary education","West Germany","43","0.131173129097692","0.0915603738318208","0.170785884363564"
"Paid","1984","(3b) higher tertiary education","East Germany","","","",""
"Not paid","1984","(0) in school","West Germany","1","","",""
