"plb0195_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","lower secondary degree","in school","","","",""
"Acclaimed","1984","lower secondary degree","inadequately","","","",""
"Acclaimed","1984","lower secondary degree","general elemantary","108","0.243113104645694","0.203741297656857","0.282484911634531"
"Acclaimed","1984","lower secondary degree","middle vocational","416","0.286674421847124","0.263581170162989","0.309767673531259"
"Acclaimed","1984","lower secondary degree","vocational + Abi","","","",""
"Acclaimed","1984","lower secondary degree","higher vocational","37","0.221912971955347","0.158509717396162","0.285316226514532"
"Acclaimed","1984","lower secondary degree","higher education","3","","",""
"Acclaimed","1984","secondary school degree","in school","","","",""
"Acclaimed","1984","secondary school degree","inadequately","","","",""
"Acclaimed","1984","secondary school degree","general elemantary","48","0.451705661656395","0.356516371285526","0.546894952027264"
"Acclaimed","1984","secondary school degree","middle vocational","212","0.380477590881015","0.340049218223568","0.420905963538462"
"Acclaimed","1984","secondary school degree","vocational + Abi","1","","",""
"Acclaimed","1984","secondary school degree","higher vocational","42","0.394680998837995","0.302921696107445","0.486440301568545"
"Acclaimed","1984","secondary school degree","higher education","7","","",""
"Acclaimed","1984","college entrance qualification","in school","","","",""
"Acclaimed","1984","college entrance qualification","inadequately","","","",""
"Acclaimed","1984","college entrance qualification","general elemantary","","","",""
"Acclaimed","1984","college entrance qualification","middle vocational","14","","",""
"Acclaimed","1984","college entrance qualification","vocational + Abi","30","0.328298039416984","0.234361419942866","0.422234658891102"
"Acclaimed","1984","college entrance qualification","higher vocational","26","","",""
"Acclaimed","1984","college entrance qualification","higher education","49","0.143335915371822","0.106677193012293","0.179994637731351"
"Acclaimed","1984","Other degree","in school","","","",""
"Acclaimed","1984","Other degree","inadequately","","","",""
"Acclaimed","1984","Other degree","general elemantary","26","","",""
"Acclaimed","1984","Other degree","middle vocational","29","","",""
"Acclaimed","1984","Other degree","vocational + Abi","6","","",""
"Acclaimed","1984","Other degree","higher vocational","1","","",""
"Acclaimed","1984","Other degree","higher education","2","","",""
"Acclaimed","1984","no degree/no degree yet","in school","","","",""
"Acclaimed","1984","no degree/no degree yet","inadequately","18","","",""
"Acclaimed","1984","no degree/no degree yet","general elemantary","","","",""
"Acclaimed","1984","no degree/no degree yet","middle vocational","2","","",""
"Acclaimed","1984","no degree/no degree yet","vocational + Abi","","","",""
"Acclaimed","1984","no degree/no degree yet","higher vocational","1","","",""
"Acclaimed","1984","no degree/no degree yet","higher education","","","",""
"Partly, partly","1984","lower secondary degree","in school","","","",""
"Partly, partly","1984","lower secondary degree","inadequately","","","",""
"Partly, partly","1984","lower secondary degree","general elemantary","43","0.0945738722307677","0.0677156188513958","0.12143212561014"
"Partly, partly","1984","lower secondary degree","middle vocational","168","0.114295119283148","0.0980469259065126","0.130543312659784"
"Partly, partly","1984","lower secondary degree","vocational + Abi","","","",""
"Partly, partly","1984","lower secondary degree","higher vocational","18","","",""
"Partly, partly","1984","lower secondary degree","higher education","4","","",""
"Partly, partly","1984","secondary school degree","in school","","","",""
"Partly, partly","1984","secondary school degree","inadequately","","","",""
"Partly, partly","1984","secondary school degree","general elemantary","9","","",""
"Partly, partly","1984","secondary school degree","middle vocational","64","0.111249120286029","0.0850653897316654","0.137432850840393"
"Partly, partly","1984","secondary school degree","vocational + Abi","","","",""
"Partly, partly","1984","secondary school degree","higher vocational","22","","",""
"Partly, partly","1984","secondary school degree","higher education","7","","",""
"Partly, partly","1984","college entrance qualification","in school","","","",""
"Partly, partly","1984","college entrance qualification","inadequately","","","",""
"Partly, partly","1984","college entrance qualification","general elemantary","","","",""
"Partly, partly","1984","college entrance qualification","middle vocational","5","","",""
"Partly, partly","1984","college entrance qualification","vocational + Abi","8","","",""
"Partly, partly","1984","college entrance qualification","higher vocational","11","","",""
"Partly, partly","1984","college entrance qualification","higher education","40","0.103279927878901","0.0714430155623199","0.135116840195482"
"Partly, partly","1984","Other degree","in school","","","",""
"Partly, partly","1984","Other degree","inadequately","2","","",""
"Partly, partly","1984","Other degree","general elemantary","9","","",""
"Partly, partly","1984","Other degree","middle vocational","16","","",""
"Partly, partly","1984","Other degree","vocational + Abi","5","","",""
"Partly, partly","1984","Other degree","higher vocational","1","","",""
"Partly, partly","1984","Other degree","higher education","9","","",""
"Partly, partly","1984","no degree/no degree yet","in school","","","",""
"Partly, partly","1984","no degree/no degree yet","inadequately","17","","",""
"Partly, partly","1984","no degree/no degree yet","general elemantary","","","",""
"Partly, partly","1984","no degree/no degree yet","middle vocational","3","","",""
"Partly, partly","1984","no degree/no degree yet","vocational + Abi","","","",""
"Partly, partly","1984","no degree/no degree yet","higher vocational","","","",""
"Partly, partly","1984","no degree/no degree yet","higher education","","","",""
"Paid","1984","lower secondary degree","in school","","","",""
"Paid","1984","lower secondary degree","inadequately","","","",""
"Paid","1984","lower secondary degree","general elemantary","225","0.480845754701892","0.434987579668764","0.526703929735019"
"Paid","1984","lower secondary degree","middle vocational","661","0.444741378940023","0.419363919527959","0.470118838352088"
"Paid","1984","lower secondary degree","vocational + Abi","1","","",""
"Paid","1984","lower secondary degree","higher vocational","54","0.330495393375561","0.258721648120444","0.402269138630679"
"Paid","1984","lower secondary degree","higher education","3","","",""
"Paid","1984","secondary school degree","in school","","","",""
"Paid","1984","secondary school degree","inadequately","","","",""
"Paid","1984","secondary school degree","general elemantary","23","","",""
"Paid","1984","secondary school degree","middle vocational","117","0.210734728541883","0.176774331301863","0.244695125781902"
"Paid","1984","secondary school degree","vocational + Abi","1","","",""
"Paid","1984","secondary school degree","higher vocational","16","","",""
"Paid","1984","secondary school degree","higher education","5","","",""
"Paid","1984","college entrance qualification","in school","","","",""
"Paid","1984","college entrance qualification","inadequately","","","",""
"Paid","1984","college entrance qualification","general elemantary","","","",""
"Paid","1984","college entrance qualification","middle vocational","17","","",""
"Paid","1984","college entrance qualification","vocational + Abi","23","","",""
"Paid","1984","college entrance qualification","higher vocational","10","","",""
"Paid","1984","college entrance qualification","higher education","51","0.139980509711835","0.103682529054419","0.176278490369251"
"Paid","1984","Other degree","in school","","","",""
"Paid","1984","Other degree","inadequately","6","","",""
"Paid","1984","Other degree","general elemantary","202","0.789071097697213","0.739290013337719","0.838852182056708"
"Paid","1984","Other degree","middle vocational","163","0.643692111546509","0.581934013412317","0.705450209680701"
"Paid","1984","Other degree","vocational + Abi","23","","",""
"Paid","1984","Other degree","higher vocational","1","","",""
"Paid","1984","Other degree","higher education","10","","",""
"Paid","1984","no degree/no degree yet","in school","","","",""
"Paid","1984","no degree/no degree yet","inadequately","208","0.774406830077645","0.723206157129575","0.825607503025716"
"Paid","1984","no degree/no degree yet","general elemantary","","","",""
