"plb0195_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Full Time","in school","","","","","1"
"Acclaimed","1984","Full Time","inadequately","17","","","","1"
"Acclaimed","1984","Full Time","general elemantary","128","0.261497231108058","0.226850404327374","0.296144057888742","1"
"Acclaimed","1984","Full Time","middle vocational","535","0.301194748910254","0.280832180178444","0.321557317642064","1"
"Acclaimed","1984","Full Time","vocational + Abi","29","","","","1"
"Acclaimed","1984","Full Time","higher vocational","82","0.294440413853596","0.241523900720876","0.347356926986315","1"
"Acclaimed","1984","Full Time","higher education","48","0.153228131613514","0.114883841168551","0.191572422058476","1"
"Acclaimed","1984","Part Time","in school","","","","","1"
"Acclaimed","1984","Part Time","inadequately","1","","","","1"
"Acclaimed","1984","Part Time","general elemantary","54","0.310435622419529","0.244298948391204","0.376572296447855","1"
"Acclaimed","1984","Part Time","middle vocational","134","0.362544789117834","0.313560940927283","0.411528637308384","1"
"Acclaimed","1984","Part Time","vocational + Abi","6","","","","1"
"Acclaimed","1984","Part Time","higher vocational","22","","","","1"
"Acclaimed","1984","Part Time","higher education","13","","","","1"
"Acclaimed","1984","Not Working","in school","","","","","1"
"Acclaimed","1984","Not Working","inadequately","","","","","1"
"Acclaimed","1984","Not Working","general elemantary","","","","","1"
"Acclaimed","1984","Not Working","middle vocational","7","","","","1"
"Acclaimed","1984","Not Working","vocational + Abi","2","","","","1"
"Acclaimed","1984","Not Working","higher vocational","3","","","","1"
"Acclaimed","1984","Not Working","higher education","","","","","1"
"Not paid","1984","Not Working","higher education","6","","","","4"
"Not paid","1984","Not Working","higher vocational","","","","","4"
"Not paid","1984","Part Time","higher vocational","14","","","","4"
"Not paid","1984","Full Time","general elemantary","91","0.174846613561539","0.144899855821696","0.204793371301382","4"
"Not paid","1984","Part Time","higher education","36","0.485478874075528","0.375959772815444","0.594997975335612","4"
"Not paid","1984","Part Time","vocational + Abi","5","","","","4"
"Not paid","1984","Part Time","middle vocational","45","0.129664509098451","0.0954349633366877","0.163894054860214","4"
"Not paid","1984","Full Time","inadequately","12","","","","4"
"Not paid","1984","Not Working","general elemantary","4","","","","4"
"Not paid","1984","Not Working","middle vocational","7","","","","4"
"Not paid","1984","Not Working","vocational + Abi","","","","","4"
"Not paid","1984","Full Time","in school","1","","","","4"
"Not paid","1984","Full Time","middle vocational","370","0.203015653156777","0.185162273373231","0.220869032940322","4"
"Not paid","1984","Not Working","in school","","","","","4"
"Not paid","1984","Not Working","inadequately","1","","","","4"
