"plb0195_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","West Germany","518","0.319665097760151","0.298018910775233","0.341311284745069"
"Acclaimed","1984","16-34 y.","East Germany","","","",""
"Acclaimed","1984","35-65 y.","West Germany","561","0.256217590093461","0.239323615801993","0.273111564384929"
"Acclaimed","1984","35-65 y.","East Germany","","","",""
"Acclaimed","1984","66 and older","West Germany","3","","",""
"Acclaimed","1984","66 and older","East Germany","","","",""
"Partly, partly","1984","16-34 y.","West Germany","221","0.129293302778759","0.113719438820752","0.144867166736766"
"Partly, partly","1984","16-34 y.","East Germany","","","",""
"Partly, partly","1984","35-65 y.","West Germany","241","0.0987100954909551","0.0871671287168997","0.110253062265011"
"Partly, partly","1984","35-65 y.","East Germany","","","",""
"Partly, partly","1984","66 and older","West Germany","","","",""
"Partly, partly","1984","66 and older","East Germany","","","",""
"Paid","1984","16-34 y.","West Germany","749","0.368080738789608","0.345694828349026","0.390466649230189"
"Paid","1984","16-34 y.","East Germany","","","",""
"Paid","1984","35-65 y.","West Germany","1120","0.354021192415064","0.335514527066241","0.372527857763887"
"Paid","1984","35-65 y.","East Germany","","","",""
"Paid","1984","66 and older","West Germany","4","","",""
"Paid","1984","66 and older","East Germany","","","",""
"Not paid","1984","16-34 y.","West Germany","295","0.182960860671482","0.165014642323102","0.200907079019863"
"Not paid","1984","16-34 y.","East Germany","","","",""
"Not paid","1984","35-65 y.","West Germany","643","0.29105112200052","0.273472027331051","0.308630216669989"
"Not paid","1984","35-65 y.","East Germany","","","",""
"Not paid","1984","66 and older","West Germany","12","","",""
"Not paid","1984","66 and older","East Germany","","","",""
"Acclaimed","1985","16-34 y.","West Germany","438","0.315705490705702","0.292400495972921","0.339010485438483"
"Acclaimed","1985","16-34 y.","East Germany","","","",""
"Acclaimed","1985","35-65 y.","West Germany","466","0.241299037148068","0.223354391527881","0.259243682768254"
"Acclaimed","1985","35-65 y.","East Germany","","","",""
