"plb0195_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","16-34 y.","no migration background","444","0.327724327226902","0.302657906116372","0.352790748337433"
"Acclaimed","1984","16-34 y.","direct migration background","68","0.232914034832323","0.192197785206279","0.273630284458367"
"Acclaimed","1984","16-34 y.","indirect migration background","6","","",""
"Acclaimed","1984","35-65 y.","no migration background","484","0.262718106071545","0.242657621376306","0.282778590766784"
"Acclaimed","1984","35-65 y.","direct migration background","75","0.198030854457123","0.168696925623122","0.227364783291123"
"Acclaimed","1984","35-65 y.","indirect migration background","2","","",""
"Acclaimed","1984","66 and older","no migration background","3","","",""
"Acclaimed","1984","66 and older","direct migration background","","","",""
"Acclaimed","1984","66 and older","indirect migration background","","","",""
"Partly, partly","1984","16-34 y.","no migration background","182","0.132316381237872","0.114221664048978","0.150411098426767"
"Partly, partly","1984","16-34 y.","direct migration background","39","0.105189710052903","0.0756368148126246","0.134742605293182"
"Partly, partly","1984","16-34 y.","indirect migration background","","","",""
"Partly, partly","1984","35-65 y.","no migration background","196","0.102677118560479","0.0888417464949797","0.116512490625978"
"Partly, partly","1984","35-65 y.","direct migration background","45","0.0652366284694179","0.0470596551160051","0.0834136018228306"
"Partly, partly","1984","35-65 y.","indirect migration background","","","",""
"Partly, partly","1984","66 and older","no migration background","","","",""
"Partly, partly","1984","66 and older","direct migration background","","","",""
"Partly, partly","1984","66 and older","indirect migration background","","","",""
"Paid","1984","16-34 y.","no migration background","471","0.350638713970373","0.325156484510336","0.37612094343041"
"Paid","1984","16-34 y.","direct migration background","268","0.56362002130695","0.515848009073324","0.611392033540577"
"Paid","1984","16-34 y.","indirect migration background","10","","",""
"Paid","1984","35-65 y.","no migration background","599","0.328407040976861","0.307000872831804","0.349813209121918"
"Paid","1984","35-65 y.","direct migration background","518","0.576083334604337","0.539707926500692","0.612458742707982"
"Paid","1984","35-65 y.","indirect migration background","3","","",""
"Paid","1984","66 and older","no migration background","4","","",""
"Paid","1984","66 and older","direct migration background","","","",""
