"plb0195_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Full Time","Male","518","0.229890035136583","0.213942122996814","0.245837947276351"
"Acclaimed","1984","Full Time","Female","322","0.408163139246133","0.375428539056482","0.440897739435784"
"Acclaimed","1984","Part Time","Male","46","0.165098546538105","0.122294147588442","0.207902945487768"
"Acclaimed","1984","Part Time","Female","184","0.411042310687244","0.366417646288153","0.455666975086336"
"Acclaimed","1984","Not Working","Male","6","","",""
"Acclaimed","1984","Not Working","Female","6","","",""
"Partly, partly","1984","Full Time","Male","289","0.113648936295587","0.101619287113084","0.12567858547809"
"Partly, partly","1984","Full Time","Female","94","0.114593867242479","0.0933789620202277","0.135808772464731"
"Partly, partly","1984","Part Time","Male","29","","",""
"Partly, partly","1984","Part Time","Female","44","0.0908739050386564","0.0648050889587631","0.11694272111855"
"Partly, partly","1984","Not Working","Male","2","","",""
"Partly, partly","1984","Not Working","Female","4","","",""
"Paid","1984","Full Time","Male","1273","0.396592134072196","0.378050631688475","0.415133636455918"
"Paid","1984","Full Time","Female","244","0.212539588303783","0.185292291200987","0.239786885406579"
"Paid","1984","Part Time","Male","164","0.505202412522215","0.447559533450407","0.562845291594024"
"Paid","1984","Part Time","Female","157","0.311574444333862","0.269569631179998","0.353579257487726"
"Paid","1984","Not Working","Male","22","","",""
"Paid","1984","Not Working","Female","13","","",""
"Not paid","1984","Full Time","Male","594","0.259868894495634","0.243246297823622","0.276491491167645"
"Not paid","1984","Full Time","Female","206","0.264703405207605","0.235320131104197","0.294086679311013"
"Not paid","1984","Part Time","Male","50","0.220518802229415","0.172719142611373","0.268318461847456"
"Not paid","1984","Part Time","Female","82","0.186509339940237","0.151181569570592","0.221837110309883"
"Not paid","1984","Not Working","Male","11","","",""
"Not paid","1984","Not Working","Female","7","","",""
"Acclaimed","1985","Full Time","Male","403","0.205603392385421","0.188784354509003","0.222422430261838"
"Acclaimed","1985","Full Time","Female","288","0.425746786065001","0.390000425817315","0.461493146312687"
"Acclaimed","1985","Part Time","Male","52","0.220258565383794","0.171630420847905","0.268886709919683"
"Acclaimed","1985","Part Time","Female","149","0.353437873638506","0.308618163233989","0.398257584043024"
"Acclaimed","1985","Not Working","Male","2","","",""
"Acclaimed","1985","Not Working","Female","10","","",""
"Partly, partly","1985","Full Time","Male","243","0.116679863785327","0.103319313614579","0.130040413956075"
"Partly, partly","1985","Full Time","Female","71","0.106950177616146","0.084607613094838","0.129292742137454"
"Partly, partly","1985","Part Time","Male","33","0.125645532014955","0.086753263006682","0.164537801023227"
"Partly, partly","1985","Part Time","Female","53","0.123625819848906","0.0927650502773165","0.154486589420495"
"Partly, partly","1985","Not Working","Male","2","","",""
"Partly, partly","1985","Not Working","Female","1","","",""
"Paid","1985","Full Time","Male","987","0.376481483927845","0.356318081947424","0.396644885908267"
"Paid","1985","Full Time","Female","192","0.19823458697878","0.169413006301831","0.227056167655728"
"Paid","1985","Part Time","Male","149","0.463981252572519","0.405463694384822","0.522498810760215"
"Paid","1985","Part Time","Female","143","0.308604064112344","0.265295717464602","0.351912410760086"
"Paid","1985","Not Working","Male","11","","",""
"Paid","1985","Not Working","Female","11","","",""
"Not paid","1985","Full Time","Male","585","0.301235259901407","0.282141752504635","0.320328767298179"
"Not paid","1985","Full Time","Female","184","0.269068449340073","0.237007663455433","0.301129235224713"
"Not paid","1985","Part Time","Male","45","0.190114650028733","0.144071444337682","0.236157855719784"
"Not paid","1985","Part Time","Female","92","0.214332242400244","0.175857954381025","0.252806530419463"
"Not paid","1985","Not Working","Male","4","","",""
"Not paid","1985","Not Working","Female","11","","",""
"Acclaimed","1986","Full Time","Male","462","0.245653020290031","0.227346008265449","0.263960032314613"
"Acclaimed","1986","Full Time","Female","279","0.441367647230577","0.404477808128071","0.478257486333083"
"Acclaimed","1986","Part Time","Male","43","0.194461708420478","0.143858936985376","0.24506447985558"
"Acclaimed","1986","Part Time","Female","175","0.429746402149861","0.38234608786274","0.477146716436981"
"Acclaimed","1986","Not Working","Male","5","","",""
"Acclaimed","1986","Not Working","Female","5","","",""
"Partly, partly","1986","Full Time","Male","243","0.12537678983976","0.111293960809084","0.139459618870436"
"Partly, partly","1986","Full Time","Female","83","0.116494158471134","0.0926599760996035","0.140328340842665"
"Partly, partly","1986","Part Time","Male","27","","",""
"Partly, partly","1986","Part Time","Female","37","0.0906306605808795","0.0631423020992177","0.118119019062541"
"Partly, partly","1986","Not Working","Male","3","","",""
"Partly, partly","1986","Not Working","Female","2","","",""
"Paid","1986","Full Time","Male","1031","0.417167526846328","0.396197549917275","0.43813750377538"
"Paid","1986","Full Time","Female","173","0.19699838957525","0.167450054359781","0.226546724790718"
"Paid","1986","Part Time","Male","135","0.55033657276003","0.486734373884725","0.613938771635336"
"Paid","1986","Part Time","Female","136","0.311067927448896","0.266742095148496","0.355393759749297"
"Paid","1986","Not Working","Male","12","","",""
"Paid","1986","Not Working","Female","11","","",""
"Not paid","1986","Full Time","Male","388","0.211802663023881","0.19442649431655","0.229178831731212"
"Not paid","1986","Full Time","Female","161","0.245139804723039","0.213181506018012","0.277098103428065"
"Not paid","1986","Part Time","Male","30","0.119710549552855","0.0782062469549706","0.16121485215074"
"Not paid","1986","Part Time","Female","71","0.168555009820363","0.132710002569815","0.204400017070912"
"Not paid","1986","Not Working","Male","6","","",""
"Not paid","1986","Not Working","Female","5","","",""
"Acclaimed","1987","Full Time","Male","","","",""
"Acclaimed","1987","Full Time","Female","","","",""
"Acclaimed","1987","Part Time","Male","","","",""
"Acclaimed","1987","Part Time","Female","","","",""
"Acclaimed","1987","Not Working","Male","","","",""
"Acclaimed","1987","Not Working","Female","","","",""
"Partly, partly","1987","Full Time","Male","","","",""
"Partly, partly","1987","Full Time","Female","","","",""
"Partly, partly","1987","Part Time","Male","","","",""
"Partly, partly","1987","Part Time","Female","","","",""
"Partly, partly","1987","Not Working","Male","","","",""
"Partly, partly","1987","Not Working","Female","","","",""
"Paid","1987","Full Time","Male","","","",""
"Paid","1987","Full Time","Female","","","",""
"Paid","1987","Part Time","Male","","","",""
"Paid","1987","Part Time","Female","","","",""
"Paid","1987","Not Working","Male","","","",""
"Paid","1987","Not Working","Female","","","",""
"Not paid","1987","Full Time","Male","","","",""
"Not paid","1987","Full Time","Female","","","",""
"Not paid","1987","Part Time","Male","","","",""
"Not paid","1987","Part Time","Female","","","",""
"Not paid","1987","Not Working","Male","","","",""
"Not paid","1987","Not Working","Female","","","",""
"Acclaimed","1988","Full Time","Male","472","0.253962537340923","0.235143070101474","0.272782004580372"
"Acclaimed","1988","Full Time","Female","329","0.497415790579492","0.461095726584517","0.533735854574467"
"Acclaimed","1988","Part Time","Male","57","0.300926559398218","0.24004139186704","0.361811726929396"
"Acclaimed","1988","Part Time","Female","150","0.381426755273261","0.335354942995614","0.427498567550907"
"Acclaimed","1988","Not Working","Male","5","","",""
"Acclaimed","1988","Not Working","Female","8","","",""
"Partly, partly","1988","Full Time","Male","279","0.143668687294745","0.128503626624685","0.158833747964806"
"Partly, partly","1988","Full Time","Female","87","0.119783389355583","0.0961962387466503","0.143370539964516"
"Partly, partly","1988","Part Time","Male","19","","",""
"Partly, partly","1988","Part Time","Female","33","0.0859807766607376","0.0593911340367231","0.112570419284752"
"Partly, partly","1988","Not Working","Male","2","","",""
"Partly, partly","1988","Not Working","Female","","","",""
"Paid","1988","Full Time","Male","958","0.401279078619574","0.380086800062594","0.422471357176554"
"Paid","1988","Full Time","Female","172","0.170656978161969","0.143328746886176","0.197985209437761"
"Paid","1988","Part Time","Male","110","0.42979069887025","0.364075549539679","0.49550584820082"
"Paid","1988","Part Time","Female","178","0.362942052577116","0.317333922356053","0.40855018279818"
"Paid","1988","Not Working","Male","13","","",""
"Paid","1988","Not Working","Female","7","","",""
"Not paid","1988","Full Time","Male","346","0.201089696744757","0.18376019410447","0.218419199385045"
"Not paid","1988","Full Time","Female","140","0.212143841902956","0.182446260383728","0.241841423422185"
"Not paid","1988","Part Time","Male","32","0.183570435158233","0.132180203607157","0.234960666709308"
"Not paid","1988","Part Time","Female","66","0.169650415488885","0.134051062596136","0.205249768381634"
"Not paid","1988","Not Working","Male","4","","",""
"Not paid","1988","Not Working","Female","3","","",""
"Acclaimed","1989","Full Time","Male","481","0.252606604261868","0.234350184032459","0.270863024491277"
"Acclaimed","1989","Full Time","Female","343","0.454606239640374","0.420230397305998","0.488982081974751"
"Acclaimed","1989","Part Time","Male","38","0.221104668563857","0.160140227479647","0.282069109648067"
"Acclaimed","1989","Part Time","Female","173","0.401966790599684","0.356965661807691","0.446967919391677"
"Acclaimed","1989","Not Working","Male","3","","",""
"Acclaimed","1989","Not Working","Female","9","","",""
"Partly, partly","1989","Full Time","Male","342","0.162234729626776","0.14674471825735","0.177724740996201"
"Partly, partly","1989","Full Time","Female","104","0.131555362431196","0.10822046390049","0.154890260961902"
"Partly, partly","1989","Part Time","Male","27","","",""
"Partly, partly","1989","Part Time","Female","49","0.106367536742738","0.0780699311449812","0.134665142340496"
"Partly, partly","1989","Not Working","Male","1","","",""
"Partly, partly","1989","Not Working","Female","4","","",""
"Paid","1989","Full Time","Male","1012","0.399805222362748","0.379223155582034","0.420387289143462"
"Paid","1989","Full Time","Female","215","0.204110208066672","0.176284937239727","0.231935478893618"
"Paid","1989","Part Time","Male","86","0.419133264874071","0.346647553049328","0.491618976698814"
"Paid","1989","Part Time","Female","180","0.362993297260318","0.318857906744675","0.407128687775961"
"Paid","1989","Not Working","Male","15","","",""
"Paid","1989","Not Working","Female","9","","",""
"Not paid","1989","Full Time","Male","341","0.185353443748608","0.16902654918468","0.201680338312537"
"Not paid","1989","Full Time","Female","144","0.209728189861757","0.18162230779545","0.237834071928064"
"Not paid","1989","Part Time","Male","27","","",""
"Not paid","1989","Part Time","Female","54","0.128672375397259","0.0979397918814856","0.159404958913033"
"Not paid","1989","Not Working","Male","2","","",""
"Not paid","1989","Not Working","Female","4","","",""
"Acclaimed","1990","Full Time","Male","497","0.262545743772509","0.243963623108045","0.281127864436973"
"Acclaimed","1990","Full Time","Female","365","0.492337156518113","0.458034953959581","0.526639359076645"
"Acclaimed","1990","Part Time","Male","42","0.263364100214117","0.197153372994133","0.329574827434101"
"Acclaimed","1990","Part Time","Female","164","0.38319369809628","0.337972695572924","0.428414700619636"
"Acclaimed","1990","Not Working","Male","3","","",""
"Acclaimed","1990","Not Working","Female","6","","",""
"Partly, partly","1990","Full Time","Male","344","0.158543278881502","0.143118638364846","0.173967919398158"
"Partly, partly","1990","Full Time","Female","106","0.120653366290877","0.0983046395163936","0.14300209306536"
"Partly, partly","1990","Part Time","Male","23","","",""
"Partly, partly","1990","Part Time","Female","63","0.146643848304778","0.113739469799573","0.179548226809983"
"Partly, partly","1990","Not Working","Male","2","","",""
"Partly, partly","1990","Not Working","Female","1","","",""
"Paid","1990","Full Time","Male","994","0.397188967751762","0.376524966187794","0.41785296931573"
"Paid","1990","Full Time","Female","225","0.209576953326063","0.181651221039899","0.237502685612228"
"Paid","1990","Part Time","Male","87","0.47459592469327","0.39953181271296","0.549660036673579"
"Paid","1990","Part Time","Female","164","0.344185120782993","0.299993158654778","0.388377082911208"
"Paid","1990","Not Working","Male","14","","",""
"Paid","1990","Not Working","Female","8","","",""
"Not paid","1990","Full Time","Male","319","0.181722009594227","0.16543732160763","0.198006697580823"
"Not paid","1990","Full Time","Female","120","0.177432523864947","0.151220207944361","0.203644839785532"
"Not paid","1990","Part Time","Male","18","","",""
"Not paid","1990","Part Time","Female","53","0.125977332815949","0.0951124836783287","0.156842181953569"
"Not paid","1990","Not Working","Male","2","","",""
"Not paid","1990","Not Working","Female","1","","",""
"Acclaimed","1991","Full Time","Male","515","0.252220575860307","0.234219883762525","0.270221267958089"
"Acclaimed","1991","Full Time","Female","393","0.471824565414048","0.438595516140549","0.505053614687547"
"Acclaimed","1991","Part Time","Male","48","0.248823887616907","0.18669285968299","0.310954915550823"
"Acclaimed","1991","Part Time","Female","196","0.405233933053218","0.362750911069119","0.447716955037317"
"Acclaimed","1991","Not Working","Male","7","","",""
"Acclaimed","1991","Not Working","Female","5","","",""
"Partly, partly","1991","Full Time","Male","352","0.161117290385753","0.145879082723773","0.176355498047734"
"Partly, partly","1991","Full Time","Female","118","0.131262743190076","0.108784958654305","0.153740527725847"
"Partly, partly","1991","Part Time","Male","32","0.193361061499116","0.136604546466082","0.25011757653215"
"Partly, partly","1991","Part Time","Female","66","0.110559253576673","0.0834232762298097","0.137695230923537"
"Partly, partly","1991","Not Working","Male","7","","",""
"Partly, partly","1991","Not Working","Female","","","",""
"Paid","1991","Full Time","Male","1073","0.419376262752665","0.398923051339993","0.439829474165338"
"Paid","1991","Full Time","Female","234","0.223815983018595","0.19607215149475","0.25155981454244"
"Paid","1991","Part Time","Male","80","0.378658966788336","0.308951265849059","0.448366667727614"
"Paid","1991","Part Time","Female","200","0.368795684176964","0.327044643666648","0.410546724687281"
"Paid","1991","Not Working","Male","17","","",""
"Paid","1991","Not Working","Female","17","","",""
"Not paid","1991","Full Time","Male","296","0.167285871001274","0.15181588968608","0.182755852316468"
"Not paid","1991","Full Time","Female","122","0.173096708377281","0.147913543589559","0.198279873165003"
"Not paid","1991","Part Time","Male","26","","",""
"Not paid","1991","Part Time","Female","51","0.115411129193144","0.0877618388426862","0.143060419543603"
"Not paid","1991","Not Working","Male","1","","",""
"Not paid","1991","Not Working","Female","6","","",""
"Acclaimed","1992","Full Time","Male","798","0.27425758984166","0.258322177995843","0.290193001687476"
"Acclaimed","1992","Full Time","Female","686","0.500804803234968","0.474697498635245","0.526912107834691"
"Acclaimed","1992","Part Time","Male","77","0.260630432698647","0.207677566101994","0.3135832992953"
"Acclaimed","1992","Part Time","Female","266","0.40877156398334","0.371435462207645","0.446107665759035"
"Acclaimed","1992","Not Working","Male","10","","",""
"Acclaimed","1992","Not Working","Female","15","","",""
"Partly, partly","1992","Full Time","Male","546","0.185191147633088","0.171316221039948","0.199066074226229"
"Partly, partly","1992","Full Time","Female","220","0.157481142168109","0.138461747626553","0.176500536709666"
"Partly, partly","1992","Part Time","Male","35","0.140259870268142","0.0983712126192918","0.182148527916993"
