"plb0195_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1985","Urban Area","West Germany","708","0.275136218359109","0.258946631526592","0.291325805191626"
"Acclaimed","1985","Urban Area","East Germany","","","",""
"Acclaimed","1985","Rural Area","West Germany","196","0.258030764477529","0.227672611919994","0.288388917035064"
"Acclaimed","1985","Rural Area","East Germany","","","",""
"Partly, partly","1985","Urban Area","West Germany","325","0.119704194599444","0.107936193940379","0.13147219525851"
"Partly, partly","1985","Urban Area","East Germany","","","",""
"Partly, partly","1985","Rural Area","West Germany","78","0.100983144345773","0.080077911593512","0.121888377098034"
"Partly, partly","1985","Rural Area","East Germany","","","",""
"Paid","1985","Urban Area","West Germany","1191","0.336335523992064","0.319208009670506","0.353463038313621"
"Paid","1985","Urban Area","East Germany","","","",""
"Paid","1985","Rural Area","West Germany","302","0.339981502236781","0.307115086591066","0.372847917882496"
"Paid","1985","Rural Area","East Germany","","","",""
"Not paid","1985","Urban Area","West Germany","699","0.268824063049383","0.252751738302738","0.284896387796028"
"Not paid","1985","Urban Area","East Germany","","","",""
"Not paid","1985","Rural Area","West Germany","222","0.301004588939917","0.269179445777592","0.332829732102242"
"Not paid","1985","Rural Area","East Germany","","","",""
"Acclaimed","1986","Urban Area","West Germany","734","0.296586937385661","0.279632517654335","0.313541357116986"
"Acclaimed","1986","Urban Area","East Germany","","","",""
"Acclaimed","1986","Rural Area","West Germany","235","0.342091863179752","0.307794682407474","0.37638904395203"
"Acclaimed","1986","Rural Area","East Germany","","","",""
"Partly, partly","1986","Urban Area","West Germany","324","0.124840053965884","0.112570680203618","0.13710942772815"
"Partly, partly","1986","Urban Area","East Germany","","","",""
"Partly, partly","1986","Rural Area","West Germany","71","0.101933832552969","0.0800603584667441","0.123807306639194"
"Partly, partly","1986","Rural Area","East Germany","","","",""
"Paid","1986","Urban Area","West Germany","1208","0.364004144612737","0.346144121632228","0.381864167593245"
"Paid","1986","Urban Area","East Germany","","","",""
"Paid","1986","Rural Area","West Germany","290","0.371381652517879","0.336450881648887","0.40631242338687"
"Paid","1986","Rural Area","East Germany","","","",""
"Not paid","1986","Urban Area","West Germany","522","0.214568864035719","0.199330472994653","0.229807255076784"
"Not paid","1986","Urban Area","East Germany","","","",""
"Not paid","1986","Rural Area","West Germany","139","0.184592651749401","0.156544843075061","0.21264046042374"
"Not paid","1986","Rural Area","East Germany","","","",""
"Acclaimed","1987","Urban Area","West Germany","","","",""
"Acclaimed","1987","Urban Area","East Germany","","","",""
"Acclaimed","1987","Rural Area","West Germany","","","",""
"Acclaimed","1987","Rural Area","East Germany","","","",""
"Partly, partly","1987","Urban Area","West Germany","","","",""
"Partly, partly","1987","Urban Area","East Germany","","","",""
"Partly, partly","1987","Rural Area","West Germany","","","",""
"Partly, partly","1987","Rural Area","East Germany","","","",""
"Paid","1987","Urban Area","West Germany","","","",""
"Paid","1987","Urban Area","East Germany","","","",""
"Paid","1987","Rural Area","West Germany","","","",""
"Paid","1987","Rural Area","East Germany","","","",""
"Not paid","1987","Urban Area","West Germany","","","",""
"Not paid","1987","Urban Area","East Germany","","","",""
"Not paid","1987","Rural Area","West Germany","","","",""
"Not paid","1987","Rural Area","East Germany","","","",""
"Acclaimed","1988","Urban Area","West Germany","783","0.317903338297855","0.300574662806819","0.335232013788891"
"Acclaimed","1988","Urban Area","East Germany","","","",""
"Acclaimed","1988","Rural Area","West Germany","238","0.362293684139278","0.326584147748571","0.398003220529985"
"Acclaimed","1988","Rural Area","East Germany","","","",""
"Partly, partly","1988","Urban Area","West Germany","335","0.125463471252873","0.113136894352943","0.137790048152804"
"Partly, partly","1988","Urban Area","East Germany","","","",""
"Partly, partly","1988","Rural Area","West Germany","85","0.131639546687201","0.106521452847496","0.156757640526906"
"Partly, partly","1988","Rural Area","East Germany","","","",""
"Paid","1988","Urban Area","West Germany","1176","0.352852081981235","0.335069575160028","0.370634588802442"
"Paid","1988","Urban Area","East Germany","","","",""
