"plb0195_h","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","Schleswig-Holstein","Not Employed","","","",""
"Acclaimed","1984","Schleswig-Holstein","Employed","38","0.283790142035259","0.20937568203665","0.358204602033868"
"Acclaimed","1984","Hamburg","Not Employed","","","",""
"Acclaimed","1984","Hamburg","Employed","35","0.359660096186486","0.26915195940035","0.450168232972622"
"Acclaimed","1984","Lower Saxony","Not Employed","2","","",""
"Acclaimed","1984","Lower Saxony","Employed","129","0.307691082899005","0.26456607668646","0.350816089111549"
"Acclaimed","1984","Bremen","Not Employed","1","","",""
"Acclaimed","1984","Bremen","Employed","8","","",""
"Acclaimed","1984","North Rhine-Westphalia","Not Employed","4","","",""
"Acclaimed","1984","North Rhine-Westphalia","Employed","245","0.252568102666539","0.227145106770708","0.27799109856237"
"Acclaimed","1984","Hesse","Not Employed","2","","",""
"Acclaimed","1984","Hesse","Employed","114","0.30882853894477","0.266189104840809","0.351467973048732"
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Acclaimed","1984","Rhineland-Palatinate,Saarland","Employed","70","0.271624845747374","0.21807139477158","0.325178296723168"
"Acclaimed","1984","Baden-Württemberg","Not Employed","1","","",""
"Acclaimed","1984","Baden-Württemberg","Employed","150","0.232105358589031","0.202977756996693","0.261232960181369"
"Acclaimed","1984","Bavaria","Not Employed","2","","",""
"Acclaimed","1984","Bavaria","Employed","227","0.315152735185558","0.282317334199949","0.347988136171167"
"Acclaimed","1984","Berlin","Not Employed","","","",""
"Acclaimed","1984","Berlin","Employed","54","0.395959029720047","0.319459883398389","0.472458176041705"
"Acclaimed","1984","Brandenburg","Not Employed","","","",""
"Acclaimed","1984","Brandenburg","Employed","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Acclaimed","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Acclaimed","1984","Saxony","Not Employed","","","",""
"Acclaimed","1984","Saxony","Employed","","","",""
"Acclaimed","1984","Saxony-Anhalt","Not Employed","","","",""
"Acclaimed","1984","Saxony-Anhalt","Employed","","","",""
"Acclaimed","1984","Thuringia","Not Employed","","","",""
"Acclaimed","1984","Thuringia","Employed","","","",""
"Partly, partly","1984","Schleswig-Holstein","Not Employed","","","",""
"Partly, partly","1984","Schleswig-Holstein","Employed","15","","",""
"Partly, partly","1984","Hamburg","Not Employed","","","",""
"Partly, partly","1984","Hamburg","Employed","11","","",""
"Partly, partly","1984","Lower Saxony","Not Employed","","","",""
"Partly, partly","1984","Lower Saxony","Employed","50","0.112108734148094","0.0826291488964195","0.141588319399769"
"Partly, partly","1984","Bremen","Not Employed","","","",""
"Partly, partly","1984","Bremen","Employed","1","","",""
"Partly, partly","1984","North Rhine-Westphalia","Not Employed","2","","",""
"Partly, partly","1984","North Rhine-Westphalia","Employed","122","0.115888879115958","0.0971593883111241","0.134618369920791"
"Partly, partly","1984","Hesse","Not Employed","","","",""
"Partly, partly","1984","Hesse","Employed","48","0.106185332666875","0.0777527818116164","0.134617883522133"
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Partly, partly","1984","Rhineland-Palatinate,Saarland","Employed","23","","",""
"Partly, partly","1984","Baden-Württemberg","Not Employed","","","",""
"Partly, partly","1984","Baden-Württemberg","Employed","77","0.101417807836673","0.0805898189654558","0.12224579670789"
"Partly, partly","1984","Bavaria","Not Employed","4","","",""
"Partly, partly","1984","Bavaria","Employed","95","0.128919615506904","0.105234607330483","0.152604623683324"
"Partly, partly","1984","Berlin","Not Employed","","","",""
"Partly, partly","1984","Berlin","Employed","14","","",""
"Partly, partly","1984","Brandenburg","Not Employed","","","",""
"Partly, partly","1984","Brandenburg","Employed","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Partly, partly","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Partly, partly","1984","Saxony","Not Employed","","","",""
"Partly, partly","1984","Saxony","Employed","","","",""
"Partly, partly","1984","Saxony-Anhalt","Not Employed","","","",""
"Partly, partly","1984","Saxony-Anhalt","Employed","","","",""
"Partly, partly","1984","Thuringia","Not Employed","","","",""
"Partly, partly","1984","Thuringia","Employed","","","",""
"Paid","1984","Schleswig-Holstein","Not Employed","4","","",""
"Paid","1984","Schleswig-Holstein","Employed","57","0.374821167559759","0.294920074273202","0.454722260846317"
"Paid","1984","Hamburg","Not Employed","","","",""
"Paid","1984","Hamburg","Employed","47","0.391969382787963","0.299897926987875","0.48404083858805"
"Paid","1984","Lower Saxony","Not Employed","4","","",""
"Paid","1984","Lower Saxony","Employed","155","0.330682475839096","0.286723917489174","0.374641034189017"
"Paid","1984","Bremen","Not Employed","1","","",""
"Paid","1984","Bremen","Employed","21","","",""
"Paid","1984","North Rhine-Westphalia","Not Employed","11","","",""
"Paid","1984","North Rhine-Westphalia","Employed","521","0.380847550528433","0.352433964833642","0.409261136223225"
"Paid","1984","Hesse","Not Employed","3","","",""
"Paid","1984","Hesse","Employed","188","0.332149053858456","0.288681409741164","0.375616697975748"
"Paid","1984","Rhineland-Palatinate,Saarland","Not Employed","1","","",""
"Paid","1984","Rhineland-Palatinate,Saarland","Employed","112","0.384045929759012","0.325487300514725","0.4426045590033"
"Paid","1984","Baden-Württemberg","Not Employed","4","","",""
"Paid","1984","Baden-Württemberg","Employed","405","0.403696060178971","0.369844988802021","0.437547131555921"
"Paid","1984","Bavaria","Not Employed","5","","",""
"Paid","1984","Bavaria","Employed","268","0.28505911290461","0.253152004107789","0.316966221701431"
"Paid","1984","Berlin","Not Employed","2","","",""
"Paid","1984","Berlin","Employed","64","0.335376897077269","0.261526547944924","0.409227246209613"
"Paid","1984","Brandenburg","Not Employed","","","",""
"Paid","1984","Brandenburg","Employed","","","",""
"Paid","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Paid","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Paid","1984","Saxony","Not Employed","","","",""
"Paid","1984","Saxony","Employed","","","",""
"Paid","1984","Saxony-Anhalt","Not Employed","","","",""
"Paid","1984","Saxony-Anhalt","Employed","","","",""
"Paid","1984","Thuringia","Not Employed","","","",""
"Paid","1984","Thuringia","Employed","","","",""
"Not paid","1984","Schleswig-Holstein","Not Employed","","","",""
"Not paid","1984","Schleswig-Holstein","Employed","31","0.236276489260044","0.166160531706562","0.306392446813526"
"Not paid","1984","Hamburg","Not Employed","1","","",""
"Not paid","1984","Hamburg","Employed","15","","",""
"Not paid","1984","Lower Saxony","Not Employed","2","","",""
"Not paid","1984","Lower Saxony","Employed","106","0.249517707113805","0.209084083583123","0.289951330644487"
"Not paid","1984","Bremen","Not Employed","","","",""
"Not paid","1984","Bremen","Employed","6","","",""
"Not paid","1984","North Rhine-Westphalia","Not Employed","6","","",""
"Not paid","1984","North Rhine-Westphalia","Employed","234","0.25069546768907","0.22533518539376","0.276055749984379"
"Not paid","1984","Hesse","Not Employed","4","","",""
"Not paid","1984","Hesse","Employed","101","0.252837074529899","0.212723824055369","0.292950325004428"
"Not paid","1984","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Not paid","1984","Rhineland-Palatinate,Saarland","Employed","60","0.245605284113526","0.193779804960367","0.297430763266685"
"Not paid","1984","Baden-Württemberg","Not Employed","1","","",""
"Not paid","1984","Baden-Württemberg","Employed","175","0.262780773395325","0.232413454968164","0.293148091822486"
"Not paid","1984","Bavaria","Not Employed","4","","",""
"Not paid","1984","Bavaria","Employed","179","0.270868536402929","0.239458595349588","0.302278477456271"
"Not paid","1984","Berlin","Not Employed","","","",""
"Not paid","1984","Berlin","Employed","25","","",""
"Not paid","1984","Brandenburg","Not Employed","","","",""
"Not paid","1984","Brandenburg","Employed","","","",""
"Not paid","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Not paid","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Not paid","1984","Saxony","Not Employed","","","",""
"Not paid","1984","Saxony","Employed","","","",""
"Not paid","1984","Saxony-Anhalt","Not Employed","","","",""
"Not paid","1984","Saxony-Anhalt","Employed","","","",""
"Not paid","1984","Thuringia","Not Employed","","","",""
"Not paid","1984","Thuringia","Employed","","","",""
"Acclaimed","1985","Schleswig-Holstein","Not Employed","","","",""
"Acclaimed","1985","Schleswig-Holstein","Employed","38","0.284162374244202","0.209718480245522","0.358606268242882"
"Acclaimed","1985","Hamburg","Not Employed","1","","",""
"Acclaimed","1985","Hamburg","Employed","28","","",""
"Acclaimed","1985","Lower Saxony","Not Employed","","","",""
"Acclaimed","1985","Lower Saxony","Employed","111","0.310347635356762","0.262755618069739","0.357939652643786"
"Acclaimed","1985","Bremen","Not Employed","","","",""
"Acclaimed","1985","Bremen","Employed","5","","",""
"Acclaimed","1985","North Rhine-Westphalia","Not Employed","4","","",""
"Acclaimed","1985","North Rhine-Westphalia","Employed","212","0.255082134156753","0.227720628052468","0.282443640261039"
"Acclaimed","1985","Hesse","Not Employed","2","","",""
"Acclaimed","1985","Hesse","Employed","94","0.297894733522158","0.251730041356311","0.344059425688005"
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Not Employed","1","","",""
"Acclaimed","1985","Rhineland-Palatinate,Saarland","Employed","44","0.238857577576182","0.18077239027818","0.296942764874185"
