"plb0195_h","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Acclaimed","1984","Male","570","0.222413499519206","0.207542058441074","0.237284940597337","1"
"Acclaimed","1984","Female","512","0.404522782551805","0.378466993397349","0.430578571706262","1"
"Not paid","1984","Female","295","0.236345515097394","0.213791581409228","0.25889944878556","4"
"Not paid","1984","Male","655","0.255006333661915","0.23941978711775","0.27059288020608","4"
"Paid","1984","Female","414","0.252598976779144","0.229531887281448","0.275666066276839","3"
"Paid","1984","Male","1459","0.410234644886028","0.392645127544716","0.427824162227339","3"
"Partly, partly","1984","Male","320","0.112345521932851","0.101052816908036","0.123638226957666","2"
"Partly, partly","1984","Female","142","0.106532725571657","0.0901539660222018","0.122911485121112","2"
"Acclaimed","1985","Male","457","0.206494182872589","0.19067726932251","0.222311096422668","1"
"Acclaimed","1985","Female","447","0.395990983510295","0.368377644351888","0.423604322668702","1"
"Not paid","1985","Female","287","0.251474044347444","0.22697751360039","0.275970575094497","4"
"Not paid","1985","Male","634","0.289238152690523","0.271521461475011","0.306954843906036","4"
"Paid","1985","Female","346","0.241354673124886","0.217194401249174","0.265514945000598","3"
"Paid","1985","Male","1147","0.386801402020649","0.36777146420988","0.405831339831418","3"
"Partly, partly","1985","Male","278","0.117466262416238","0.104885266940771","0.130047257891706","2"
"Partly, partly","1985","Female","125","0.111180299017376","0.093431240445108","0.128929357589644","2"
"Acclaimed","1986","Male","510","0.240736365970046","0.223578192702176","0.257894539237916","1"
"Acclaimed","1986","Female","459","0.431518128738349","0.402741839320765","0.460294418155932","1"
"Not paid","1986","Female","237","0.216296025180676","0.192375139584794","0.240216910776558","4"
"Not paid","1986","Male","424","0.203132840542509","0.186986023118225","0.219279657966794","4"
"Paid","1986","Male","1178","0.429398307053688","0.409532757158974","0.449263856948403","3"
"Paid","1986","Female","320","0.246000603701429","0.22097811248292","0.271023094919939","3"
"Partly, partly","1986","Female","122","0.106185242379546","0.0882860761307817","0.12408440862831","2"
"Partly, partly","1986","Male","273","0.126732486433756","0.113381248693904","0.140083724173609","2"
"Acclaimed","1987","Male","","","","","1"
"Acclaimed","1987","Female","","","","","1"
"Not paid","1987","Female","","","","","4"
"Not paid","1987","Male","","","","","4"
"Paid","1987","Male","","","","","3"
"Paid","1987","Female","","","","","3"
"Partly, partly","1987","Male","","","","","2"
"Partly, partly","1987","Female","","","","","2"
"Acclaimed","1988","Male","534","0.257412763974462","0.239533222689873","0.275292305259051","1"
"Acclaimed","1988","Female","487","0.454899247652047","0.426402513886274","0.483395981417819","1"
"Not paid","1988","Male","382","0.199393539480762","0.183054268330998","0.215732810630526","4"
"Not paid","1988","Female","209","0.196663358696115","0.173917119645606","0.219409597746624","4"
"Paid","1988","Male","1081","0.405088305826092","0.385012698175578","0.425163913476606","3"
"Paid","1988","Female","357","0.242423741959688","0.217899260242318","0.266948223677057","3"
"Partly, partly","1988","Male","300","0.138105390718684","0.123996268643934","0.152214512793434","2"
"Partly, partly","1988","Female","120","0.10601365169215","0.0883961052289097","0.123631198155391","2"
"Acclaimed","1989","Female","525","0.432763482665031","0.405705366681859","0.459821598648204","1"
"Acclaimed","1989","Male","522","0.249005785333142","0.231614194934753","0.26639737573153","1"
"Not paid","1989","Male","370","0.184375598519015","0.168779602675688","0.199971594362341","4"
"Not paid","1989","Female","202","0.17950319774081","0.15854448039273","0.20046191508889","4"
"Paid","1989","Male","1113","0.403456683617781","0.38372629073104","0.423187076504521","3"
"Paid","1989","Female","404","0.265261242683411","0.241151446770477","0.289371038596344","3"
"Partly, partly","1989","Male","370","0.163161932530063","0.14830098782465","0.178022877235477","2"
"Partly, partly","1989","Female","157","0.122472076910748","0.104568526095808","0.140375627725688","2"
"Acclaimed","1990","Female","535","0.450925783147427","0.423624012540317","0.478227553754537","1"
"Acclaimed","1990","Male","542","0.262873492377953","0.245057046229826","0.280689938526079","1"
"Not paid","1990","Male","339","0.176150242538812","0.160731736353677","0.191568748723948","4"
"Not paid","1990","Female","174","0.158286983720582","0.138259454359786","0.178314513081379","4"
"Paid","1990","Male","1095","0.403715557413742","0.383857299380832","0.423573815446652","3"
"Paid","1990","Female","397","0.26197500287566","0.237848842156233","0.286101163595086","3"
"Partly, partly","1990","Male","369","0.157260707669493","0.142526275564812","0.171995139774174","2"
"Partly, partly","1990","Female","170","0.128812230256331","0.110431735868079","0.147192724644583","2"
"Acclaimed","1991","Female","1046","0.46307849194866","0.442452130487203","0.483704853410118","1"
"Acclaimed","1991","Male","980","0.280662574789529","0.265766114556815","0.295559035022243","1"
"Not paid","1991","Male","482","0.16320033034566","0.150948646882333","0.175452013808987","4"
"Not paid","1991","Female","312","0.153603091536275","0.138687965386203","0.168518217686346","4"
"Paid","1991","Male","1491","0.396370752070734","0.380154128390572","0.412587375750897","3"
"Paid","1991","Female","611","0.263451504596547","0.245229718957242","0.281673290235852","3"
"Partly, partly","1991","Female","276","0.119866911918518","0.106431105096841","0.133302718740195","2"
"Partly, partly","1991","Male","542","0.159766342794077","0.147619394440541","0.171913291147612","2"
"Acclaimed","1992","Female","967","0.470130491152641","0.448804025024554","0.491456957280727","1"
"Acclaimed","1992","Male","885","0.274900289871074","0.259669872896509","0.290130706845638","1"
"Not paid","1992","Male","467","0.158785449522161","0.146317814842293","0.171253084202029","4"
"Not paid","1992","Female","307","0.149849796962067","0.134598698176275","0.165100895747859","4"
"Paid","1992","Male","1364","0.385258647303353","0.368657131590877","0.401860163015829","3"
"Paid","1992","Female","521","0.233768085010159","0.215683941222257","0.251852228798061","3"
"Partly, partly","1992","Female","309","0.146251626875134","0.131152893338443","0.161350360411824","2"
"Partly, partly","1992","Male","585","0.181055613303412","0.167919752702345","0.19419147390448","2"
"Acclaimed","1993","Male","803","0.266156776223481","0.250762366409042","0.28155118603792","1"
"Acclaimed","1993","Female","1001","0.471796692133666","0.450496433955511","0.493096950311822","1"
"Not paid","1993","Male","495","0.178742773703693","0.165396916177476","0.19208863122991","4"
"Not paid","1993","Female","309","0.157355928136056","0.141818808753832","0.172893047518279","4"
"Paid","1993","Male","1270","0.373226814553499","0.356379361340643","0.390074267766356","3"
"Paid","1993","Female","496","0.233207749671234","0.215164398156274","0.251251101186193","3"
"Partly, partly","1993","Female","304","0.137639630059044","0.122939438070665","0.152339822047424","2"
"Partly, partly","1993","Male","598","0.181873635519326","0.168437087643081","0.195310183395572","2"
"Acclaimed","1994","Male","873","0.29131418200945","0.275278088088203","0.307350275930697","1"
"Acclaimed","1994","Female","1054","0.499930645429631","0.478641775289724","0.521219515569538","1"
"Not paid","1994","Male","486","0.176177805217662","0.16273211044858","0.189623499986744","4"
"Not paid","1994","Female","311","0.148880243752663","0.133723828900822","0.164036658604505","4"
"Paid","1994","Female","451","0.214137971330847","0.196671603287578","0.231604339374117","3"
"Paid","1994","Male","1122","0.338635893416668","0.321933538368419","0.355338248464917","3"
"Partly, partly","1994","Female","303","0.137051139486859","0.122408597843021","0.151693681130696","2"
"Partly, partly","1994","Male","603","0.19387211935622","0.17991966674206","0.207824571970379","2"
"Acclaimed","1995","Male","903","0.286316752992695","0.270860990238051","0.301772515747339","1"
"Acclaimed","1995","Female","1147","0.509245630951001","0.488621386162529","0.529869875739473","1"
"Not paid","1995","Male","509","0.177367030921303","0.164306711012004","0.190427350830602","4"
"Not paid","1995","Female","310","0.147892246062502","0.133246811170279","0.162537680954726","4"
"Paid","1995","Female","454","0.19835685923382","0.181905701610951","0.214808016856689","3"
"Paid","1995","Male","1226","0.33710832907881","0.320945390071748","0.353271268085872","3"
"Partly, partly","1995","Female","346","0.144505263752677","0.129999759996649","0.159010767508705","2"
"Partly, partly","1995","Male","648","0.199207887007192","0.185551762443999","0.212864011570384","2"
"Acclaimed","1996","Male","1041","0.339954947095412","0.323493662273256","0.356416231917567","1"
"Acclaimed","1996","Female","1171","0.528618503015945","0.507654384839368","0.549582621192522","1"
"Not paid","1996","Male","481","0.172716909081382","0.159580981091938","0.185852837070826","4"
"Not paid","1996","Female","314","0.145670369999092","0.130854829519539","0.160485910478644","4"
"Paid","1996","Female","403","0.178249573053705","0.1621763351941","0.19432281091331","3"
"Paid","1996","Male","1069","0.304984216685946","0.288984869142577","0.320983564229315","3"
"Partly, partly","1996","Male","590","0.18234392713726","0.168925635035083","0.195762219239437","2"
"Partly, partly","1996","Female","290","0.147461553931259","0.132570839227962","0.162352268634556","2"
"Acclaimed","1997","Male","963","0.355596636762189","0.337805433635169","0.373387839889209","1"
"Acclaimed","1997","Female","1006","0.556738812598862","0.533922328627332","0.579555296570391","1"
"Not paid","1997","Female","293","0.164640128758325","0.147606868936105","0.181673388580545","4"
"Not paid","1997","Male","489","0.207882963633339","0.192801214124645","0.222964713142033","4"
"Paid","1997","Female","231","0.114642913723581","0.100010163490925","0.129275663956237","3"
"Paid","1997","Male","646","0.204784374681205","0.18978619828019","0.219782551082219","3"
"Partly, partly","1997","Male","683","0.231736024923267","0.216054091432749","0.247417958413784","2"
"Partly, partly","1997","Female","291","0.163978144919233","0.146972429074675","0.180983860763791","2"
"Acclaimed","1998","Male","1117","0.379308329332802","0.36200877123738","0.396607887428224","1"
"Acclaimed","1998","Female","1103","0.543917411530052","0.522132567050452","0.565702256009653","1"
"Not paid","1998","Female","305","0.148745861610518","0.133181966304908","0.164309756916127","4"
"Not paid","1998","Male","547","0.200999040586644","0.186711038543767","0.215287042629521","4"
"Paid","1998","Female","242","0.119817172087658","0.105613121346417","0.134021222828898","3"
"Paid","1998","Male","633","0.196499916826111","0.182333010917521","0.210666822734701","3"
"Partly, partly","1998","Male","725","0.223192713254443","0.208347121542646","0.23803830496624","2"
"Partly, partly","1998","Female","358","0.187519554771772","0.170447099759872","0.204592009783672","2"
"Acclaimed","1999","Male","1089","0.376691772347973","0.35929144829199","0.394092096403956","1"
"Acclaimed","1999","Female","1118","0.573308510482441","0.55156146102107","0.595055559943813","1"
"Not paid","1999","Female","304","0.151890457288977","0.13610924444862","0.167671670129333","4"
"Not paid","1999","Male","537","0.197914434152697","0.183606994446757","0.212221873858637","4"
"Paid","1999","Male","618","0.186595729198705","0.172605755008073","0.200585703389337","3"
"Paid","1999","Female","230","0.103292220002495","0.0899106080395699","0.11667383196542","3"
"Partly, partly","1999","Male","735","0.238798064300625","0.223487958833165","0.254108169768084","2"
"Partly, partly","1999","Female","335","0.171508812226087","0.154934469163537","0.188083155288637","2"
"Acclaimed","2000","Male","1972","0.40017695612718","0.386606423086483","0.413747489167877","1"
"Acclaimed","2000","Female","1929","0.590917326702138","0.574093922452824","0.607740730951452","1"
"Not paid","2000","Female","459","0.135554696046772","0.123841618480687","0.147267773612856","4"
"Not paid","2000","Male","918","0.181186189198013","0.170517417534311","0.191854960861714","4"
"Paid","2000","Male","931","0.184126886784","0.173391215358106","0.194862558209894","3"
"Paid","2000","Female","377","0.113643036711507","0.102783264361285","0.124502809061729","3"
"Partly, partly","2000","Male","1186","0.234509967890807","0.222774248440948","0.246245687340665","2"
"Partly, partly","2000","Female","516","0.159884940539584","0.1473443455951","0.172425535484068","2"
