"plb0195_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","(0) in school","in school","","","",""
"Acclaimed","1984","(0) in school","inadequately","","","",""
"Acclaimed","1984","(0) in school","general elemantary","","","",""
"Acclaimed","1984","(0) in school","middle vocational","","","",""
"Acclaimed","1984","(0) in school","vocational + Abi","","","",""
"Acclaimed","1984","(0) in school","higher vocational","","","",""
"Acclaimed","1984","(0) in school","higher education","","","",""
"Acclaimed","1984","(1a) inadequately completed","in school","","","",""
"Acclaimed","1984","(1a) inadequately completed","inadequately","18","","",""
"Acclaimed","1984","(1a) inadequately completed","general elemantary","","","",""
"Acclaimed","1984","(1a) inadequately completed","middle vocational","2","","",""
"Acclaimed","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Acclaimed","1984","(1a) inadequately completed","higher vocational","1","","",""
"Acclaimed","1984","(1a) inadequately completed","higher education","","","",""
"Acclaimed","1984","(1b) general elementary school","in school","","","",""
"Acclaimed","1984","(1b) general elementary school","inadequately","","","",""
"Acclaimed","1984","(1b) general elementary school","general elemantary","134","0.230680953659771","0.199780980904811","0.261580926414731"
"Acclaimed","1984","(1b) general elementary school","middle vocational","","","",""
"Acclaimed","1984","(1b) general elementary school","vocational + Abi","","","",""
"Acclaimed","1984","(1b) general elementary school","higher vocational","","","",""
"Acclaimed","1984","(1b) general elementary school","higher education","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","in school","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","inadequately","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","middle vocational","440","0.284023006450109","0.262369068583879","0.305676944316339"
"Acclaimed","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Acclaimed","1984","(1c) basic vocational qualification","higher vocational","37","0.219545533951074","0.156764864267151","0.282326203634998"
"Acclaimed","1984","(1c) basic vocational qualification","higher education","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","in school","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","inadequately","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","general elemantary","48","0.451705661656395","0.356516371285526","0.546894952027264"
"Acclaimed","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Acclaimed","1984","(2b) intermediate general qualification","higher education","","","",""
"Acclaimed","1984","(2a) intermediate vocational","in school","","","",""
"Acclaimed","1984","(2a) intermediate vocational","inadequately","","","",""
"Acclaimed","1984","(2a) intermediate vocational","general elemantary","","","",""
"Acclaimed","1984","(2a) intermediate vocational","middle vocational","212","0.380477590881015","0.340049218223568","0.420905963538462"
"Acclaimed","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Acclaimed","1984","(2a) intermediate vocational","higher vocational","42","0.394680998837995","0.302921696107445","0.486440301568545"
"Acclaimed","1984","(2a) intermediate vocational","higher education","","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","in school","","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","middle vocational","19","","",""
"Acclaimed","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
