"ple0053","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","Male","313","0.118357187036158","0.106487190045363","0.130227184026953"
"Yes","1984","lower secondary degree","Female","416","0.128276681706398","0.116822292293928","0.139731071118869"
"Yes","1984","secondary school degree","Male","58","0.0703870800858184","0.0530057111452597","0.087768449026377"
"Yes","1984","secondary school degree","Female","143","0.12543968569061","0.106050585877887","0.144828785503334"
"Yes","1984","college entrance qualification","Male","56","0.0699759886576052","0.0523423608927914","0.087609616422419"
"Yes","1984","college entrance qualification","Female","44","0.0933816664642123","0.0675661249992804","0.119197207929144"
"Yes","1984","Other degree","Male","95","0.122454439818761","0.100709256473669","0.144199623163853"
"Yes","1984","Other degree","Female","84","0.147778855243587","0.118797469257961","0.176760241229214"
"Yes","1984","no degree/no degree yet","Male","61","0.0756924303426066","0.0543493762543312","0.0970354844308821"
"Yes","1984","no degree/no degree yet","Female","93","0.097904545067052","0.0760907614755932","0.119718328658511"
"No","1984","lower secondary degree","Male","2532","0.881642812963842","0.869772815973047","0.893512809954637"
"No","1984","lower secondary degree","Female","2858","0.871723318293602","0.860268928881131","0.883177707706072"
"No","1984","secondary school degree","Male","774","0.929612919914182","0.912231550973623","0.94699428885474"
"No","1984","secondary school degree","Female","978","0.87456031430939","0.855171214496667","0.893949414122113"
"No","1984","college entrance qualification","Male","748","0.930024011342395","0.912390383577581","0.947657639107209"
"No","1984","college entrance qualification","Female","444","0.906618333535788","0.880802792070856","0.93243387500072"
"No","1984","Other degree","Male","778","0.877545560181239","0.855800376836147","0.899290743526331"
"No","1984","Other degree","Female","492","0.852221144756413","0.823239758770786","0.881202530742039"
"No","1984","no degree/no degree yet","Male","529","0.924307569657393","0.902964515569118","0.945650623745669"
"No","1984","no degree/no degree yet","Female","620","0.902095454932948","0.880281671341489","0.923909238524407"
"Yes","1985","lower secondary degree","Male","251","0.101108387038922","0.0894302016952129","0.112786572382631"
"Yes","1985","lower secondary degree","Female","383","0.131107577458005","0.118855049200534","0.143360105715476"
"Yes","1985","secondary school degree","Male","63","0.0829992585809306","0.0638460790204614","0.1021524381414"
"Yes","1985","secondary school degree","Female","142","0.131744101029622","0.111619713009114","0.151868489050129"
"Yes","1985","college entrance qualification","Male","55","0.0734639991070406","0.0550002945872161","0.0919277036268651"
"Yes","1985","college entrance qualification","Female","70","0.135033883965692","0.104004292350926","0.166063475580457"
"Yes","1985","Other degree","Male","76","0.11147819374675","0.0888635041915051","0.134092883301995"
"Yes","1985","Other degree","Female","78","0.179006373943508","0.144782535881422","0.213230212005595"
"Yes","1985","no degree/no degree yet","Male","53","0.0735148905223487","0.0509531078893126","0.0960766731553847"
"Yes","1985","no degree/no degree yet","Female","79","0.151004459576249","0.122039252905798","0.179969666246701"
"No","1985","lower secondary degree","Male","2309","0.898891612961078","0.887213427617369","0.910569798304787"
"No","1985","lower secondary degree","Female","2532","0.868892422541995","0.856639894284524","0.881144950799466"
"No","1985","secondary school degree","Male","734","0.917000741419069","0.8978475618586","0.936153920979539"
"No","1985","secondary school degree","Female","943","0.868255898970378","0.848131510949871","0.888380286990886"
"No","1985","college entrance qualification","Male","712","0.926536000892959","0.908072296373135","0.944999705412784"
"No","1985","college entrance qualification","Female","396","0.864966116034308","0.833936524419543","0.895995707649074"
"No","1985","Other degree","Male","668","0.88852180625325","0.865907116698005","0.911136495808495"
