"ple0053","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","Male","404","0.101504094572484","0.0922736765414402","0.110734512603529"
"Yes","1984","no migration background","Female","556","0.122129370940497","0.112622581035466","0.131636160845528"
"Yes","1984","direct migration background","Male","177","0.0962955328710662","0.082716605235832","0.1098744605063"
"Yes","1984","direct migration background","Female","230","0.147047450124335","0.129672529371341","0.164422370877329"
"Yes","1984","indirect migration background","Male","4","","",""
"Yes","1984","indirect migration background","Female","2","","",""
"No","1984","no migration background","Male","3708","0.898495905427516","0.889265487396471","0.90772632345856"
"No","1984","no migration background","Female","4001","0.877870629059503","0.868363839154472","0.887377418964534"
"No","1984","direct migration background","Male","1636","0.903704467128934","0.890125539493699","0.917283394764168"
"No","1984","direct migration background","Female","1366","0.852952549875665","0.835577629122671","0.870327470628659"
"No","1984","indirect migration background","Male","58","0.980826559660782","0.946691679832836","1.01496143948873"
"No","1984","indirect migration background","Female","64","0.995885640497566","0.980442629641675","1.01132865135346"
"Yes","1985","no migration background","Male","347","0.0936262205350281","0.0843787265426241","0.102873714527432"
"Yes","1985","no migration background","Female","558","0.133298049373579","0.122980443654758","0.143615655092399"
"Yes","1985","direct migration background","Male","146","0.0792279503501823","0.0658592146906871","0.0925966860096775"
"Yes","1985","direct migration background","Female","195","0.130843692375946","0.113006020895262","0.148681363856631"
"Yes","1985","indirect migration background","Male","9","","",""
"Yes","1985","indirect migration background","Female","9","","",""
"No","1985","no migration background","Male","3465","0.906373779464972","0.897126285472568","0.915621273457376"
"No","1985","no migration background","Female","3611","0.866701950626421","0.856384344907601","0.877019556345242"
"No","1985","direct migration background","Male","1422","0.920772049649818","0.907403313990322","0.934140785309313"
"No","1985","direct migration background","Female","1178","0.869156307624054","0.851318636143369","0.886993979104738"
"No","1985","indirect migration background","Male","57","0.9208418200221","0.855706501590555","0.985977138453644"
"No","1985","indirect migration background","Female","69","0.872039811178408","0.797907697692751","0.946171924664065"
