"ple0053","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Schleswig-Holstein","direct migration background","38","0.963174834606062","0.904811108338444","1.02153856087368","2"
"No","1984","Hamburg","indirect migration background","1","","","","2"
"No","1984","Lower Saxony","no migration background","920","0.895010897611306","0.876254013997282","0.91376778122533","2"
"No","1984","Bremen","direct migration background","27","","","","2"
"No","1984","Hamburg","direct migration background","82","0.926434099427656","0.872498888668038","0.980369310187273","2"
"No","1984","North Rhine-Westphalia","direct migration background","844","0.886564204801092","0.866430124474919","0.906698285127266","2"
"No","1984","Hesse","no migration background","689","0.894363853129746","0.872596927109052","0.916130779150439","2"
"No","1984","Bremen","indirect migration background","","","","","2"
"No","1984","Hesse","direct migration background","406","0.860073843661191","0.828810541864768","0.891337145457613","2"
"No","1984","Hesse","indirect migration background","12","","","","2"
"No","1984","North Rhine-Westphalia","no migration background","2011","0.886839656714434","0.873796346632937","0.899882966795931","2"
"No","1984","Bremen","no migration background","87","0.870329289760031","0.803817628144435","0.936840951375628","2"
"No","1984","Lower Saxony","direct migration background","172","0.797553190310338","0.742140695554378","0.852965685066298","2"
"No","1984","Rhineland-Palatinate,Saarland","no migration background","617","0.881032589632958","0.856980464092961","0.905084715172955","2"
"No","1984","Lower Saxony","indirect migration background","6","","","","2"
"No","1984","Rhineland-Palatinate,Saarland","indirect migration background","5","","","","2"
"No","1984","Schleswig-Holstein","no migration background","304","0.900300509183313","0.868501680748346","0.93209933761828","2"
"No","1984","Rhineland-Palatinate,Saarland","direct migration background","141","0.929381930850816","0.88878834586448","0.969975515837153","2"
"No","1984","North Rhine-Westphalia","indirect migration background","39","0.994001960692113","0.970073411395899","1.01793050998833","2"
"No","1984","Schleswig-Holstein","indirect migration background","4","","","","2"
"No","1984","Hamburg","no migration background","191","0.866234777302963","0.821151503054633","0.911318051551292","2"
"No","1984","Baden-Württemberg","no migration background","1198","0.889827473378552","0.873100586456508","0.906554360300596","2"
"No","1984","Baden-Württemberg","direct migration background","773","0.866440160181217","0.844091045736241","0.888789274626192","2"
"No","1984","Baden-Württemberg","indirect migration background","27","","","","2"
"No","1984","Bavaria","no migration background","1434","0.883412814943121","0.867780189497819","0.899045440388423","2"
"No","1984","Bavaria","direct migration background","410","0.887781199285377","0.858874324890319","0.916688073680436","2"
"No","1984","Bavaria","indirect migration background","26","","","","2"
"No","1984","Berlin","no migration background","258","0.882400823358833","0.845452753322589","0.919348893395078","2"
"No","1984","Berlin","direct migration background","109","0.961347188588257","0.926267981310087","0.996426395866428","2"
"No","1984","Brandenburg","no migration background","","","","","2"
"No","1984","Brandenburg","direct migration background","","","","","2"
"No","1984","Brandenburg","indirect migration background","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"No","1984","Saxony","no migration background","","","","","2"
"No","1984","Berlin","indirect migration background","2","","","","2"
"No","1984","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"No","1984","Saxony","direct migration background","","","","","2"
"No","1984","Saxony","indirect migration background","","","","","2"
"No","1984","Saxony-Anhalt","no migration background","","","","","2"
"No","1984","Saxony-Anhalt","direct migration background","","","","","2"
"No","1984","Saxony-Anhalt","indirect migration background","","","","","2"
"No","1984","Thuringia","no migration background","","","","","2"
"No","1984","Thuringia","direct migration background","","","","","2"
"No","1984","Thuringia","indirect migration background","","","","","2"
"Yes","1984","Schleswig-Holstein","no migration background","37","0.0996994908166871","0.0679006623817204","0.131498319251654","1"
"Yes","1984","Schleswig-Holstein","direct migration background","2","","","","1"
"Yes","1984","Schleswig-Holstein","indirect migration background","1","","","","1"
"Yes","1984","Hamburg","no migration background","28","","","","1"
"Yes","1984","Hamburg","direct migration background","8","","","","1"
"Yes","1984","Hamburg","indirect migration background","","","","","1"
"Yes","1984","Lower Saxony","no migration background","106","0.104989102388694","0.0862322187746697","0.123745986002718","1"
"Yes","1984","Lower Saxony","direct migration background","30","0.202446809689662","0.147034314933702","0.257859304445622","1"
"Yes","1984","Lower Saxony","indirect migration background","1","","","","1"
"Yes","1984","Bremen","no migration background","11","","","","1"
"Yes","1984","Bremen","direct migration background","7","","","","1"
"Yes","1984","Bremen","indirect migration background","","","","","1"
"Yes","1984","North Rhine-Westphalia","no migration background","255","0.113160343285566","0.100117033204069","0.126203653367063","1"
"Yes","1984","North Rhine-Westphalia","direct migration background","109","0.113435795198907","0.0933017148727339","0.133569875525081","1"
"Yes","1984","North Rhine-Westphalia","indirect migration background","1","","","","1"
"Yes","1984","Hesse","no migration background","77","0.105636146870254","0.0838692208495611","0.127403072890948","1"
