"ple0053","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","1-pers.-HH","103","0.157029215952736","0.129145175156186","0.184913256749286"
"Yes","1984","Not Employed","(Married) couple without C. ","149","0.12716512725172","0.108385585076779","0.145944669426661"
"Yes","1984","Not Employed","Single parent ","22","","",""
"Yes","1984","Not Employed","Couple + C. LE 16 ","147","0.153086298332667","0.129403700034326","0.176768896631008"
"Yes","1984","Not Employed","Couple + C. GT 16 ","60","0.0853123773990796","0.0644841893158835","0.106140565482276"
"Yes","1984","Not Employed","Couple + C. LE and GT 16","47","0.0641805560645155","0.0446359288317138","0.0837251832973172"
"Yes","1984","Employed","1-pers.-HH","70","0.0972122203399219","0.0748966996954744","0.119527740984369"
"Yes","1984","Employed","(Married) couple without C. ","149","0.104199429714923","0.0886865189199476","0.119712340509897"
"Yes","1984","Employed","Single parent ","31","0.0863649005658233","0.0568942037868843","0.115835597344762"
"Yes","1984","Employed","Couple + C. LE 16 ","246","0.115415849853694","0.102030568205736","0.128801131501652"
"Yes","1984","Employed","Couple + C. GT 16 ","128","0.0931631736428534","0.0773446912867232","0.108981655998984"
"Yes","1984","Employed","Couple + C. LE and GT 16","125","0.107316430722579","0.089132725206397","0.125500136238762"
"No","1984","Not Employed","1-pers.-HH","551","0.842970784047264","0.815086743250714","0.870854824843814"
"No","1984","Not Employed","(Married) couple without C. ","1060","0.87283487274828","0.854055330573339","0.891614414923221"
"No","1984","Not Employed","Single parent ","207","0.894217056781858","0.854382531329573","0.934051582234142"
"No","1984","Not Employed","Couple + C. LE 16 ","741","0.846913701667333","0.823231103368992","0.870596299965674"
"No","1984","Not Employed","Couple + C. GT 16 ","631","0.91468762260092","0.893859434517724","0.935515810684117"
"No","1984","Not Employed","Couple + C. LE and GT 16","557","0.935819443935484","0.916274816702683","0.955364071168286"
"No","1984","Employed","1-pers.-HH","607","0.902787779660078","0.880472259015631","0.925103300304526"
"No","1984","Employed","(Married) couple without C. ","1341","0.895800570285077","0.880287659490102","0.911313481080052"
"No","1984","Employed","Single parent ","318","0.913635099434177","0.884164402655238","0.943105796213116"
"No","1984","Employed","Couple + C. LE 16 ","1943","0.884584150146306","0.871198868498348","0.897969431794264"
"No","1984","Employed","Couple + C. GT 16 ","1169","0.906836826357147","0.891018344001017","0.922655308713277"
"No","1984","Employed","Couple + C. LE and GT 16","988","0.892683569277421","0.874499863761238","0.910867274793603"
"Yes","1985","Not Employed","1-pers.-HH","93","0.165590319696142","0.135075008559166","0.196105630833119"
"Yes","1985","Not Employed","(Married) couple without C. ","145","0.135631993564937","0.115314687164703","0.155949299965171"
"Yes","1985","Not Employed","Single parent ","31","0.149777017086686","0.101627063576478","0.197926970596894"
"Yes","1985","Not Employed","Couple + C. LE 16 ","146","0.184800000133519","0.157456086116366","0.212143914150671"
"Yes","1985","Not Employed","Couple + C. GT 16 ","68","0.0915110932186439","0.0700282514376303","0.112993934999657"
"Yes","1985","Not Employed","Couple + C. LE and GT 16","47","0.0756052779181902","0.0531196191284526","0.0980909367079278"
"Yes","1985","Employed","1-pers.-HH","46","0.07409335142007","0.0532395612225543","0.0949471416175858"
"Yes","1985","Employed","(Married) couple without C. ","119","0.0850388652932061","0.0701149806045116","0.0999627499819006"
"Yes","1985","Employed","Single parent ","18","","",""
"Yes","1985","Employed","Couple + C. LE 16 ","232","0.12312443218367","0.108369347508138","0.137879516859203"
"Yes","1985","Employed","Couple + C. GT 16 ","124","0.0899286573971373","0.0745769405845202","0.105280374209754"
"Yes","1985","Employed","Couple + C. LE and GT 16","100","0.089854489377273","0.0717456489265825","0.107963329827963"
"No","1985","Not Employed","1-pers.-HH","477","0.834409680303858","0.803894369166881","0.864924991440834"
"No","1985","Not Employed","(Married) couple without C. ","946","0.864368006435063","0.844050700034829","0.884685312835297"
"No","1985","Not Employed","Single parent ","180","0.850222982913314","0.802073029403106","0.898372936423522"
"No","1985","Not Employed","Couple + C. LE 16 ","628","0.815199999866481","0.787856085849329","0.842543913883634"
"No","1985","Not Employed","Couple + C. GT 16 ","624","0.908488906781356","0.887006065000343","0.92997174856237"
"No","1985","Not Employed","Couple + C. LE and GT 16","484","0.92439472208181","0.901909063292072","0.946880380871547"
"No","1985","Employed","1-pers.-HH","560","0.92590664857993","0.905052858382414","0.946760438777446"
"No","1985","Employed","(Married) couple without C. ","1223","0.914961134706794","0.900037250018099","0.929885019395489"
"No","1985","Employed","Single parent ","315","0.957085359908945","0.935318085706186","0.978852634111703"
"No","1985","Employed","Couple + C. LE 16 ","1673","0.87687556781633","0.862120483140797","0.891630652491862"
"No","1985","Employed","Couple + C. GT 16 ","1210","0.910071342602863","0.894719625790246","0.92542305941548"
"No","1985","Employed","Couple + C. LE and GT 16","858","0.910145510622727","0.892036670172037","0.928254351073417"
"Yes","1986","Not Employed","1-pers.-HH","90","0.17229717289411","0.14032722038037","0.204267125407849"
"Yes","1986","Not Employed","(Married) couple without C. ","163","0.164925091086949","0.141969561399654","0.187880620774244"
"Yes","1986","Not Employed","Single parent ","24","","",""
"Yes","1986","Not Employed","Couple + C. LE 16 ","132","0.181499978889044","0.152380191764628","0.210619766013459"
"Yes","1986","Not Employed","Couple + C. GT 16 ","75","0.110735969271726","0.087355417153006","0.134116521390446"
"Yes","1986","Not Employed","Couple + C. LE and GT 16","55","0.111470112391864","0.0838016428884751","0.139138581895253"
"Yes","1986","Employed","1-pers.-HH","49","0.0833219079085177","0.0608688949131945","0.105774920903841"
