"ple0053","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","1-pers.-HH","109","0.160532121910537","0.13296080250067","0.188103441320404"
"Yes","1984","lower secondary degree","(Married) couple without C. ","197","0.124431755791106","0.108258453077717","0.140605058504494"
"Yes","1984","lower secondary degree","Single parent ","30","0.0994548561760953","0.0667670408017912","0.132142671550399"
"Yes","1984","lower secondary degree","Couple + C. LE 16 ","162","0.123887688047026","0.105992487704216","0.141782888389836"
"Yes","1984","lower secondary degree","Couple + C. GT 16 ","102","0.103596294262284","0.0846041553943831","0.122588433130186"
"Yes","1984","lower secondary degree","Couple + C. LE and GT 16","74","0.100585571718293","0.0796644190211015","0.121506724415484"
"Yes","1984","secondary school degree","1-pers.-HH","23","","",""
"Yes","1984","secondary school degree","(Married) couple without C. ","45","0.107527623275638","0.0781104657421021","0.136944780809173"
"Yes","1984","secondary school degree","Single parent ","8","","",""
"Yes","1984","secondary school degree","Couple + C. LE 16 ","68","0.141315113410048","0.10951645162134","0.173113775198756"
"Yes","1984","secondary school degree","Couple + C. GT 16 ","31","0.0888993877924394","0.0598613368858892","0.11793743869899"
"Yes","1984","secondary school degree","Couple + C. LE and GT 16","18","","",""
"Yes","1984","college entrance qualification","1-pers.-HH","15","","",""
"Yes","1984","college entrance qualification","(Married) couple without C. ","24","","",""
"Yes","1984","college entrance qualification","Single parent ","3","","",""
"Yes","1984","college entrance qualification","Couple + C. LE 16 ","31","0.104160201517976","0.0692429132963303","0.139077489739621"
"Yes","1984","college entrance qualification","Couple + C. GT 16 ","11","","",""
"Yes","1984","college entrance qualification","Couple + C. LE and GT 16","11","","",""
"Yes","1984","Other degree","1-pers.-HH","15","","",""
"Yes","1984","Other degree","(Married) couple without C. ","16","","",""
"Yes","1984","Other degree","Single parent ","3","","",""
"Yes","1984","Other degree","Couple + C. LE 16 ","78","0.12983628234991","0.103314419167784","0.156358145532036"
"Yes","1984","Other degree","Couple + C. GT 16 ","20","","",""
"Yes","1984","Other degree","Couple + C. LE and GT 16","36","0.153238101054897","0.106685043755675","0.199791158354118"
"Yes","1984","no degree/no degree yet","1-pers.-HH","11","","",""
"Yes","1984","no degree/no degree yet","(Married) couple without C. ","15","","",""
"Yes","1984","no degree/no degree yet","Single parent ","9","","",""
"Yes","1984","no degree/no degree yet","Couple + C. LE 16 ","46","0.134125003669344","0.099019413490932","0.169230593847756"
"Yes","1984","no degree/no degree yet","Couple + C. GT 16 ","24","","",""
"Yes","1984","no degree/no degree yet","Couple + C. LE and GT 16","33","0.0549670799891341","0.0297176996550025","0.0802164603232658"
"No","1984","lower secondary degree","1-pers.-HH","572","0.839467878089463","0.811896558679596","0.86703919749933"
"No","1984","lower secondary degree","(Married) couple without C. ","1403","0.875568244208894","0.859394941495506","0.891741546922283"
"No","1984","lower secondary degree","Single parent ","292","0.900545143823905","0.867857328449601","0.933232959198209"
"No","1984","lower secondary degree","Couple + C. LE 16 ","1140","0.876112311952974","0.858217111610164","0.894007512295784"
"No","1984","lower secondary degree","Couple + C. GT 16 ","887","0.896403705737716","0.877411566869814","0.915395844605617"
"No","1984","lower secondary degree","Couple + C. LE and GT 16","720","0.899414428281707","0.878493275584515","0.920335580978898"
"No","1984","secondary school degree","1-pers.-HH","218","0.898864519726936","0.860798413132206","0.936930626321666"
"No","1984","secondary school degree","(Married) couple without C. ","381","0.892472376724362","0.863055219190827","0.921889534257898"
"No","1984","secondary school degree","Single parent ","89","0.909124294666963","0.851924067569994","0.966324521763932"
"No","1984","secondary school degree","Couple + C. LE 16 ","393","0.858684886589952","0.826886224801244","0.89048354837866"
"No","1984","secondary school degree","Couple + C. GT 16 ","338","0.911100612207561","0.88206256130101","0.940138663114111"
