"ple0053","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","West Germany","10833","0.887102440492824","0.881488205688487","0.892716675297161","2"
"No","1984","East Germany","","","","","2"
"Yes","1984","West Germany","1373","0.112897559507176","0.107283324702839","0.118511794311513","1"
"Yes","1984","East Germany","","","","","1"
"No","1985","West Germany","9802","0.886242543615468","0.880326668580065","0.892158418650871","2"
"No","1985","East Germany","","","","","2"
"Yes","1985","West Germany","1264","0.113757456384532","0.107841581349129","0.119673331419935","1"
"Yes","1985","East Germany","","","","","1"
"No","1986","West Germany","9315","0.875970567816065","0.869699872720603","0.882241262911527","2"
"No","1986","East Germany","","","","","2"
"Yes","1986","West Germany","1299","0.124029432183935","0.117758737088473","0.130300127279397","1"
"Yes","1986","East Germany","","","","","1"
"No","1987","West Germany","9237","0.874797839185001","0.868461663469655","0.881134014900347","2"
"No","1987","East Germany","","","","","2"
"Yes","1987","West Germany","1243","0.125202160814999","0.118865985099653","0.131538336530345","1"
"Yes","1987","East Germany","","","","","1"
"No","1988","West Germany","8781","0.873846949026918","0.867335859742583","0.880358038311252","2"
"No","1988","East Germany","","","","","2"
"Yes","1988","West Germany","1208","0.126153050973082","0.119641961688748","0.132664140257417","1"
"Yes","1988","East Germany","","","","","1"
"No","1989","West Germany","8526","0.876260582070501","0.869699909059307","0.882821255081696","2"
"No","1989","East Germany","","","","","2"
"Yes","1989","West Germany","1151","0.123739417929499","0.117178744918304","0.130300090940693","1"
"Yes","1989","East Germany","","","","","1"
"No","1990","West Germany","","","","","2"
"No","1990","East Germany","","","","","2"
"Yes","1990","West Germany","","","","","1"
"Yes","1990","East Germany","","","","","1"
"No","1991","West Germany","8255","0.865490808632409","0.858606119268455","0.872375497996364","2"
"No","1991","East Germany","","","","","2"
"Yes","1991","West Germany","1180","0.134509191367591","0.127624502003636","0.141393880731545","1"
"Yes","1991","East Germany","","","","","1"
"No","1992","West Germany","8236","0.872047946655686","0.865281186550386","0.878814706760986","2"
"No","1992","East Germany","3605","0.899694930864663","0.890356184032576","0.90903367769675","2"
"Yes","1992","West Germany","1125","0.127952053344314","0.121185293239014","0.134718813449614","1"
"Yes","1992","East Germany","370","0.100305069135337","0.0909663223032496","0.109643815967424","1"
"No","1993","West Germany","","","","","2"
"No","1993","East Germany","","","","","2"
"Yes","1993","West Germany","","","","","1"
"Yes","1993","East Germany","","","","","1"
"No","1994","West Germany","8006","0.86178560442593","0.854702834734363","0.868868374117496","2"
"No","1994","East Germany","3388","0.886560488312474","0.876454791127126","0.896666185497822","2"
"Yes","1994","West Germany","1115","0.13821439557407","0.131131625882504","0.145297165265637","1"
"Yes","1994","East Germany","395","0.113439511687526","0.103333814502178","0.123545208872874","1"
"No","1995","West Germany","8466","0.870899323719937","0.864196708823372","0.877601938616503","2"
